"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Hypertension","Pre-pregnancy Hypertension Code",Births
,"Jackson County, MO","29095","2018","2018","Yes","1",266
,"Jackson County, MO","29095","2018","2018","No","2",7889
"Total","Jackson County, MO","29095","2018","2018",,,8155
,"Jackson County, MO","29095","2019","2019","Yes","1",325
,"Jackson County, MO","29095","2019","2019","No","2",7764
"Total","Jackson County, MO","29095","2019","2019",,,8089
,"Jackson County, MO","29095","2020","2020","Yes","1",312
,"Jackson County, MO","29095","2020","2020","No","2",7569
"Total","Jackson County, MO","29095","2020","2020",,,7881
,"Jackson County, MO","29095","2021","2021","Yes","1",349
,"Jackson County, MO","29095","2021","2021","No","2",7097
"Total","Jackson County, MO","29095","2021","2021",,,7446
,"Jackson County, MO","29095","2022","2022","Yes","1",397
,"Jackson County, MO","29095","2022","2022","No","2",7538
"Total","Jackson County, MO","29095","2022","2022",,,7935
,"Jackson County, MO","29095","2023","2023","Yes","1",357
,"Jackson County, MO","29095","2023","2023","No","2",7672
"Total","Jackson County, MO","29095","2023","2023",,,8029
,"Jackson County, MO","29095","2024","2024","Yes","1",405
,"Jackson County, MO","29095","2024","2024","No","2",7793
"Total","Jackson County, MO","29095","2024","2024",,,8198
"Total","Jackson County, MO","29095",,,,,71937
,"Jasper County, MO","29097","2016","2016","Yes","1",29
,"Jasper County, MO","29097","2016","2016","No","2",1565
"Total","Jasper County, MO","29097","2016","2016",,,1594
,"Jasper County, MO","29097","2017","2017","Yes","1",41
,"Jasper County, MO","29097","2017","2017","No","2",1497
"Total","Jasper County, MO","29097","2017","2017",,,1538
,"Jasper County, MO","29097","2018","2018","Yes","1",33
,"Jasper County, MO","29097","2018","2018","No","2",1461
"Total","Jasper County, MO","29097","2018","2018",,,1494
,"Jasper County, MO","29097","2019","2019","Yes","1",36
,"Jasper County, MO","29097","2019","2019","No","2",1437
"Total","Jasper County, MO","29097","2019","2019",,,1473
,"Jasper County, MO","29097","2020","2020","Yes","1",51
,"Jasper County, MO","29097","2020","2020","No","2",1379
"Total","Jasper County, MO","29097","2020","2020",,,1430
,"Jasper County, MO","29097","2021","2021","Yes","1",52
,"Jasper County, MO","29097","2021","2021","No","2",1426
"Total","Jasper County, MO","29097","2021","2021",,,1478
,"Jasper County, MO","29097","2022","2022","Yes","1",51
,"Jasper County, MO","29097","2022","2022","No","2",1459
"Total","Jasper County, MO","29097","2022","2022",,,1510
,"Jasper County, MO","29097","2023","2023","Yes","1",59
,"Jasper County, MO","29097","2023","2023","No","2",1320
"Total","Jasper County, MO","29097","2023","2023",,,1379
,"Jasper County, MO","29097","2024","2024","Yes","1",61
,"Jasper County, MO","29097","2024","2024","No","2",1345
"Total","Jasper County, MO","29097","2024","2024",,,1406
"Total","Jasper County, MO","29097",,,,,13302
,"Jefferson County, MO","29099","2016","2016","Yes","1",45
,"Jefferson County, MO","29099","2016","2016","No","2",2242
"Total","Jefferson County, MO","29099","2016","2016",,,2287
,"Jefferson County, MO","29099","2017","2017","Yes","1",40
,"Jefferson County, MO","29099","2017","2017","No","2",2023
