"Notes","County of Residence","County of Residence Code","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"Jefferson County, MO","29099","2019","2019","28-31 weeks","03",24
,"Jefferson County, MO","29099","2019","2019","32-33 weeks","04",37
,"Jefferson County, MO","29099","2019","2019","34-36 weeks","05",182
,"Jefferson County, MO","29099","2019","2019","37-38 weeks","06",572
,"Jefferson County, MO","29099","2019","2019","39 weeks","07",933
,"Jefferson County, MO","29099","2019","2019","40 weeks","08",321
,"Jefferson County, MO","29099","2019","2019","41 weeks","09",62
,"Jefferson County, MO","29099","2020","2020","28-31 weeks","03",19
,"Jefferson County, MO","29099","2020","2020","32-33 weeks","04",30
,"Jefferson County, MO","29099","2020","2020","34-36 weeks","05",216
,"Jefferson County, MO","29099","2020","2020","37-38 weeks","06",628
,"Jefferson County, MO","29099","2020","2020","39 weeks","07",944
,"Jefferson County, MO","29099","2020","2020","40 weeks","08",223
,"Jefferson County, MO","29099","2020","2020","41 weeks","09",40
,"Jefferson County, MO","29099","2021","2021","28-31 weeks","03",17
,"Jefferson County, MO","29099","2021","2021","32-33 weeks","04",30
,"Jefferson County, MO","29099","2021","2021","34-36 weeks","05",193
,"Jefferson County, MO","29099","2021","2021","37-38 weeks","06",644
,"Jefferson County, MO","29099","2021","2021","39 weeks","07",947
,"Jefferson County, MO","29099","2021","2021","40 weeks","08",213
,"Jefferson County, MO","29099","2021","2021","41 weeks","09",26
,"Jefferson County, MO","29099","2022","2022","20-27 weeks","02",10
,"Jefferson County, MO","29099","2022","2022","28-31 weeks","03",10
,"Jefferson County, MO","29099","2022","2022","32-33 weeks","04",30
,"Jefferson County, MO","29099","2022","2022","34-36 weeks","05",203
,"Jefferson County, MO","29099","2022","2022","37-38 weeks","06",631
,"Jefferson County, MO","29099","2022","2022","39 weeks","07",865
,"Jefferson County, MO","29099","2022","2022","40 weeks","08",236
,"Jefferson County, MO","29099","2022","2022","41 weeks","09",38
,"Jefferson County, MO","29099","2023","2023","28-31 weeks","03",21
,"Jefferson County, MO","29099","2023","2023","32-33 weeks","04",37
,"Jefferson County, MO","29099","2023","2023","34-36 weeks","05",216
,"Jefferson County, MO","29099","2023","2023","37-38 weeks","06",662
,"Jefferson County, MO","29099","2023","2023","39 weeks","07",915
,"Jefferson County, MO","29099","2023","2023","40 weeks","08",257
,"Jefferson County, MO","29099","2023","2023","41 weeks","09",35
,"Jefferson County, MO","29099","2024","2024","28-31 weeks","03",21
,"Jefferson County, MO","29099","2024","2024","32-33 weeks","04",31
,"Jefferson County, MO","29099","2024","2024","34-36 weeks","05",197
,"Jefferson County, MO","29099","2024","2024","37-38 weeks","06",721
,"Jefferson County, MO","29099","2024","2024","39 weeks","07",911
,"Jefferson County, MO","29099","2024","2024","40 weeks","08",236
,"Jefferson County, MO","29099","2024","2024","41 weeks","09",53
,"St. Charles County, MO","29183","2016","2016","20-27 weeks","02",15
,"St. Charles County, MO","29183","2016","2016","28-31 weeks","03",24
,"St. Charles County, MO","29183","2016","2016","32-33 weeks","04",39
,"St. Charles County, MO","29183","2016","2016","34-36 weeks","05",290
,"St. Charles County, MO","29183","2016","2016","37-38 weeks","06",982
,"St. Charles County, MO","29183","2016","2016","39 weeks","07",1712
,"St. Charles County, MO","29183","2016","2016","40 weeks","08",767
,"St. Charles County, MO","29183","2016","2016","41 weeks","09",156
,"St. Charles County, MO","29183","2017","2017","20-27 weeks","02",11
,"St. Charles County, MO","29183","2017","2017","28-31 weeks","03",26
,"St. Charles County, MO","29183","2017","2017","32-33 weeks","04",34
,"St. Charles County, MO","29183","2017","2017","34-36 weeks","05",259
,"St. Charles County, MO","29183","2017","2017","37-38 weeks","06",1099
,"St. Charles County, MO","29183","2017","2017","39 weeks","07",1621
,"St. Charles County, MO","29183","2017","2017","40 weeks","08",724
,"St. Charles County, MO","29183","2017","2017","41 weeks","09",139
,"St. Charles County, MO","29183","2018","2018","20-27 weeks","02",12
,"St. Charles County, MO","29183","2018","2018","28-31 weeks","03",30
,"St. Charles County, MO","29183","2018","2018","32-33 weeks","04",46
,"St. Charles County, MO","29183","2018","2018","34-36 weeks","05",291
,"St. Charles County, MO","29183","2018","2018","37-38 weeks","06",975
,"St. Charles County, MO","29183","2018","2018","39 weeks","07",1722
,"St. Charles County, MO","29183","2018","2018","40 weeks","08",696
,"St. Charles County, MO","29183","2018","2018","41 weeks","09",96
,"St. Charles County, MO","29183","2019","2019","20-27 weeks","02",10
,"St. Charles County, MO","29183","2019","2019","28-31 weeks","03",37
,"St. Charles County, MO","29183","2019","2019","32-33 weeks","04",56
,"St. Charles County, MO","29183","2019","2019","34-36 weeks","05",289
,"St. Charles County, MO","29183","2019","2019","37-38 weeks","06",1119
,"St. Charles County, MO","29183","2019","2019","39 weeks","07",1740
,"St. Charles County, MO","29183","2019","2019","40 weeks","08",603
,"St. Charles County, MO","29183","2019","2019","41 weeks","09",98
,"St. Charles County, MO","29183","2020","2020","20-27 weeks","02",14
,"St. Charles County, MO","29183","2020","2020","28-31 weeks","03",20
,"St. Charles County, MO","29183","2020","2020","32-33 weeks","04",40
,"St. Charles County, MO","29183","2020","2020","34-36 weeks","05",298
,"St. Charles County, MO","29183","2020","2020","37-38 weeks","06",1025
,"St. Charles County, MO","29183","2020","2020","39 weeks","07",1669
,"St. Charles County, MO","29183","2020","2020","40 weeks","08",528
,"St. Charles County, MO","29183","2020","2020","41 weeks","09",74
,"St. Charles County, MO","29183","2021","2021","20-27 weeks","02",15
,"St. Charles County, MO","29183","2021","2021","28-31 weeks","03",25
,"St. Charles County, MO","29183","2021","2021","32-33 weeks","04",43
,"St. Charles County, MO","29183","2021","2021","34-36 weeks","05",264
,"St. Charles County, MO","29183","2021","2021","37-38 weeks","06",1029
,"St. Charles County, MO","29183","2021","2021","39 weeks","07",1638
,"St. Charles County, MO","29183","2021","2021","40 weeks","08",488
,"St. Charles County, MO","29183","2021","2021","41 weeks","09",54
,"St. Charles County, MO","29183","2022","2022","28-31 weeks","03",35
,"St. Charles County, MO","29183","2022","2022","32-33 weeks","04",52
,"St. Charles County, MO","29183","2022","2022","34-36 weeks","05",307
,"St. Charles County, MO","29183","2022","2022","37-38 weeks","06",1136
,"St. Charles County, MO","29183","2022","2022","39 weeks","07",1531
,"St. Charles County, MO","29183","2022","2022","40 weeks","08",519
,"St. Charles County, MO","29183","2022","2022","41 weeks","09",92
,"St. Charles County, MO","29183","2023","2023","20-27 weeks","02",12
,"St. Charles County, MO","29183","2023","2023","28-31 weeks","03",22
,"St. Charles County, MO","29183","2023","2023","32-33 weeks","04",41
,"St. Charles County, MO","29183","2023","2023","34-36 weeks","05",263
,"St. Charles County, MO","29183","2023","2023","37-38 weeks","06",1056
,"St. Charles County, MO","29183","2023","2023","39 weeks","07",1607
,"St. Charles County, MO","29183","2023","2023","40 weeks","08",497
,"St. Charles County, MO","29183","2023","2023","41 weeks","09",82
,"St. Charles County, MO","29183","2024","2024","20-27 weeks","02",15
,"St. Charles County, MO","29183","2024","2024","28-31 weeks","03",24
,"St. Charles County, MO","29183","2024","2024","32-33 weeks","04",50
,"St. Charles County, MO","29183","2024","2024","34-36 weeks","05",300
,"St. Charles County, MO","29183","2024","2024","37-38 weeks","06",1129
,"St. Charles County, MO","29183","2024","2024","39 weeks","07",1590
,"St. Charles County, MO","29183","2024","2024","40 weeks","08",510
,"St. Charles County, MO","29183","2024","2024","41 weeks","09",108
,"St. Louis County, MO","29189","2016","2016","20-27 weeks","02",71
,"St. Louis County, MO","29189","2016","2016","28-31 weeks","03",98
,"St. Louis County, MO","29189","2016","2016","32-33 weeks","04",109
,"St. Louis County, MO","29189","2016","2016","34-36 weeks","05",733
,"St. Louis County, MO","29189","2016","2016","37-38 weeks","06",2370
,"St. Louis County, MO","29189","2016","2016","39 weeks","07",3818
,"St. Louis County, MO","29189","2016","2016","40 weeks","08",2059
,"St. Louis County, MO","29189","2016","2016","41 weeks","09",394
,"St. Louis County, MO","29189","2016","2016","42 weeks or more","10",14
,"St. Louis County, MO","29189","2017","2017","20-27 weeks","02",61
,"St. Louis County, MO","29189","2017","2017","28-31 weeks","03",69
,"St. Louis County, MO","29189","2017","2017","32-33 weeks","04",123
,"St. Louis County, MO","29189","2017","2017","34-36 weeks","05",653
,"St. Louis County, MO","29189","2017","2017","37-38 weeks","06",2315
,"St. Louis County, MO","29189","2017","2017","39 weeks","07",3590
,"St. Louis County, MO","29189","2017","2017","40 weeks","08",1801
,"St. Louis County, MO","29189","2017","2017","41 weeks","09",340
,"St. Louis County, MO","29189","2017","2017","42 weeks or more","10",22
,"St. Louis County, MO","29189","2018","2018","20-27 weeks","02",67
,"St. Louis County, MO","29189","2018","2018","28-31 weeks","03",92
,"St. Louis County, MO","29189","2018","2018","32-33 weeks","04",109
,"St. Louis County, MO","29189","2018","2018","34-36 weeks","05",731
,"St. Louis County, MO","29189","2018","2018","37-38 weeks","06",2432
,"St. Louis County, MO","29189","2018","2018","39 weeks","07",3673
,"St. Louis County, MO","29189","2018","2018","40 weeks","08",1742
,"St. Louis County, MO","29189","2018","2018","41 weeks","09",349
,"St. Louis County, MO","29189","2018","2018","42 weeks or more","10",18
,"St. Louis County, MO","29189","2019","2019","20-27 weeks","02",69
,"St. Louis County, MO","29189","2019","2019","28-31 weeks","03",83
,"St. Louis County, MO","29189","2019","2019","32-33 weeks","04",136
,"St. Louis County, MO","29189","2019","2019","34-36 weeks","05",791
,"St. Louis County, MO","29189","2019","2019","37-38 weeks","06",2748
,"St. Louis County, MO","29189","2019","2019","39 weeks","07",3988
,"St. Louis County, MO","29189","2019","2019","40 weeks","08",1589
,"St. Louis County, MO","29189","2019","2019","41 weeks","09",244
,"St. Louis County, MO","29189","2019","2019","42 weeks or more","10",14
,"St. Louis County, MO","29189","2020","2020","20-27 weeks","02",50
,"St. Louis County, MO","29189","2020","2020","28-31 weeks","03",77
,"St. Louis County, MO","29189","2020","2020","32-33 weeks","04",131
,"St. Louis County, MO","29189","2020","2020","34-36 weeks","05",754
,"St. Louis County, MO","29189","2020","2020","37-38 weeks","06",2598
,"St. Louis County, MO","29189","2020","2020","39 weeks","07",3685
,"St. Louis County, MO","29189","2020","2020","40 weeks","08",1281
,"St. Louis County, MO","29189","2020","2020","41 weeks","09",187
,"St. Louis County, MO","29189","2020","2020","42 weeks or more","10",10
,"St. Louis County, MO","29189","2021","2021","20-27 weeks","02",43
,"St. Louis County, MO","29189","2021","2021","28-31 weeks","03",83
,"St. Louis County, MO","29189","2021","2021","32-33 weeks","04",102
,"St. Louis County, MO","29189","2021","2021","34-36 weeks","05",695
,"St. Louis County, MO","29189","2021","2021","37-38 weeks","06",2468
,"St. Louis County, MO","29189","2021","2021","39 weeks","07",3548
,"St. Louis County, MO","29189","2021","2021","40 weeks","08",1204
,"St. Louis County, MO","29189","2021","2021","41 weeks","09",171
,"St. Louis County, MO","29189","2021","2021","42 weeks or more","10",10
,"St. Louis County, MO","29189","2022","2022","20-27 weeks","02",59
,"St. Louis County, MO","29189","2022","2022","28-31 weeks","03",81
,"St. Louis County, MO","29189","2022","2022","32-33 weeks","04",116
,"St. Louis County, MO","29189","2022","2022","34-36 weeks","05",776
,"St. Louis County, MO","29189","2022","2022","37-38 weeks","06",2697
,"St. Louis County, MO","29189","2022","2022","39 weeks","07",3559
,"St. Louis County, MO","29189","2022","2022","40 weeks","08",1266
,"St. Louis County, MO","29189","2022","2022","41 weeks","09",204
,"St. Louis County, MO","29189","2022","2022","42 weeks or more","10",18
,"St. Louis County, MO","29189","2023","2023","20-27 weeks","02",61
,"St. Louis County, MO","29189","2023","2023","28-31 weeks","03",93
,"St. Louis County, MO","29189","2023","2023","32-33 weeks","04",125
,"St. Louis County, MO","29189","2023","2023","34-36 weeks","05",703
,"St. Louis County, MO","29189","2023","2023","37-38 weeks","06",2676
,"St. Louis County, MO","29189","2023","2023","39 weeks","07",3449
,"St. Louis County, MO","29189","2023","2023","40 weeks","08",1179
,"St. Louis County, MO","29189","2023","2023","41 weeks","09",211
,"St. Louis County, MO","29189","2024","2024","20-27 weeks","02",48
,"St. Louis County, MO","29189","2024","2024","28-31 weeks","03",113
,"St. Louis County, MO","29189","2024","2024","32-33 weeks","04",136
,"St. Louis County, MO","29189","2024","2024","34-36 weeks","05",684
,"St. Louis County, MO","29189","2024","2024","37-38 weeks","06",2862
,"St. Louis County, MO","29189","2024","2024","39 weeks","07",3542
,"St. Louis County, MO","29189","2024","2024","40 weeks","08",1219
,"St. Louis County, MO","29189","2024","2024","41 weeks","09",231
,"St. Louis County, MO","29189","2024","2024","42 weeks or more","10",14
,"St. Louis city, MO","29510","2016","2016","20-27 weeks","02",33
,"St. Louis city, MO","29510","2016","2016","28-31 weeks","03",42
,"St. Louis city, MO","29510","2016","2016","32-33 weeks","04",51
,"St. Louis city, MO","29510","2016","2016","34-36 weeks","05",284
,"St. Louis city, MO","29510","2016","2016","37-38 weeks","06",970
,"St. Louis city, MO","29510","2016","2016","39 weeks","07",1161
,"St. Louis city, MO","29510","2016","2016","40 weeks","08",709
,"St. Louis city, MO","29510","2016","2016","41 weeks","09",218
,"St. Louis city, MO","29510","2017","2017","20-27 weeks","02",35
,"St. Louis city, MO","29510","2017","2017","28-31 weeks","03",26
,"St. Louis city, MO","29510","2017","2017","32-33 weeks","04",57
,"St. Louis city, MO","29510","2017","2017","34-36 weeks","05",275
,"St. Louis city, MO","29510","2017","2017","37-38 weeks","06",828
,"St. Louis city, MO","29510","2017","2017","39 weeks","07",1002
,"St. Louis city, MO","29510","2017","2017","40 weeks","08",660
,"St. Louis city, MO","29510","2017","2017","41 weeks","09",160
,"St. Louis city, MO","29510","2018","2018","20-27 weeks","02",33
,"St. Louis city, MO","29510","2018","2018","28-31 weeks","03",41
,"St. Louis city, MO","29510","2018","2018","32-33 weeks","04",58
,"St. Louis city, MO","29510","2018","2018","34-36 weeks","05",224
,"St. Louis city, MO","29510","2018","2018","37-38 weeks","06",860
,"St. Louis city, MO","29510","2018","2018","39 weeks","07",1108
,"St. Louis city, MO","29510","2018","2018","40 weeks","08",584
,"St. Louis city, MO","29510","2018","2018","41 weeks","09",129
,"St. Louis city, MO","29510","2019","2019","20-27 weeks","02",33
,"St. Louis city, MO","29510","2019","2019","28-31 weeks","03",46
,"St. Louis city, MO","29510","2019","2019","32-33 weeks","04",44
,"St. Louis city, MO","29510","2019","2019","34-36 weeks","05",286
,"St. Louis city, MO","29510","2019","2019","37-38 weeks","06",934
,"St. Louis city, MO","29510","2019","2019","39 weeks","07",1212
,"St. Louis city, MO","29510","2019","2019","40 weeks","08",559
,"St. Louis city, MO","29510","2019","2019","41 weeks","09",133
,"St. Louis city, MO","29510","2019","2019","42 weeks or more","10",13
,"St. Louis city, MO","29510","2020","2020","20-27 weeks","02",29
,"St. Louis city, MO","29510","2020","2020","28-31 weeks","03",21
,"St. Louis city, MO","29510","2020","2020","32-33 weeks","04",42
,"St. Louis city, MO","29510","2020","2020","34-36 weeks","05",245
,"St. Louis city, MO","29510","2020","2020","37-38 weeks","06",845
,"St. Louis city, MO","29510","2020","2020","39 weeks","07",1221
,"St. Louis city, MO","29510","2020","2020","40 weeks","08",469
,"St. Louis city, MO","29510","2020","2020","41 weeks","09",96
,"St. Louis city, MO","29510","2021","2021","20-27 weeks","02",28
,"St. Louis city, MO","29510","2021","2021","28-31 weeks","03",37
,"St. Louis city, MO","29510","2021","2021","32-33 weeks","04",38
,"St. Louis city, MO","29510","2021","2021","34-36 weeks","05",318
,"St. Louis city, MO","29510","2021","2021","37-38 weeks","06",860
,"St. Louis city, MO","29510","2021","2021","39 weeks","07",1219
,"St. Louis city, MO","29510","2021","2021","40 weeks","08",451
,"St. Louis city, MO","29510","2021","2021","41 weeks","09",75
,"St. Louis city, MO","29510","2022","2022","20-27 weeks","02",20
,"St. Louis city, MO","29510","2022","2022","28-31 weeks","03",37
,"St. Louis city, MO","29510","2022","2022","32-33 weeks","04",52
,"St. Louis city, MO","29510","2022","2022","34-36 weeks","05",243
,"St. Louis city, MO","29510","2022","2022","37-38 weeks","06",892
,"St. Louis city, MO","29510","2022","2022","39 weeks","07",1126
,"St. Louis city, MO","29510","2022","2022","40 weeks","08",439
,"St. Louis city, MO","29510","2022","2022","41 weeks","09",91
,"St. Louis city, MO","29510","2023","2023","20-27 weeks","02",23
,"St. Louis city, MO","29510","2023","2023","28-31 weeks","03",41
,"St. Louis city, MO","29510","2023","2023","32-33 weeks","04",53
,"St. Louis city, MO","29510","2023","2023","34-36 weeks","05",264
,"St. Louis city, MO","29510","2023","2023","37-38 weeks","06",903
,"St. Louis city, MO","29510","2023","2023","39 weeks","07",1092
,"St. Louis city, MO","29510","2023","2023","40 weeks","08",423
,"St. Louis city, MO","29510","2023","2023","41 weeks","09",84
,"St. Louis city, MO","29510","2024","2024","20-27 weeks","02",19
,"St. Louis city, MO","29510","2024","2024","28-31 weeks","03",27
,"St. Louis city, MO","29510","2024","2024","32-33 weeks","04",31
,"St. Louis city, MO","29510","2024","2024","34-36 weeks","05",264
,"St. Louis city, MO","29510","2024","2024","37-38 weeks","06",876
,"St. Louis city, MO","29510","2024","2024","39 weeks","07",1086
,"St. Louis city, MO","29510","2024","2024","40 weeks","08",400
,"St. Louis city, MO","29510","2024","2024","41 weeks","09",88
,"Unidentified Counties, MO","29999","2016","2016","20-27 weeks","02",131
,"Unidentified Counties, MO","29999","2016","2016","28-31 weeks","03",170
,"Unidentified Counties, MO","29999","2016","2016","32-33 weeks","04",242
,"Unidentified Counties, MO","29999","2016","2016","34-36 weeks","05",1886
,"Unidentified Counties, MO","29999","2016","2016","37-38 weeks","06",6998
,"Unidentified Counties, MO","29999","2016","2016","39 weeks","07",10864
,"Unidentified Counties, MO","29999","2016","2016","40 weeks","08",5397
,"Unidentified Counties, MO","29999","2016","2016","41 weeks","09",1370
,"Unidentified Counties, MO","29999","2016","2016","42 weeks or more","10",91
,"Unidentified Counties, MO","29999","2017","2017","20-27 weeks","02",124
,"Unidentified Counties, MO","29999","2017","2017","28-31 weeks","03",217
,"Unidentified Counties, MO","29999","2017","2017","32-33 weeks","04",274
,"Unidentified Counties, MO","29999","2017","2017","34-36 weeks","05",1996
,"Unidentified Counties, MO","29999","2017","2017","37-38 weeks","06",7027
,"Unidentified Counties, MO","29999","2017","2017","39 weeks","07",10696
,"Unidentified Counties, MO","29999","2017","2017","40 weeks","08",5253
,"Unidentified Counties, MO","29999","2017","2017","41 weeks","09",1275
,"Unidentified Counties, MO","29999","2017","2017","42 weeks or more","10",84
,"Unidentified Counties, MO","29999","2018","2018","20-27 weeks","02",110
,"Unidentified Counties, MO","29999","2018","2018","28-31 weeks","03",210
,"Unidentified Counties, MO","29999","2018","2018","32-33 weeks","04",252
,"Unidentified Counties, MO","29999","2018","2018","34-36 weeks","05",2072
,"Unidentified Counties, MO","29999","2018","2018","37-38 weeks","06",7401
,"Unidentified Counties, MO","29999","2018","2018","39 weeks","07",11423
,"Unidentified Counties, MO","29999","2018","2018","40 weeks","08",5128
,"Unidentified Counties, MO","29999","2018","2018","41 weeks","09",1149
,"Unidentified Counties, MO","29999","2018","2018","42 weeks or more","10",76
,"Unidentified Counties, MO","29999","2019","2019","20-27 weeks","02",140
,"Unidentified Counties, MO","29999","2019","2019","28-31 weeks","03",214
,"Unidentified Counties, MO","29999","2019","2019","32-33 weeks","04",275
,"Unidentified Counties, MO","29999","2019","2019","34-36 weeks","05",2003
,"Unidentified Counties, MO","29999","2019","2019","37-38 weeks","06",7254
,"Unidentified Counties, MO","29999","2019","2019","39 weeks","07",11431
,"Unidentified Counties, MO","29999","2019","2019","40 weeks","08",4642
,"Unidentified Counties, MO","29999","2019","2019","41 weeks","09",899
,"Unidentified Counties, MO","29999","2019","2019","42 weeks or more","10",69
,"Unidentified Counties, MO","29999","2020","2020","Under 20 weeks","01",10
,"Unidentified Counties, MO","29999","2020","2020","20-27 weeks","02",131
,"Unidentified Counties, MO","29999","2020","2020","28-31 weeks","03",180
,"Unidentified Counties, MO","29999","2020","2020","32-33 weeks","04",299
,"Unidentified Counties, MO","29999","2020","2020","34-36 weeks","05",2048
,"Unidentified Counties, MO","29999","2020","2020","37-38 weeks","06",7277
,"Unidentified Counties, MO","29999","2020","2020","39 weeks","07",11278
,"Unidentified Counties, MO","29999","2020","2020","40 weeks","08",4017
,"Unidentified Counties, MO","29999","2020","2020","41 weeks","09",729
,"Unidentified Counties, MO","29999","2020","2020","42 weeks or more","10",73
,"Unidentified Counties, MO","29999","2021","2021","20-27 weeks","02",146
,"Unidentified Counties, MO","29999","2021","2021","28-31 weeks","03",178
,"Unidentified Counties, MO","29999","2021","2021","32-33 weeks","04",263
,"Unidentified Counties, MO","29999","2021","2021","34-36 weeks","05",2099
,"Unidentified Counties, MO","29999","2021","2021","37-38 weeks","06",7664
,"Unidentified Counties, MO","29999","2021","2021","39 weeks","07",11352
,"Unidentified Counties, MO","29999","2021","2021","40 weeks","08",3872
,"Unidentified Counties, MO","29999","2021","2021","41 weeks","09",715
,"Unidentified Counties, MO","29999","2021","2021","42 weeks or more","10",78
,"Unidentified Counties, MO","29999","2022","2022","20-27 weeks","02",141
,"Unidentified Counties, MO","29999","2022","2022","28-31 weeks","03",196
,"Unidentified Counties, MO","29999","2022","2022","32-33 weeks","04",289
,"Unidentified Counties, MO","29999","2022","2022","34-36 weeks","05",2093
,"Unidentified Counties, MO","29999","2022","2022","37-38 weeks","06",7648
,"Unidentified Counties, MO","29999","2022","2022","39 weeks","07",11133
,"Unidentified Counties, MO","29999","2022","2022","40 weeks","08",4020
,"Unidentified Counties, MO","29999","2022","2022","41 weeks","09",785
,"Unidentified Counties, MO","29999","2022","2022","42 weeks or more","10",95
,"Unidentified Counties, MO","29999","2023","2023","20-27 weeks","02",119
,"Unidentified Counties, MO","29999","2023","2023","28-31 weeks","03",243
,"Unidentified Counties, MO","29999","2023","2023","32-33 weeks","04",280
,"Unidentified Counties, MO","29999","2023","2023","34-36 weeks","05",2081
,"Unidentified Counties, MO","29999","2023","2023","37-38 weeks","06",7918
,"Unidentified Counties, MO","29999","2023","2023","39 weeks","07",11054
,"Unidentified Counties, MO","29999","2023","2023","40 weeks","08",3946
,"Unidentified Counties, MO","29999","2023","2023","41 weeks","09",810
,"Unidentified Counties, MO","29999","2023","2023","42 weeks or more","10",88
,"Unidentified Counties, MO","29999","2024","2024","20-27 weeks","02",127
,"Unidentified Counties, MO","29999","2024","2024","28-31 weeks","03",190
,"Unidentified Counties, MO","29999","2024","2024","32-33 weeks","04",351
,"Unidentified Counties, MO","29999","2024","2024","34-36 weeks","05",2108
,"Unidentified Counties, MO","29999","2024","2024","37-38 weeks","06",8063
,"Unidentified Counties, MO","29999","2024","2024","39 weeks","07",11080
,"Unidentified Counties, MO","29999","2024","2024","40 weeks","08",3858
,"Unidentified Counties, MO","29999","2024","2024","41 weeks","09",757
,"Unidentified Counties, MO","29999","2024","2024","42 weeks or more","10",43
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Pre-pregnancy BMI: Underweight <18.5; Normal 18.5-24.9; Overweight 25.0-29.9; Obesity I 30.0-34.9; Obesity II"
"35.0-39.9; Extreme Obesity III > 39.9"
"Mother's Single Race 6: American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific"
"Islander; White; More than one race"
"Number of Prenatal Visits Recode: No visits; 1 to 2 visits; 3 to 4 visits; 5 to 6 visits; 7 to 8 visits; 9 to 10 visits; 11 to"
"12 visits; 13 to 14 visits; 15 to 16 visits; 17 to 18 visits; 19 or more visits"
"OE Gestational Age Recode 11: Under 20 weeks; 20-27 weeks; 28-31 weeks; 32-33 weeks; 34-36 weeks; 37-38 weeks; 39 weeks; 40"
"weeks; 41 weeks; 42 weeks or more"
"Pre-pregnancy Diabetes: Yes; No"
"Pre-pregnancy Hypertension: Yes; No"
"Previous Preterm Birth: Yes; No"
"Prior Births Now Living: 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11 or more"
"Prior Other Pregnancy Outcomes: 0; 1; 2; 3; 4; 5; 6 or more"
"Source of Payment for Delivery: Medicaid; Private Insurance; Self Pay"
"States: Missouri (29)"
"Tobacco Use: Yes; No"
"Total Birth Order: 1; 2; 3; 4; 5; 6; 7; 8 or more"
"Trimester Prenatal Care Began: 1st to 3rd month; 4th to 6th month; 7th to final month; No prenatal care"
"Year: 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024"
"Group By: County of Residence; Year; OE Gestational Age Recode 11"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Jun 9, 2026 2:13:55 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Jun 9, 2026 2:13:55 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Beginning in 2017, due to state statutory restrictions, California no longer provides record-level data on the marital status"
"of the mother for births occurring in California to California residents and non-residents (including residents of other"
"states). For these births, ""Marital Status"" is coded as ""Not Reported""."
"5. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
