"Notes","County of Residence","County of Residence Code","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"Clay County, MO","29047","2019","2019","41 weeks","09",115
,"Clay County, MO","29047","2019","2019","42 weeks or more","10",10
,"Clay County, MO","29047","2020","2020","20-27 weeks","02",19
,"Clay County, MO","29047","2020","2020","28-31 weeks","03",21
,"Clay County, MO","29047","2020","2020","32-33 weeks","04",24
,"Clay County, MO","29047","2020","2020","34-36 weeks","05",242
,"Clay County, MO","29047","2020","2020","37-38 weeks","06",733
,"Clay County, MO","29047","2020","2020","39 weeks","07",1248
,"Clay County, MO","29047","2020","2020","40 weeks","08",413
,"Clay County, MO","29047","2020","2020","41 weeks","09",77
,"Clay County, MO","29047","2020","2020","42 weeks or more","10",13
,"Clay County, MO","29047","2021","2021","28-31 weeks","03",22
,"Clay County, MO","29047","2021","2021","32-33 weeks","04",24
,"Clay County, MO","29047","2021","2021","34-36 weeks","05",211
,"Clay County, MO","29047","2021","2021","37-38 weeks","06",756
,"Clay County, MO","29047","2021","2021","39 weeks","07",1184
,"Clay County, MO","29047","2021","2021","40 weeks","08",358
,"Clay County, MO","29047","2021","2021","41 weeks","09",59
,"Clay County, MO","29047","2022","2022","20-27 weeks","02",16
,"Clay County, MO","29047","2022","2022","28-31 weeks","03",28
,"Clay County, MO","29047","2022","2022","32-33 weeks","04",27
,"Clay County, MO","29047","2022","2022","34-36 weeks","05",207
,"Clay County, MO","29047","2022","2022","37-38 weeks","06",819
,"Clay County, MO","29047","2022","2022","39 weeks","07",1153
,"Clay County, MO","29047","2022","2022","40 weeks","08",392
,"Clay County, MO","29047","2022","2022","41 weeks","09",84
,"Clay County, MO","29047","2022","2022","42 weeks or more","10",13
,"Clay County, MO","29047","2023","2023","20-27 weeks","02",10
,"Clay County, MO","29047","2023","2023","28-31 weeks","03",21
,"Clay County, MO","29047","2023","2023","32-33 weeks","04",37
,"Clay County, MO","29047","2023","2023","34-36 weeks","05",212
,"Clay County, MO","29047","2023","2023","37-38 weeks","06",800
,"Clay County, MO","29047","2023","2023","39 weeks","07",1140
,"Clay County, MO","29047","2023","2023","40 weeks","08",356
,"Clay County, MO","29047","2023","2023","41 weeks","09",84
,"Clay County, MO","29047","2023","2023","42 weeks or more","10",16
,"Clay County, MO","29047","2024","2024","20-27 weeks","02",15
,"Clay County, MO","29047","2024","2024","28-31 weeks","03",22
,"Clay County, MO","29047","2024","2024","32-33 weeks","04",22
,"Clay County, MO","29047","2024","2024","34-36 weeks","05",211
,"Clay County, MO","29047","2024","2024","37-38 weeks","06",819
,"Clay County, MO","29047","2024","2024","39 weeks","07",1200
,"Clay County, MO","29047","2024","2024","40 weeks","08",416
,"Clay County, MO","29047","2024","2024","41 weeks","09",97
,"Clay County, MO","29047","2024","2024","42 weeks or more","10",11
,"Franklin County, MO","29071","2016","2016","28-31 weeks","03",11
,"Franklin County, MO","29071","2016","2016","32-33 weeks","04",15
,"Franklin County, MO","29071","2016","2016","34-36 weeks","05",74
,"Franklin County, MO","29071","2016","2016","37-38 weeks","06",307
,"Franklin County, MO","29071","2016","2016","39 weeks","07",453
