"Notes","County of Residence","County of Residence Code","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Clay County, MO","29047","2018","2018","3000 - 3499 grams","07",1103
,"Clay County, MO","29047","2018","2018","3500 - 3999 grams","08",851
,"Clay County, MO","29047","2018","2018","4000 - 4499 grams","09",222
,"Clay County, MO","29047","2018","2018","4500 - 4999 grams","10",26
,"Clay County, MO","29047","2019","2019","1000 - 1499 grams","03",15
,"Clay County, MO","29047","2019","2019","1500 - 1999 grams","04",46
,"Clay County, MO","29047","2019","2019","2000 - 2499 grams","05",127
,"Clay County, MO","29047","2019","2019","2500 - 2999 grams","06",509
,"Clay County, MO","29047","2019","2019","3000 - 3499 grams","07",1099
,"Clay County, MO","29047","2019","2019","3500 - 3999 grams","08",864
,"Clay County, MO","29047","2019","2019","4000 - 4499 grams","09",227
,"Clay County, MO","29047","2019","2019","4500 - 4999 grams","10",20
,"Clay County, MO","29047","2020","2020","500 - 999 grams","02",16
,"Clay County, MO","29047","2020","2020","1500 - 1999 grams","04",58
,"Clay County, MO","29047","2020","2020","2000 - 2499 grams","05",137
,"Clay County, MO","29047","2020","2020","2500 - 2999 grams","06",538
,"Clay County, MO","29047","2020","2020","3000 - 3499 grams","07",1062
,"Clay County, MO","29047","2020","2020","3500 - 3999 grams","08",763
,"Clay County, MO","29047","2020","2020","4000 - 4499 grams","09",170
,"Clay County, MO","29047","2020","2020","4500 - 4999 grams","10",31
,"Clay County, MO","29047","2021","2021","1000 - 1499 grams","03",17
,"Clay County, MO","29047","2021","2021","1500 - 1999 grams","04",38
,"Clay County, MO","29047","2021","2021","2000 - 2499 grams","05",142
,"Clay County, MO","29047","2021","2021","2500 - 2999 grams","06",449
,"Clay County, MO","29047","2021","2021","3000 - 3499 grams","07",1067
,"Clay County, MO","29047","2021","2021","3500 - 3999 grams","08",707
,"Clay County, MO","29047","2021","2021","4000 - 4499 grams","09",176
,"Clay County, MO","29047","2021","2021","4500 - 4999 grams","10",21
,"Clay County, MO","29047","2022","2022","500 - 999 grams","02",13
,"Clay County, MO","29047","2022","2022","1000 - 1499 grams","03",22
,"Clay County, MO","29047","2022","2022","1500 - 1999 grams","04",38
,"Clay County, MO","29047","2022","2022","2000 - 2499 grams","05",152
,"Clay County, MO","29047","2022","2022","2500 - 2999 grams","06",530
,"Clay County, MO","29047","2022","2022","3000 - 3499 grams","07",1063
,"Clay County, MO","29047","2022","2022","3500 - 3999 grams","08",695
,"Clay County, MO","29047","2022","2022","4000 - 4499 grams","09",197
,"Clay County, MO","29047","2022","2022","4500 - 4999 grams","10",24
,"Clay County, MO","29047","2023","2023","1000 - 1499 grams","03",16
,"Clay County, MO","29047","2023","2023","1500 - 1999 grams","04",45
,"Clay County, MO","29047","2023","2023","2000 - 2499 grams","05",135
,"Clay County, MO","29047","2023","2023","2500 - 2999 grams","06",480
,"Clay County, MO","29047","2023","2023","3000 - 3499 grams","07",1043
,"Clay County, MO","29047","2023","2023","3500 - 3999 grams","08",730
,"Clay County, MO","29047","2023","2023","4000 - 4499 grams","09",186
,"Clay County, MO","29047","2023","2023","4500 - 4999 grams","10",25
,"Clay County, MO","29047","2024","2024","500 - 999 grams","02",16
,"Clay County, MO","29047","2024","2024","1000 - 1499 grams","03",10
,"Clay County, MO","29047","2024","2024","1500 - 1999 grams","04",41
,"Clay County, MO","29047","2024","2024","2000 - 2499 grams","05",138
,"Clay County, MO","29047","2024","2024","2500 - 2999 grams","06",513
,"Clay County, MO","29047","2024","2024","3000 - 3499 grams","07",1107
,"Clay County, MO","29047","2024","2024","3500 - 3999 grams","08",751
,"Clay County, MO","29047","2024","2024","4000 - 4499 grams","09",200
,"Clay County, MO","29047","2024","2024","4500 - 4999 grams","10",28
,"Franklin County, MO","29071","2016","2016","1000 - 1499 grams","03",11
,"Franklin County, MO","29071","2016","2016","1500 - 1999 grams","04",20
,"Franklin County, MO","29071","2016","2016","2000 - 2499 grams","05",58
,"Franklin County, MO","29071","2016","2016","2500 - 2999 grams","06",172
,"Franklin County, MO","29071","2016","2016","3000 - 3499 grams","07",411
,"Franklin County, MO","29071","2016","2016","3500 - 3999 grams","08",356
,"Franklin County, MO","29071","2016","2016","4000 - 4499 grams","09",83
,"Franklin County, MO","29071","2016","2016","4500 - 4999 grams","10",16
,"Franklin County, MO","29071","2017","2017","1500 - 1999 grams","04",12
,"Franklin County, MO","29071","2017","2017","2000 - 2499 grams","05",59
,"Franklin County, MO","29071","2017","2017","2500 - 2999 grams","06",179
,"Franklin County, MO","29071","2017","2017","3000 - 3499 grams","07",424
,"Franklin County, MO","29071","2017","2017","3500 - 3999 grams","08",347
,"Franklin County, MO","29071","2017","2017","4000 - 4499 grams","09",101
,"Franklin County, MO","29071","2018","2018","1500 - 1999 grams","04",17
,"Franklin County, MO","29071","2018","2018","2000 - 2499 grams","05",61
,"Franklin County, MO","29071","2018","2018","2500 - 2999 grams","06",146
,"Franklin County, MO","29071","2018","2018","3000 - 3499 grams","07",423
,"Franklin County, MO","29071","2018","2018","3500 - 3999 grams","08",319
,"Franklin County, MO","29071","2018","2018","4000 - 4499 grams","09",81
,"Franklin County, MO","29071","2018","2018","4500 - 4999 grams","10",11
,"Franklin County, MO","29071","2019","2019","1500 - 1999 grams","04",15
,"Franklin County, MO","29071","2019","2019","2000 - 2499 grams","05",64
,"Franklin County, MO","29071","2019","2019","2500 - 2999 grams","06",180
,"Franklin County, MO","29071","2019","2019","3000 - 3499 grams","07",419
,"Franklin County, MO","29071","2019","2019","3500 - 3999 grams","08",340
,"Franklin County, MO","29071","2019","2019","4000 - 4499 grams","09",85
,"Franklin County, MO","29071","2019","2019","4500 - 4999 grams","10",10
,"Franklin County, MO","29071","2020","2020","1500 - 1999 grams","04",13
,"Franklin County, MO","29071","2020","2020","2000 - 2499 grams","05",51
,"Franklin County, MO","29071","2020","2020","2500 - 2999 grams","06",164
,"Franklin County, MO","29071","2020","2020","3000 - 3499 grams","07",403
,"Franklin County, MO","29071","2020","2020","3500 - 3999 grams","08",277
,"Franklin County, MO","29071","2020","2020","4000 - 4499 grams","09",70
,"Franklin County, MO","29071","2021","2021","1500 - 1999 grams","04",12
,"Franklin County, MO","29071","2021","2021","2000 - 2499 grams","05",51
,"Franklin County, MO","29071","2021","2021","2500 - 2999 grams","06",174
,"Franklin County, MO","29071","2021","2021","3000 - 3499 grams","07",385
,"Franklin County, MO","29071","2021","2021","3500 - 3999 grams","08",295
,"Franklin County, MO","29071","2021","2021","4000 - 4499 grams","09",76
,"Franklin County, MO","29071","2021","2021","4500 - 4999 grams","10",13
,"Franklin County, MO","29071","2022","2022","1500 - 1999 grams","04",14
,"Franklin County, MO","29071","2022","2022","2000 - 2499 grams","05",54
,"Franklin County, MO","29071","2022","2022","2500 - 2999 grams","06",161
,"Franklin County, MO","29071","2022","2022","3000 - 3499 grams","07",357
