"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Diabetes","Pre-pregnancy Diabetes Code",Births
,"Jefferson County, MO","29099","2021","2021","Yes","1",21
,"Jefferson County, MO","29099","2021","2021","No","2",2056
,"Jefferson County, MO","29099","2022","2022","Yes","1",24
,"Jefferson County, MO","29099","2022","2022","No","2",2007
,"Jefferson County, MO","29099","2023","2023","Yes","1",28
,"Jefferson County, MO","29099","2023","2023","No","2",2123
,"Jefferson County, MO","29099","2024","2024","Yes","1",29
,"Jefferson County, MO","29099","2024","2024","No","2",2153
,"St. Charles County, MO","29183","2016","2016","Yes","1",22
,"St. Charles County, MO","29183","2016","2016","No","2",3970
,"St. Charles County, MO","29183","2017","2017","Yes","1",19
,"St. Charles County, MO","29183","2017","2017","No","2",3899
,"St. Charles County, MO","29183","2018","2018","Yes","1",17
,"St. Charles County, MO","29183","2018","2018","No","2",3855
,"St. Charles County, MO","29183","2019","2019","Yes","1",32
,"St. Charles County, MO","29183","2019","2019","No","2",3926
,"St. Charles County, MO","29183","2020","2020","Yes","1",27
,"St. Charles County, MO","29183","2020","2020","No","2",3649
,"St. Charles County, MO","29183","2021","2021","Yes","1",49
,"St. Charles County, MO","29183","2021","2021","No","2",3509
,"St. Charles County, MO","29183","2022","2022","Yes","1",38
,"St. Charles County, MO","29183","2022","2022","No","2",3649
,"St. Charles County, MO","29183","2023","2023","Yes","1",45
,"St. Charles County, MO","29183","2023","2023","No","2",3538
,"St. Charles County, MO","29183","2024","2024","Yes","1",51
,"St. Charles County, MO","29183","2024","2024","No","2",3679
,"St. Louis County, MO","29189","2016","2016","Yes","1",69
,"St. Louis County, MO","29189","2016","2016","No","2",9601
,"St. Louis County, MO","29189","2017","2017","Yes","1",71
,"St. Louis County, MO","29189","2017","2017","No","2",8903
,"St. Louis County, MO","29189","2018","2018","Yes","1",90
,"St. Louis County, MO","29189","2018","2018","No","2",9131
,"St. Louis County, MO","29189","2019","2019","Yes","1",119
,"St. Louis County, MO","29189","2019","2019","No","2",9547
,"St. Louis County, MO","29189","2020","2020","Yes","1",94
,"St. Louis County, MO","29189","2020","2020","No","2",8685
,"St. Louis County, MO","29189","2021","2021","Yes","1",102
,"St. Louis County, MO","29189","2021","2021","No","2",8226
,"St. Louis County, MO","29189","2022","2022","Yes","1",115
,"St. Louis County, MO","29189","2022","2022","No","2",8661
,"St. Louis County, MO","29189","2023","2023","Yes","1",143
,"St. Louis County, MO","29189","2023","2023","No","2",8366
,"St. Louis County, MO","29189","2024","2024","Yes","1",107
,"St. Louis County, MO","29189","2024","2024","No","2",8748
,"St. Louis city, MO","29510","2016","2016","Yes","1",32
,"St. Louis city, MO","29510","2016","2016","No","2",3446
,"St. Louis city, MO","29510","2017","2017","Yes","1",36
,"St. Louis city, MO","29510","2017","2017","No","2",3019
,"St. Louis city, MO","29510","2018","2018","Yes","1",35
,"St. Louis city, MO","29510","2018","2018","No","2",3008
,"St. Louis city, MO","29510","2019","2019","Yes","1",45
,"St. Louis city, MO","29510","2019","2019","No","2",3219
,"St. Louis city, MO","29510","2020","2020","Yes","1",37
,"St. Louis city, MO","29510","2020","2020","No","2",2941
,"St. Louis city, MO","29510","2021","2021","Yes","1",41
,"St. Louis city, MO","29510","2021","2021","No","2",2992
,"St. Louis city, MO","29510","2022","2022","Yes","1",35
,"St. Louis city, MO","29510","2022","2022","No","2",2869
,"St. Louis city, MO","29510","2023","2023","Yes","1",33
,"St. Louis city, MO","29510","2023","2023","No","2",2859
,"St. Louis city, MO","29510","2024","2024","Yes","1",44
,"St. Louis city, MO","29510","2024","2024","No","2",2751
,"Unidentified Counties, MO","29999","2016","2016","Yes","1",221
,"Unidentified Counties, MO","29999","2016","2016","No","2",26932
,"Unidentified Counties, MO","29999","2017","2017","Yes","1",252
,"Unidentified Counties, MO","29999","2017","2017","No","2",26698
,"Unidentified Counties, MO","29999","2018","2018","Yes","1",271
,"Unidentified Counties, MO","29999","2018","2018","No","2",27551
,"Unidentified Counties, MO","29999","2019","2019","Yes","1",282
,"Unidentified Counties, MO","29999","2019","2019","No","2",26650
,"Unidentified Counties, MO","29999","2020","2020","Yes","1",311
,"Unidentified Counties, MO","29999","2020","2020","No","2",25731
,"Unidentified Counties, MO","29999","2021","2021","Yes","1",331
,"Unidentified Counties, MO","29999","2021","2021","No","2",26040
,"Unidentified Counties, MO","29999","2022","2022","Yes","1",348
,"Unidentified Counties, MO","29999","2022","2022","No","2",26059
,"Unidentified Counties, MO","29999","2023","2023","Yes","1",320
,"Unidentified Counties, MO","29999","2023","2023","No","2",26227
,"Unidentified Counties, MO","29999","2024","2024","Yes","1",360
,"Unidentified Counties, MO","29999","2024","2024","No","2",26221
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
