"Notes","County of Residence","County of Residence Code","Year","Year Code","Age of Mother 13","Age of Mother 13 Code",Births
,"Clay County, MO","29047","2020","2020","40-44 years","40-44",76
,"Clay County, MO","29047","2021","2021","18 years","18",15
,"Clay County, MO","29047","2021","2021","19 years","19",46
,"Clay County, MO","29047","2021","2021","20-24 years","20-24",369
,"Clay County, MO","29047","2021","2021","25-29 years","25-29",881
,"Clay County, MO","29047","2021","2021","30-34 years","30-34",871
,"Clay County, MO","29047","2021","2021","35-39 years","35-39",361
,"Clay County, MO","29047","2021","2021","40-44 years","40-44",62
,"Clay County, MO","29047","2022","2022","18 years","18",25
,"Clay County, MO","29047","2022","2022","19 years","19",39
,"Clay County, MO","29047","2022","2022","20-24 years","20-24",420
,"Clay County, MO","29047","2022","2022","25-29 years","25-29",835
,"Clay County, MO","29047","2022","2022","30-34 years","30-34",935
,"Clay County, MO","29047","2022","2022","35-39 years","35-39",384
,"Clay County, MO","29047","2022","2022","40-44 years","40-44",85
,"Clay County, MO","29047","2023","2023","17 years","17",20
,"Clay County, MO","29047","2023","2023","18 years","18",17
,"Clay County, MO","29047","2023","2023","19 years","19",44
,"Clay County, MO","29047","2023","2023","20-24 years","20-24",415
,"Clay County, MO","29047","2023","2023","25-29 years","25-29",865
,"Clay County, MO","29047","2023","2023","30-34 years","30-34",859
,"Clay County, MO","29047","2023","2023","35-39 years","35-39",359
,"Clay County, MO","29047","2023","2023","40-44 years","40-44",79
,"Clay County, MO","29047","2024","2024","17 years","17",12
,"Clay County, MO","29047","2024","2024","18 years","18",18
,"Clay County, MO","29047","2024","2024","19 years","19",50
,"Clay County, MO","29047","2024","2024","20-24 years","20-24",417
,"Clay County, MO","29047","2024","2024","25-29 years","25-29",847
,"Clay County, MO","29047","2024","2024","30-34 years","30-34",982
,"Clay County, MO","29047","2024","2024","35-39 years","35-39",399
,"Clay County, MO","29047","2024","2024","40-44 years","40-44",73
,"Franklin County, MO","29071","2016","2016","18 years","18",23
,"Franklin County, MO","29071","2016","2016","19 years","19",28
,"Franklin County, MO","29071","2016","2016","20-24 years","20-24",289
,"Franklin County, MO","29071","2016","2016","25-29 years","25-29",349
,"Franklin County, MO","29071","2016","2016","30-34 years","30-34",308
,"Franklin County, MO","29071","2016","2016","35-39 years","35-39",110
,"Franklin County, MO","29071","2016","2016","40-44 years","40-44",21
,"Franklin County, MO","29071","2017","2017","17 years","17",12
,"Franklin County, MO","29071","2017","2017","18 years","18",15
,"Franklin County, MO","29071","2017","2017","19 years","19",30
,"Franklin County, MO","29071","2017","2017","20-24 years","20-24",268
,"Franklin County, MO","29071","2017","2017","25-29 years","25-29",387
,"Franklin County, MO","29071","2017","2017","30-34 years","30-34",296
,"Franklin County, MO","29071","2017","2017","35-39 years","35-39",109
,"Franklin County, MO","29071","2017","2017","40-44 years","40-44",17
,"Franklin County, MO","29071","2018","2018","18 years","18",17
,"Franklin County, MO","29071","2018","2018","19 years","19",20
,"Franklin County, MO","29071","2018","2018","20-24 years","20-24",235
,"Franklin County, MO","29071","2018","2018","25-29 years","25-29",388
,"Franklin County, MO","29071","2018","2018","30-34 years","30-34",287
,"Franklin County, MO","29071","2018","2018","35-39 years","35-39",94
,"Franklin County, MO","29071","2018","2018","40-44 years","40-44",19
,"Franklin County, MO","29071","2019","2019","18 years","18",18
,"Franklin County, MO","29071","2019","2019","19 years","19",29
,"Franklin County, MO","29071","2019","2019","20-24 years","20-24",241
,"Franklin County, MO","29071","2019","2019","25-29 years","25-29",379
,"Franklin County, MO","29071","2019","2019","30-34 years","30-34",313
,"Franklin County, MO","29071","2019","2019","35-39 years","35-39",113
,"Franklin County, MO","29071","2019","2019","40-44 years","40-44",15
,"Franklin County, MO","29071","2020","2020","18 years","18",19
,"Franklin County, MO","29071","2020","2020","19 years","19",38
,"Franklin County, MO","29071","2020","2020","20-24 years","20-24",203
,"Franklin County, MO","29071","2020","2020","25-29 years","25-29",334
,"Franklin County, MO","29071","2020","2020","30-34 years","30-34",279
,"Franklin County, MO","29071","2020","2020","35-39 years","35-39",95
,"Franklin County, MO","29071","2020","2020","40-44 years","40-44",19
,"Franklin County, MO","29071","2021","2021","17 years","17",10
,"Franklin County, MO","29071","2021","2021","18 years","18",14
,"Franklin County, MO","29071","2021","2021","19 years","19",18
,"Franklin County, MO","29071","2021","2021","20-24 years","20-24",196
,"Franklin County, MO","29071","2021","2021","25-29 years","25-29",353
,"Franklin County, MO","29071","2021","2021","30-34 years","30-34",293
,"Franklin County, MO","29071","2021","2021","35-39 years","35-39",100
,"Franklin County, MO","29071","2021","2021","40-44 years","40-44",19
,"Franklin County, MO","29071","2022","2022","17 years","17",18
,"Franklin County, MO","29071","2022","2022","19 years","19",22
,"Franklin County, MO","29071","2022","2022","20-24 years","20-24",202
,"Franklin County, MO","29071","2022","2022","25-29 years","25-29",341
,"Franklin County, MO","29071","2022","2022","30-34 years","30-34",295
,"Franklin County, MO","29071","2022","2022","35-39 years","35-39",121
,"Franklin County, MO","29071","2022","2022","40-44 years","40-44",18
,"Franklin County, MO","29071","2023","2023","18 years","18",12
,"Franklin County, MO","29071","2023","2023","19 years","19",21
,"Franklin County, MO","29071","2023","2023","20-24 years","20-24",209
,"Franklin County, MO","29071","2023","2023","25-29 years","25-29",377
,"Franklin County, MO","29071","2023","2023","30-34 years","30-34",278
,"Franklin County, MO","29071","2023","2023","35-39 years","35-39",119
