"Notes","County of Residence","County of Residence Code","Year","Year Code","Age of Mother 13","Age of Mother 13 Code",Births
,"Jefferson County, MO","29099","2017","2017","18 years","18",36
,"Jefferson County, MO","29099","2017","2017","19 years","19",41
,"Jefferson County, MO","29099","2017","2017","20-24 years","20-24",386
,"Jefferson County, MO","29099","2017","2017","25-29 years","25-29",679
,"Jefferson County, MO","29099","2017","2017","30-34 years","30-34",629
,"Jefferson County, MO","29099","2017","2017","35-39 years","35-39",241
,"Jefferson County, MO","29099","2017","2017","40-44 years","40-44",29
,"Jefferson County, MO","29099","2018","2018","17 years","17",17
,"Jefferson County, MO","29099","2018","2018","18 years","18",36
,"Jefferson County, MO","29099","2018","2018","19 years","19",49
,"Jefferson County, MO","29099","2018","2018","20-24 years","20-24",439
,"Jefferson County, MO","29099","2018","2018","25-29 years","25-29",682
,"Jefferson County, MO","29099","2018","2018","30-34 years","30-34",592
,"Jefferson County, MO","29099","2018","2018","35-39 years","35-39",265
,"Jefferson County, MO","29099","2018","2018","40-44 years","40-44",33
,"Jefferson County, MO","29099","2019","2019","17 years","17",12
,"Jefferson County, MO","29099","2019","2019","18 years","18",22
,"Jefferson County, MO","29099","2019","2019","19 years","19",34
,"Jefferson County, MO","29099","2019","2019","20-24 years","20-24",418
,"Jefferson County, MO","29099","2019","2019","25-29 years","25-29",762
,"Jefferson County, MO","29099","2019","2019","30-34 years","30-34",610
,"Jefferson County, MO","29099","2019","2019","35-39 years","35-39",252
,"Jefferson County, MO","29099","2019","2019","40-44 years","40-44",29
,"Jefferson County, MO","29099","2020","2020","17 years","17",11
,"Jefferson County, MO","29099","2020","2020","18 years","18",26
,"Jefferson County, MO","29099","2020","2020","19 years","19",36
,"Jefferson County, MO","29099","2020","2020","20-24 years","20-24",372
,"Jefferson County, MO","29099","2020","2020","25-29 years","25-29",707
,"Jefferson County, MO","29099","2020","2020","30-34 years","30-34",646
,"Jefferson County, MO","29099","2020","2020","35-39 years","35-39",265
,"Jefferson County, MO","29099","2020","2020","40-44 years","40-44",37
,"Jefferson County, MO","29099","2021","2021","17 years","17",10
,"Jefferson County, MO","29099","2021","2021","18 years","18",12
,"Jefferson County, MO","29099","2021","2021","19 years","19",41
,"Jefferson County, MO","29099","2021","2021","20-24 years","20-24",350
,"Jefferson County, MO","29099","2021","2021","25-29 years","25-29",725
,"Jefferson County, MO","29099","2021","2021","30-34 years","30-34",638
,"Jefferson County, MO","29099","2021","2021","35-39 years","35-39",250
,"Jefferson County, MO","29099","2021","2021","40-44 years","40-44",43
,"Jefferson County, MO","29099","2022","2022","18 years","18",14
,"Jefferson County, MO","29099","2022","2022","19 years","19",38
,"Jefferson County, MO","29099","2022","2022","20-24 years","20-24",337
,"Jefferson County, MO","29099","2022","2022","25-29 years","25-29",681
,"Jefferson County, MO","29099","2022","2022","30-34 years","30-34",647
,"Jefferson County, MO","29099","2022","2022","35-39 years","35-39",253
,"Jefferson County, MO","29099","2022","2022","40-44 years","40-44",45
,"Jefferson County, MO","29099","2023","2023","18 years","18",19
,"Jefferson County, MO","29099","2023","2023","19 years","19",31
,"Jefferson County, MO","29099","2023","2023","20-24 years","20-24",363
,"Jefferson County, MO","29099","2023","2023","25-29 years","25-29",720
,"Jefferson County, MO","29099","2023","2023","30-34 years","30-34",668
,"Jefferson County, MO","29099","2023","2023","35-39 years","35-39",288
,"Jefferson County, MO","29099","2023","2023","40-44 years","40-44",48
,"Jefferson County, MO","29099","2024","2024","17 years","17",11
,"Jefferson County, MO","29099","2024","2024","18 years","18",19
,"Jefferson County, MO","29099","2024","2024","19 years","19",31
,"Jefferson County, MO","29099","2024","2024","20-24 years","20-24",358
,"Jefferson County, MO","29099","2024","2024","25-29 years","25-29",715
,"Jefferson County, MO","29099","2024","2024","30-34 years","30-34",713
,"Jefferson County, MO","29099","2024","2024","35-39 years","35-39",287
,"Jefferson County, MO","29099","2024","2024","40-44 years","40-44",37
,"St. Charles County, MO","29183","2016","2016","17 years","17",18
,"St. Charles County, MO","29183","2016","2016","18 years","18",28
,"St. Charles County, MO","29183","2016","2016","19 years","19",49
,"St. Charles County, MO","29183","2016","2016","20-24 years","20-24",470
,"St. Charles County, MO","29183","2016","2016","25-29 years","25-29",1297
,"St. Charles County, MO","29183","2016","2016","30-34 years","30-34",1493
,"St. Charles County, MO","29183","2016","2016","35-39 years","35-39",558
,"St. Charles County, MO","29183","2016","2016","40-44 years","40-44",65
,"St. Charles County, MO","29183","2017","2017","17 years","17",16
,"St. Charles County, MO","29183","2017","2017","18 years","18",27
,"St. Charles County, MO","29183","2017","2017","19 years","19",30
,"St. Charles County, MO","29183","2017","2017","20-24 years","20-24",415
,"St. Charles County, MO","29183","2017","2017","25-29 years","25-29",1261
,"St. Charles County, MO","29183","2017","2017","30-34 years","30-34",1458
,"St. Charles County, MO","29183","2017","2017","35-39 years","35-39",616
,"St. Charles County, MO","29183","2017","2017","40-44 years","40-44",86
,"St. Charles County, MO","29183","2018","2018","17 years","17",18
,"St. Charles County, MO","29183","2018","2018","18 years","18",23
,"St. Charles County, MO","29183","2018","2018","19 years","19",35
,"St. Charles County, MO","29183","2018","2018","20-24 years","20-24",415
,"St. Charles County, MO","29183","2018","2018","25-29 years","25-29",1164
,"St. Charles County, MO","29183","2018","2018","30-34 years","30-34",1487
,"St. Charles County, MO","29183","2018","2018","35-39 years","35-39",616
,"St. Charles County, MO","29183","2018","2018","40-44 years","40-44",100
,"St. Charles County, MO","29183","2019","2019","18 years","18",18
,"St. Charles County, MO","29183","2019","2019","19 years","19",52
,"St. Charles County, MO","29183","2019","2019","20-24 years","20-24",402
,"St. Charles County, MO","29183","2019","2019","25-29 years","25-29",1178
,"St. Charles County, MO","29183","2019","2019","30-34 years","30-34",1511
,"St. Charles County, MO","29183","2019","2019","35-39 years","35-39",668
,"St. Charles County, MO","29183","2019","2019","40-44 years","40-44",105
,"St. Charles County, MO","29183","2020","2020","17 years","17",10
,"St. Charles County, MO","29183","2020","2020","18 years","18",21
,"St. Charles County, MO","29183","2020","2020","19 years","19",31
,"St. Charles County, MO","29183","2020","2020","20-24 years","20-24",364
,"St. Charles County, MO","29183","2020","2020","25-29 years","25-29",1144
,"St. Charles County, MO","29183","2020","2020","30-34 years","30-34",1382
,"St. Charles County, MO","29183","2020","2020","35-39 years","35-39",587
,"St. Charles County, MO","29183","2020","2020","40-44 years","40-44",124
,"St. Charles County, MO","29183","2021","2021","18 years","18",18
,"St. Charles County, MO","29183","2021","2021","19 years","19",26
,"St. Charles County, MO","29183","2021","2021","20-24 years","20-24",356
,"St. Charles County, MO","29183","2021","2021","25-29 years","25-29",1067
,"St. Charles County, MO","29183","2021","2021","30-34 years","30-34",1339
,"St. Charles County, MO","29183","2021","2021","35-39 years","35-39",643
,"St. Charles County, MO","29183","2021","2021","40-44 years","40-44",87
,"St. Charles County, MO","29183","2022","2022","17 years","17",10
,"St. Charles County, MO","29183","2022","2022","18 years","18",17
,"St. Charles County, MO","29183","2022","2022","19 years","19",29
,"St. Charles County, MO","29183","2022","2022","20-24 years","20-24",360
,"St. Charles County, MO","29183","2022","2022","25-29 years","25-29",1094
,"St. Charles County, MO","29183","2022","2022","30-34 years","30-34",1450
,"St. Charles County, MO","29183","2022","2022","35-39 years","35-39",614
,"St. Charles County, MO","29183","2022","2022","40-44 years","40-44",101
,"St. Charles County, MO","29183","2023","2023","18 years","18",14
,"St. Charles County, MO","29183","2023","2023","19 years","19",30
,"St. Charles County, MO","29183","2023","2023","20-24 years","20-24",341
,"St. Charles County, MO","29183","2023","2023","25-29 years","25-29",1054
,"St. Charles County, MO","29183","2023","2023","30-34 years","30-34",1378
,"St. Charles County, MO","29183","2023","2023","35-39 years","35-39",639
,"St. Charles County, MO","29183","2023","2023","40-44 years","40-44",101
,"St. Charles County, MO","29183","2023","2023","45-49 years","45-49",12
,"St. Charles County, MO","29183","2024","2024","18 years","18",10
,"St. Charles County, MO","29183","2024","2024","19 years","19",31
,"St. Charles County, MO","29183","2024","2024","20-24 years","20-24",351
,"St. Charles County, MO","29183","2024","2024","25-29 years","25-29",1062
,"St. Charles County, MO","29183","2024","2024","30-34 years","30-34",1480
,"St. Charles County, MO","29183","2024","2024","35-39 years","35-39",661
,"St. Charles County, MO","29183","2024","2024","40-44 years","40-44",119
,"St. Louis County, MO","29189","2016","2016","15 years","15",10
,"St. Louis County, MO","29189","2016","2016","16 years","16",29
,"St. Louis County, MO","29189","2016","2016","17 years","17",40
,"St. Louis County, MO","29189","2016","2016","18 years","18",103
,"St. Louis County, MO","29189","2016","2016","19 years","19",174
,"St. Louis County, MO","29189","2016","2016","20-24 years","20-24",1443
,"St. Louis County, MO","29189","2016","2016","25-29 years","25-29",2609
,"St. Louis County, MO","29189","2016","2016","30-34 years","30-34",3371
,"St. Louis County, MO","29189","2016","2016","35-39 years","35-39",1599
,"St. Louis County, MO","29189","2016","2016","40-44 years","40-44",270
,"St. Louis County, MO","29189","2016","2016","45-49 years","45-49",17
,"St. Louis County, MO","29189","2017","2017","16 years","16",22
,"St. Louis County, MO","29189","2017","2017","17 years","17",48
,"St. Louis County, MO","29189","2017","2017","18 years","18",79
,"St. Louis County, MO","29189","2017","2017","19 years","19",164
,"St. Louis County, MO","29189","2017","2017","20-24 years","20-24",1315
,"St. Louis County, MO","29189","2017","2017","25-29 years","25-29",2446
,"St. Louis County, MO","29189","2017","2017","30-34 years","30-34",3128
,"St. Louis County, MO","29189","2017","2017","35-39 years","35-39",1490
,"St. Louis County, MO","29189","2017","2017","40-44 years","40-44",257
,"St. Louis County, MO","29189","2017","2017","45-49 years","45-49",14
,"St. Louis County, MO","29189","2018","2018","16 years","16",18
,"St. Louis County, MO","29189","2018","2018","17 years","17",40
,"St. Louis County, MO","29189","2018","2018","18 years","18",95
,"St. Louis County, MO","29189","2018","2018","19 years","19",132
,"St. Louis County, MO","29189","2018","2018","20-24 years","20-24",1281
,"St. Louis County, MO","29189","2018","2018","25-29 years","25-29",2598
,"St. Louis County, MO","29189","2018","2018","30-34 years","30-34",3205
,"St. Louis County, MO","29189","2018","2018","35-39 years","35-39",1563
,"St. Louis County, MO","29189","2018","2018","40-44 years","40-44",266
,"St. Louis County, MO","29189","2018","2018","45-49 years","45-49",12
,"St. Louis County, MO","29189","2019","2019","16 years","16",20
,"St. Louis County, MO","29189","2019","2019","17 years","17",50
,"St. Louis County, MO","29189","2019","2019","18 years","18",80
,"St. Louis County, MO","29189","2019","2019","19 years","19",156
,"St. Louis County, MO","29189","2019","2019","20-24 years","20-24",1414
,"St. Louis County, MO","29189","2019","2019","25-29 years","25-29",2631
,"St. Louis County, MO","29189","2019","2019","30-34 years","30-34",3301
,"St. Louis County, MO","29189","2019","2019","35-39 years","35-39",1706
,"St. Louis County, MO","29189","2019","2019","40-44 years","40-44",277
,"St. Louis County, MO","29189","2019","2019","45-49 years","45-49",14
,"St. Louis County, MO","29189","2020","2020","16 years","16",20
,"St. Louis County, MO","29189","2020","2020","17 years","17",49
,"St. Louis County, MO","29189","2020","2020","18 years","18",62
,"St. Louis County, MO","29189","2020","2020","19 years","19",122
,"St. Louis County, MO","29189","2020","2020","20-24 years","20-24",1206
,"St. Louis County, MO","29189","2020","2020","25-29 years","25-29",2377
,"St. Louis County, MO","29189","2020","2020","30-34 years","30-34",3114
,"St. Louis County, MO","29189","2020","2020","35-39 years","35-39",1514
,"St. Louis County, MO","29189","2020","2020","40-44 years","40-44",296
,"St. Louis County, MO","29189","2020","2020","45-49 years","45-49",12
,"St. Louis County, MO","29189","2021","2021","16 years","16",11
,"St. Louis County, MO","29189","2021","2021","17 years","17",39
,"St. Louis County, MO","29189","2021","2021","18 years","18",61
,"St. Louis County, MO","29189","2021","2021","19 years","19",117
,"St. Louis County, MO","29189","2021","2021","20-24 years","20-24",1033
,"St. Louis County, MO","29189","2021","2021","25-29 years","25-29",2129
,"St. Louis County, MO","29189","2021","2021","30-34 years","30-34",3061
,"St. Louis County, MO","29189","2021","2021","35-39 years","35-39",1554
,"St. Louis County, MO","29189","2021","2021","40-44 years","40-44",289
,"St. Louis County, MO","29189","2021","2021","45-49 years","45-49",21
,"St. Louis County, MO","29189","2022","2022","16 years","16",18
,"St. Louis County, MO","29189","2022","2022","17 years","17",48
,"St. Louis County, MO","29189","2022","2022","18 years","18",70
,"St. Louis County, MO","29189","2022","2022","19 years","19",131
,"St. Louis County, MO","29189","2022","2022","20-24 years","20-24",1165
,"St. Louis County, MO","29189","2022","2022","25-29 years","25-29",2219
,"St. Louis County, MO","29189","2022","2022","30-34 years","30-34",3187
,"St. Louis County, MO","29189","2022","2022","35-39 years","35-39",1616
,"St. Louis County, MO","29189","2022","2022","40-44 years","40-44",294
,"St. Louis County, MO","29189","2022","2022","45-49 years","45-49",15
,"St. Louis County, MO","29189","2023","2023","15 years","15",11
,"St. Louis County, MO","29189","2023","2023","16 years","16",17
,"St. Louis County, MO","29189","2023","2023","17 years","17",39
,"St. Louis County, MO","29189","2023","2023","18 years","18",71
,"St. Louis County, MO","29189","2023","2023","19 years","19",103
,"St. Louis County, MO","29189","2023","2023","20-24 years","20-24",1136
,"St. Louis County, MO","29189","2023","2023","25-29 years","25-29",2041
,"St. Louis County, MO","29189","2023","2023","30-34 years","30-34",3060
,"St. Louis County, MO","29189","2023","2023","35-39 years","35-39",1663
,"St. Louis County, MO","29189","2023","2023","40-44 years","40-44",340
,"St. Louis County, MO","29189","2023","2023","45-49 years","45-49",19
,"St. Louis County, MO","29189","2024","2024","16 years","16",28
,"St. Louis County, MO","29189","2024","2024","17 years","17",40
,"St. Louis County, MO","29189","2024","2024","18 years","18",66
,"St. Louis County, MO","29189","2024","2024","19 years","19",154
,"St. Louis County, MO","29189","2024","2024","20-24 years","20-24",1109
,"St. Louis County, MO","29189","2024","2024","25-29 years","25-29",2196
,"St. Louis County, MO","29189","2024","2024","30-34 years","30-34",3188
,"St. Louis County, MO","29189","2024","2024","35-39 years","35-39",1705
,"St. Louis County, MO","29189","2024","2024","40-44 years","40-44",336
,"St. Louis County, MO","29189","2024","2024","45-49 years","45-49",21
,"St. Louis city, MO","29510","2016","2016","16 years","16",17
,"St. Louis city, MO","29510","2016","2016","17 years","17",35
,"St. Louis city, MO","29510","2016","2016","18 years","18",65
,"St. Louis city, MO","29510","2016","2016","19 years","19",79
,"St. Louis city, MO","29510","2016","2016","20-24 years","20-24",800
,"St. Louis city, MO","29510","2016","2016","25-29 years","25-29",1040
,"St. Louis city, MO","29510","2016","2016","30-34 years","30-34",961
,"St. Louis city, MO","29510","2016","2016","35-39 years","35-39",403
,"St. Louis city, MO","29510","2016","2016","40-44 years","40-44",58
,"St. Louis city, MO","29510","2017","2017","16 years","16",10
,"St. Louis city, MO","29510","2017","2017","17 years","17",28
,"St. Louis city, MO","29510","2017","2017","18 years","18",41
,"St. Louis city, MO","29510","2017","2017","19 years","19",63
,"St. Louis city, MO","29510","2017","2017","20-24 years","20-24",607
,"St. Louis city, MO","29510","2017","2017","25-29 years","25-29",935
,"St. Louis city, MO","29510","2017","2017","30-34 years","30-34",881
,"St. Louis city, MO","29510","2017","2017","35-39 years","35-39",404
,"St. Louis city, MO","29510","2017","2017","40-44 years","40-44",74
,"St. Louis city, MO","29510","2018","2018","16 years","16",13
,"St. Louis city, MO","29510","2018","2018","17 years","17",20
,"St. Louis city, MO","29510","2018","2018","18 years","18",44
,"St. Louis city, MO","29510","2018","2018","19 years","19",59
,"St. Louis city, MO","29510","2018","2018","20-24 years","20-24",552
,"St. Louis city, MO","29510","2018","2018","25-29 years","25-29",894
,"St. Louis city, MO","29510","2018","2018","30-34 years","30-34",905
,"St. Louis city, MO","29510","2018","2018","35-39 years","35-39",464
,"St. Louis city, MO","29510","2018","2018","40-44 years","40-44",82
,"St. Louis city, MO","29510","2019","2019","16 years","16",14
,"St. Louis city, MO","29510","2019","2019","17 years","17",26
,"St. Louis city, MO","29510","2019","2019","18 years","18",44
,"St. Louis city, MO","29510","2019","2019","19 years","19",75
,"St. Louis city, MO","29510","2019","2019","20-24 years","20-24",622
,"St. Louis city, MO","29510","2019","2019","25-29 years","25-29",976
,"St. Louis city, MO","29510","2019","2019","30-34 years","30-34",955
,"St. Louis city, MO","29510","2019","2019","35-39 years","35-39",460
,"St. Louis city, MO","29510","2019","2019","40-44 years","40-44",79
,"St. Louis city, MO","29510","2020","2020","16 years","16",13
,"St. Louis city, MO","29510","2020","2020","17 years","17",29
,"St. Louis city, MO","29510","2020","2020","18 years","18",46
,"St. Louis city, MO","29510","2020","2020","19 years","19",66
,"St. Louis city, MO","29510","2020","2020","20-24 years","20-24",527
,"St. Louis city, MO","29510","2020","2020","25-29 years","25-29",795
,"St. Louis city, MO","29510","2020","2020","30-34 years","30-34",990
,"St. Louis city, MO","29510","2020","2020","35-39 years","35-39",428
,"St. Louis city, MO","29510","2020","2020","40-44 years","40-44",76
,"St. Louis city, MO","29510","2021","2021","16 years","16",15
,"St. Louis city, MO","29510","2021","2021","17 years","17",23
,"St. Louis city, MO","29510","2021","2021","18 years","18",47
,"St. Louis city, MO","29510","2021","2021","19 years","19",71
,"St. Louis city, MO","29510","2021","2021","20-24 years","20-24",506
,"St. Louis city, MO","29510","2021","2021","25-29 years","25-29",815
,"St. Louis city, MO","29510","2021","2021","30-34 years","30-34",938
,"St. Louis city, MO","29510","2021","2021","35-39 years","35-39",494
,"St. Louis city, MO","29510","2021","2021","40-44 years","40-44",111
,"St. Louis city, MO","29510","2022","2022","15 years","15",12
,"St. Louis city, MO","29510","2022","2022","16 years","16",10
,"St. Louis city, MO","29510","2022","2022","17 years","17",23
,"St. Louis city, MO","29510","2022","2022","18 years","18",36
,"St. Louis city, MO","29510","2022","2022","19 years","19",67
,"St. Louis city, MO","29510","2022","2022","20-24 years","20-24",473
,"St. Louis city, MO","29510","2022","2022","25-29 years","25-29",741
,"St. Louis city, MO","29510","2022","2022","30-34 years","30-34",939
,"St. Louis city, MO","29510","2022","2022","35-39 years","35-39",493
,"St. Louis city, MO","29510","2022","2022","40-44 years","40-44",100
,"St. Louis city, MO","29510","2023","2023","16 years","16",20
,"St. Louis city, MO","29510","2023","2023","17 years","17",25
,"St. Louis city, MO","29510","2023","2023","18 years","18",37
,"St. Louis city, MO","29510","2023","2023","19 years","19",59
,"St. Louis city, MO","29510","2023","2023","20-24 years","20-24",439
,"St. Louis city, MO","29510","2023","2023","25-29 years","25-29",759
,"St. Louis city, MO","29510","2023","2023","30-34 years","30-34",951
,"St. Louis city, MO","29510","2023","2023","35-39 years","35-39",487
,"St. Louis city, MO","29510","2023","2023","40-44 years","40-44",97
,"St. Louis city, MO","29510","2024","2024","16 years","16",11
,"St. Louis city, MO","29510","2024","2024","17 years","17",24
,"St. Louis city, MO","29510","2024","2024","18 years","18",40
,"St. Louis city, MO","29510","2024","2024","19 years","19",61
,"St. Louis city, MO","29510","2024","2024","20-24 years","20-24",440
,"St. Louis city, MO","29510","2024","2024","25-29 years","25-29",692
,"St. Louis city, MO","29510","2024","2024","30-34 years","30-34",924
,"St. Louis city, MO","29510","2024","2024","35-39 years","35-39",477
,"St. Louis city, MO","29510","2024","2024","40-44 years","40-44",106
,"Unidentified Counties, MO","29999","2016","2016","Under 15 years","15-",11
,"Unidentified Counties, MO","29999","2016","2016","15 years","15",49
,"Unidentified Counties, MO","29999","2016","2016","16 years","16",121
,"Unidentified Counties, MO","29999","2016","2016","17 years","17",331
,"Unidentified Counties, MO","29999","2016","2016","18 years","18",586
,"Unidentified Counties, MO","29999","2016","2016","19 years","19",919
,"Unidentified Counties, MO","29999","2016","2016","20-24 years","20-24",7776
,"Unidentified Counties, MO","29999","2016","2016","25-29 years","25-29",8832
,"Unidentified Counties, MO","29999","2016","2016","30-34 years","30-34",5807
,"Unidentified Counties, MO","29999","2016","2016","35-39 years","35-39",2310
,"Unidentified Counties, MO","29999","2016","2016","40-44 years","40-44",394
,"Unidentified Counties, MO","29999","2016","2016","45-49 years","45-49",16
,"Unidentified Counties, MO","29999","2017","2017","15 years","15",37
,"Unidentified Counties, MO","29999","2017","2017","16 years","16",108
,"Unidentified Counties, MO","29999","2017","2017","17 years","17",297
,"Unidentified Counties, MO","29999","2017","2017","18 years","18",555
,"Unidentified Counties, MO","29999","2017","2017","19 years","19",993
,"Unidentified Counties, MO","29999","2017","2017","20-24 years","20-24",7597
,"Unidentified Counties, MO","29999","2017","2017","25-29 years","25-29",8883
,"Unidentified Counties, MO","29999","2017","2017","30-34 years","30-34",5730
,"Unidentified Counties, MO","29999","2017","2017","35-39 years","35-39",2316
,"Unidentified Counties, MO","29999","2017","2017","40-44 years","40-44",408
,"Unidentified Counties, MO","29999","2017","2017","45-49 years","45-49",19
,"Unidentified Counties, MO","29999","2018","2018","Under 15 years","15-",11
,"Unidentified Counties, MO","29999","2018","2018","15 years","15",41
,"Unidentified Counties, MO","29999","2018","2018","16 years","16",129
,"Unidentified Counties, MO","29999","2018","2018","17 years","17",262
,"Unidentified Counties, MO","29999","2018","2018","18 years","18",544
,"Unidentified Counties, MO","29999","2018","2018","19 years","19",927
,"Unidentified Counties, MO","29999","2018","2018","20-24 years","20-24",7697
,"Unidentified Counties, MO","29999","2018","2018","25-29 years","25-29",9212
,"Unidentified Counties, MO","29999","2018","2018","30-34 years","30-34",6186
,"Unidentified Counties, MO","29999","2018","2018","35-39 years","35-39",2367
,"Unidentified Counties, MO","29999","2018","2018","40-44 years","40-44",420
,"Unidentified Counties, MO","29999","2018","2018","45-49 years","45-49",25
,"Unidentified Counties, MO","29999","2019","2019","Under 15 years","15-",11
,"Unidentified Counties, MO","29999","2019","2019","15 years","15",33
,"Unidentified Counties, MO","29999","2019","2019","16 years","16",98
,"Unidentified Counties, MO","29999","2019","2019","17 years","17",204
,"Unidentified Counties, MO","29999","2019","2019","18 years","18",479
,"Unidentified Counties, MO","29999","2019","2019","19 years","19",901
,"Unidentified Counties, MO","29999","2019","2019","20-24 years","20-24",7259
,"Unidentified Counties, MO","29999","2019","2019","25-29 years","25-29",9015
,"Unidentified Counties, MO","29999","2019","2019","30-34 years","30-34",6067
,"Unidentified Counties, MO","29999","2019","2019","35-39 years","35-39",2410
,"Unidentified Counties, MO","29999","2019","2019","40-44 years","40-44",440
,"Unidentified Counties, MO","29999","2019","2019","45-49 years","45-49",15
,"Unidentified Counties, MO","29999","2020","2020","Under 15 years","15-",15
,"Unidentified Counties, MO","29999","2020","2020","15 years","15",38
,"Unidentified Counties, MO","29999","2020","2020","16 years","16",86
,"Unidentified Counties, MO","29999","2020","2020","17 years","17",203
,"Unidentified Counties, MO","29999","2020","2020","18 years","18",463
,"Unidentified Counties, MO","29999","2020","2020","19 years","19",800
,"Unidentified Counties, MO","29999","2020","2020","20-24 years","20-24",6952
,"Unidentified Counties, MO","29999","2020","2020","25-29 years","25-29",8755
,"Unidentified Counties, MO","29999","2020","2020","30-34 years","30-34",5915
,"Unidentified Counties, MO","29999","2020","2020","35-39 years","35-39",2325
,"Unidentified Counties, MO","29999","2020","2020","40-44 years","40-44",465
,"Unidentified Counties, MO","29999","2020","2020","45-49 years","45-49",25
,"Unidentified Counties, MO","29999","2021","2021","Under 15 years","15-",16
,"Unidentified Counties, MO","29999","2021","2021","15 years","15",33
,"Unidentified Counties, MO","29999","2021","2021","16 years","16",84
,"Unidentified Counties, MO","29999","2021","2021","17 years","17",231
,"Unidentified Counties, MO","29999","2021","2021","18 years","18",468
,"Unidentified Counties, MO","29999","2021","2021","19 years","19",751
,"Unidentified Counties, MO","29999","2021","2021","20-24 years","20-24",6880
,"Unidentified Counties, MO","29999","2021","2021","25-29 years","25-29",8761
,"Unidentified Counties, MO","29999","2021","2021","30-34 years","30-34",6168
,"Unidentified Counties, MO","29999","2021","2021","35-39 years","35-39",2425
,"Unidentified Counties, MO","29999","2021","2021","40-44 years","40-44",528
,"Unidentified Counties, MO","29999","2021","2021","45-49 years","45-49",25
,"Unidentified Counties, MO","29999","2022","2022","Under 15 years","15-",15
,"Unidentified Counties, MO","29999","2022","2022","15 years","15",31
,"Unidentified Counties, MO","29999","2022","2022","16 years","16",100
,"Unidentified Counties, MO","29999","2022","2022","17 years","17",191
,"Unidentified Counties, MO","29999","2022","2022","18 years","18",433
,"Unidentified Counties, MO","29999","2022","2022","19 years","19",742
,"Unidentified Counties, MO","29999","2022","2022","20-24 years","20-24",6798
,"Unidentified Counties, MO","29999","2022","2022","25-29 years","25-29",8674
,"Unidentified Counties, MO","29999","2022","2022","30-34 years","30-34",6312
,"Unidentified Counties, MO","29999","2022","2022","35-39 years","35-39",2615
,"Unidentified Counties, MO","29999","2022","2022","40-44 years","40-44",473
,"Unidentified Counties, MO","29999","2022","2022","45-49 years","45-49",23
,"Unidentified Counties, MO","29999","2023","2023","15 years","15",38
,"Unidentified Counties, MO","29999","2023","2023","16 years","16",124
,"Unidentified Counties, MO","29999","2023","2023","17 years","17",183
,"Unidentified Counties, MO","29999","2023","2023","18 years","18",392
,"Unidentified Counties, MO","29999","2023","2023","19 years","19",788
,"Unidentified Counties, MO","29999","2023","2023","20-24 years","20-24",6736
,"Unidentified Counties, MO","29999","2023","2023","25-29 years","25-29",8671
,"Unidentified Counties, MO","29999","2023","2023","30-34 years","30-34",6426
,"Unidentified Counties, MO","29999","2023","2023","35-39 years","35-39",2642
,"Unidentified Counties, MO","29999","2023","2023","40-44 years","40-44",511
,"Unidentified Counties, MO","29999","2023","2023","45-49 years","45-49",26
,"Unidentified Counties, MO","29999","2024","2024","Under 15 years","15-",18
,"Unidentified Counties, MO","29999","2024","2024","15 years","15",37
,"Unidentified Counties, MO","29999","2024","2024","16 years","16",93
,"Unidentified Counties, MO","29999","2024","2024","17 years","17",220
,"Unidentified Counties, MO","29999","2024","2024","18 years","18",407
,"Unidentified Counties, MO","29999","2024","2024","19 years","19",742
,"Unidentified Counties, MO","29999","2024","2024","20-24 years","20-24",6671
,"Unidentified Counties, MO","29999","2024","2024","25-29 years","25-29",8682
,"Unidentified Counties, MO","29999","2024","2024","30-34 years","30-34",6523
,"Unidentified Counties, MO","29999","2024","2024","35-39 years","35-39",2625
,"Unidentified Counties, MO","29999","2024","2024","40-44 years","40-44",534
,"Unidentified Counties, MO","29999","2024","2024","45-49 years","45-49",29
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Pre-pregnancy BMI: Underweight <18.5; Normal 18.5-24.9; Overweight 25.0-29.9; Obesity I 30.0-34.9; Obesity II"
"35.0-39.9; Extreme Obesity III > 39.9"
"Mother's Single Race 6: American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific"
"Islander; White; More than one race"
"Number of Prenatal Visits Recode: No visits; 1 to 2 visits; 3 to 4 visits; 5 to 6 visits; 7 to 8 visits; 9 to 10 visits; 11 to"
"12 visits; 13 to 14 visits; 15 to 16 visits; 17 to 18 visits; 19 or more visits"
"OE Gestational Age Recode 11: Under 20 weeks; 20-27 weeks; 28-31 weeks; 32-33 weeks; 34-36 weeks; 37-38 weeks; 39 weeks; 40"
"weeks; 41 weeks; 42 weeks or more"
"Pre-pregnancy Diabetes: Yes; No"
"Pre-pregnancy Hypertension: Yes; No"
"Previous Preterm Birth: Yes; No"
