"Notes","County of Residence","County of Residence Code","Year","Year Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Greene County, MO","29077","2016","2016","No prenatal care","4",54
,"Greene County, MO","29077","2017","2017","1st to 3rd month","1",2164
,"Greene County, MO","29077","2017","2017","4th to 6th month","2",481
,"Greene County, MO","29077","2017","2017","7th to final month","3",127
,"Greene County, MO","29077","2017","2017","No prenatal care","4",69
,"Greene County, MO","29077","2018","2018","1st to 3rd month","1",2278
,"Greene County, MO","29077","2018","2018","4th to 6th month","2",502
,"Greene County, MO","29077","2018","2018","7th to final month","3",180
,"Greene County, MO","29077","2018","2018","No prenatal care","4",148
,"Greene County, MO","29077","2019","2019","1st to 3rd month","1",2303
,"Greene County, MO","29077","2019","2019","4th to 6th month","2",499
,"Greene County, MO","29077","2019","2019","7th to final month","3",144
,"Greene County, MO","29077","2019","2019","No prenatal care","4",177
,"Greene County, MO","29077","2020","2020","1st to 3rd month","1",2331
,"Greene County, MO","29077","2020","2020","4th to 6th month","2",401
,"Greene County, MO","29077","2020","2020","7th to final month","3",130
,"Greene County, MO","29077","2020","2020","No prenatal care","4",153
,"Greene County, MO","29077","2021","2021","1st to 3rd month","1",2389
,"Greene County, MO","29077","2021","2021","4th to 6th month","2",412
,"Greene County, MO","29077","2021","2021","7th to final month","3",124
,"Greene County, MO","29077","2021","2021","No prenatal care","4",139
,"Greene County, MO","29077","2022","2022","1st to 3rd month","1",2208
,"Greene County, MO","29077","2022","2022","4th to 6th month","2",467
,"Greene County, MO","29077","2022","2022","7th to final month","3",143
,"Greene County, MO","29077","2022","2022","No prenatal care","4",118
,"Greene County, MO","29077","2023","2023","1st to 3rd month","1",2281
,"Greene County, MO","29077","2023","2023","4th to 6th month","2",446
,"Greene County, MO","29077","2023","2023","7th to final month","3",129
,"Greene County, MO","29077","2023","2023","No prenatal care","4",144
,"Greene County, MO","29077","2024","2024","1st to 3rd month","1",2392
,"Greene County, MO","29077","2024","2024","4th to 6th month","2",534
,"Greene County, MO","29077","2024","2024","7th to final month","3",169
,"Greene County, MO","29077","2024","2024","No prenatal care","4",109
,"Jackson County, MO","29095","2016","2016","1st to 3rd month","1",5820
,"Jackson County, MO","29095","2016","2016","4th to 6th month","2",1682
,"Jackson County, MO","29095","2016","2016","7th to final month","3",433
,"Jackson County, MO","29095","2016","2016","No prenatal care","4",132
,"Jackson County, MO","29095","2017","2017","1st to 3rd month","1",5737
,"Jackson County, MO","29095","2017","2017","4th to 6th month","2",1768
,"Jackson County, MO","29095","2017","2017","7th to final month","3",464
,"Jackson County, MO","29095","2017","2017","No prenatal care","4",168
,"Jackson County, MO","29095","2018","2018","1st to 3rd month","1",5726
,"Jackson County, MO","29095","2018","2018","4th to 6th month","2",1799
,"Jackson County, MO","29095","2018","2018","7th to final month","3",480
,"Jackson County, MO","29095","2018","2018","No prenatal care","4",150
,"Jackson County, MO","29095","2019","2019","1st to 3rd month","1",5775
,"Jackson County, MO","29095","2019","2019","4th to 6th month","2",1682
,"Jackson County, MO","29095","2019","2019","7th to final month","3",458
,"Jackson County, MO","29095","2019","2019","No prenatal care","4",174
,"Jackson County, MO","29095","2020","2020","1st to 3rd month","1",5601
,"Jackson County, MO","29095","2020","2020","4th to 6th month","2",1662
,"Jackson County, MO","29095","2020","2020","7th to final month","3",462
,"Jackson County, MO","29095","2020","2020","No prenatal care","4",156
,"Jackson County, MO","29095","2021","2021","1st to 3rd month","1",5567
,"Jackson County, MO","29095","2021","2021","4th to 6th month","2",1408
,"Jackson County, MO","29095","2021","2021","7th to final month","3",332
,"Jackson County, MO","29095","2021","2021","No prenatal care","4",139
,"Jackson County, MO","29095","2022","2022","1st to 3rd month","1",5880
,"Jackson County, MO","29095","2022","2022","4th to 6th month","2",1525
,"Jackson County, MO","29095","2022","2022","7th to final month","3",382
,"Jackson County, MO","29095","2022","2022","No prenatal care","4",148
,"Jackson County, MO","29095","2023","2023","1st to 3rd month","1",5835
,"Jackson County, MO","29095","2023","2023","4th to 6th month","2",1651
,"Jackson County, MO","29095","2023","2023","7th to final month","3",374
,"Jackson County, MO","29095","2023","2023","No prenatal care","4",169
,"Jackson County, MO","29095","2024","2024","1st to 3rd month","1",5850
,"Jackson County, MO","29095","2024","2024","4th to 6th month","2",1781
,"Jackson County, MO","29095","2024","2024","7th to final month","3",364
,"Jackson County, MO","29095","2024","2024","No prenatal care","4",203
,"Jasper County, MO","29097","2016","2016","1st to 3rd month","1",1210
,"Jasper County, MO","29097","2016","2016","4th to 6th month","2",310
,"Jasper County, MO","29097","2016","2016","7th to final month","3",61
,"Jasper County, MO","29097","2016","2016","No prenatal care","4",13
,"Jasper County, MO","29097","2017","2017","1st to 3rd month","1",1195
,"Jasper County, MO","29097","2017","2017","4th to 6th month","2",264
,"Jasper County, MO","29097","2017","2017","7th to final month","3",65
