"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Clay County, MO","29047","2016","2016","13 to 14 visits","8",671
,"Clay County, MO","29047","2016","2016","15 to 16 visits","9",234
,"Clay County, MO","29047","2016","2016","17 to 18 visits","10",51
,"Clay County, MO","29047","2016","2016","19 or more visits","11",45
,"Clay County, MO","29047","2017","2017","No visits","1",24
,"Clay County, MO","29047","2017","2017","1 to 2 visits","2",25
,"Clay County, MO","29047","2017","2017","3 to 4 visits","3",43
,"Clay County, MO","29047","2017","2017","5 to 6 visits","4",89
,"Clay County, MO","29047","2017","2017","7 to 8 visits","5",201
,"Clay County, MO","29047","2017","2017","9 to 10 visits","6",480
,"Clay County, MO","29047","2017","2017","11 to 12 visits","7",924
,"Clay County, MO","29047","2017","2017","13 to 14 visits","8",661
,"Clay County, MO","29047","2017","2017","15 to 16 visits","9",260
,"Clay County, MO","29047","2017","2017","17 to 18 visits","10",57
,"Clay County, MO","29047","2017","2017","19 or more visits","11",51
,"Clay County, MO","29047","2018","2018","No visits","1",23
,"Clay County, MO","29047","2018","2018","1 to 2 visits","2",17
,"Clay County, MO","29047","2018","2018","3 to 4 visits","3",54
,"Clay County, MO","29047","2018","2018","5 to 6 visits","4",100
,"Clay County, MO","29047","2018","2018","7 to 8 visits","5",216
,"Clay County, MO","29047","2018","2018","9 to 10 visits","6",532
,"Clay County, MO","29047","2018","2018","11 to 12 visits","7",987
,"Clay County, MO","29047","2018","2018","13 to 14 visits","8",681
,"Clay County, MO","29047","2018","2018","15 to 16 visits","9",195
,"Clay County, MO","29047","2018","2018","17 to 18 visits","10",58
,"Clay County, MO","29047","2018","2018","19 or more visits","11",38
,"Clay County, MO","29047","2019","2019","No visits","1",26
,"Clay County, MO","29047","2019","2019","1 to 2 visits","2",31
,"Clay County, MO","29047","2019","2019","3 to 4 visits","3",37
,"Clay County, MO","29047","2019","2019","5 to 6 visits","4",84
,"Clay County, MO","29047","2019","2019","7 to 8 visits","5",203
,"Clay County, MO","29047","2019","2019","9 to 10 visits","6",531
,"Clay County, MO","29047","2019","2019","11 to 12 visits","7",990
,"Clay County, MO","29047","2019","2019","13 to 14 visits","8",718
