"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Jackson County, MO","29095","2020","2020","15 to 16 visits","9",325
,"Jackson County, MO","29095","2020","2020","17 to 18 visits","10",106
,"Jackson County, MO","29095","2020","2020","19 or more visits","11",77
,"Jackson County, MO","29095","2021","2021","No visits","1",139
,"Jackson County, MO","29095","2021","2021","1 to 2 visits","2",153
,"Jackson County, MO","29095","2021","2021","3 to 4 visits","3",259
,"Jackson County, MO","29095","2021","2021","5 to 6 visits","4",392
,"Jackson County, MO","29095","2021","2021","7 to 8 visits","5",830
,"Jackson County, MO","29095","2021","2021","9 to 10 visits","6",1613
,"Jackson County, MO","29095","2021","2021","11 to 12 visits","7",2267
,"Jackson County, MO","29095","2021","2021","13 to 14 visits","8",1303
,"Jackson County, MO","29095","2021","2021","15 to 16 visits","9",318
,"Jackson County, MO","29095","2021","2021","17 to 18 visits","10",91
,"Jackson County, MO","29095","2021","2021","19 or more visits","11",81
,"Jackson County, MO","29095","2022","2022","No visits","1",148
,"Jackson County, MO","29095","2022","2022","1 to 2 visits","2",176
,"Jackson County, MO","29095","2022","2022","3 to 4 visits","3",282
,"Jackson County, MO","29095","2022","2022","5 to 6 visits","4",490
,"Jackson County, MO","29095","2022","2022","7 to 8 visits","5",892
,"Jackson County, MO","29095","2022","2022","9 to 10 visits","6",1866
,"Jackson County, MO","29095","2022","2022","11 to 12 visits","7",2446
,"Jackson County, MO","29095","2022","2022","13 to 14 visits","8",1221
,"Jackson County, MO","29095","2022","2022","15 to 16 visits","9",265
,"Jackson County, MO","29095","2022","2022","17 to 18 visits","10",75
,"Jackson County, MO","29095","2022","2022","19 or more visits","11",74
,"Jackson County, MO","29095","2023","2023","No visits","1",169
,"Jackson County, MO","29095","2023","2023","1 to 2 visits","2",170
,"Jackson County, MO","29095","2023","2023","3 to 4 visits","3",272
,"Jackson County, MO","29095","2023","2023","5 to 6 visits","4",509
,"Jackson County, MO","29095","2023","2023","7 to 8 visits","5",983
,"Jackson County, MO","29095","2023","2023","9 to 10 visits","6",2043
,"Jackson County, MO","29095","2023","2023","11 to 12 visits","7",2388
,"Jackson County, MO","29095","2023","2023","13 to 14 visits","8",1161
,"Jackson County, MO","29095","2023","2023","15 to 16 visits","9",238
,"Jackson County, MO","29095","2023","2023","17 to 18 visits","10",50
,"Jackson County, MO","29095","2023","2023","19 or more visits","11",46
,"Jackson County, MO","29095","2024","2024","No visits","1",203
,"Jackson County, MO","29095","2024","2024","1 to 2 visits","2",234
,"Jackson County, MO","29095","2024","2024","3 to 4 visits","3",306
,"Jackson County, MO","29095","2024","2024","5 to 6 visits","4",561
,"Jackson County, MO","29095","2024","2024","7 to 8 visits","5",1041
,"Jackson County, MO","29095","2024","2024","9 to 10 visits","6",2070
,"Jackson County, MO","29095","2024","2024","11 to 12 visits","7",2327
,"Jackson County, MO","29095","2024","2024","13 to 14 visits","8",1118
,"Jackson County, MO","29095","2024","2024","15 to 16 visits","9",212
,"Jackson County, MO","29095","2024","2024","17 to 18 visits","10",55
,"Jackson County, MO","29095","2024","2024","19 or more visits","11",71
,"Jasper County, MO","29097","2016","2016","No visits","1",13
,"Jasper County, MO","29097","2016","2016","3 to 4 visits","3",36
,"Jasper County, MO","29097","2016","2016","5 to 6 visits","4",56
,"Jasper County, MO","29097","2016","2016","7 to 8 visits","5",128
,"Jasper County, MO","29097","2016","2016","9 to 10 visits","6",295
,"Jasper County, MO","29097","2016","2016","11 to 12 visits","7",469
,"Jasper County, MO","29097","2016","2016","13 to 14 visits","8",402
,"Jasper County, MO","29097","2016","2016","15 to 16 visits","9",127
,"Jasper County, MO","29097","2016","2016","17 to 18 visits","10",42
,"Jasper County, MO","29097","2016","2016","19 or more visits","11",17
,"Jasper County, MO","29097","2017","2017","No visits","1",14
,"Jasper County, MO","29097","2017","2017","1 to 2 visits","2",15
,"Jasper County, MO","29097","2017","2017","3 to 4 visits","3",40
,"Jasper County, MO","29097","2017","2017","5 to 6 visits","4",46
,"Jasper County, MO","29097","2017","2017","7 to 8 visits","5",116
,"Jasper County, MO","29097","2017","2017","9 to 10 visits","6",263
,"Jasper County, MO","29097","2017","2017","11 to 12 visits","7",460
,"Jasper County, MO","29097","2017","2017","13 to 14 visits","8",382
,"Jasper County, MO","29097","2017","2017","15 to 16 visits","9",132
,"Jasper County, MO","29097","2017","2017","17 to 18 visits","10",38
,"Jasper County, MO","29097","2017","2017","19 or more visits","11",32
,"Jasper County, MO","29097","2018","2018","No visits","1",15
,"Jasper County, MO","29097","2018","2018","1 to 2 visits","2",16
,"Jasper County, MO","29097","2018","2018","3 to 4 visits","3",38
,"Jasper County, MO","29097","2018","2018","5 to 6 visits","4",58
,"Jasper County, MO","29097","2018","2018","7 to 8 visits","5",113
,"Jasper County, MO","29097","2018","2018","9 to 10 visits","6",290
,"Jasper County, MO","29097","2018","2018","11 to 12 visits","7",502
,"Jasper County, MO","29097","2018","2018","13 to 14 visits","8",328
,"Jasper County, MO","29097","2018","2018","15 to 16 visits","9",101
,"Jasper County, MO","29097","2018","2018","17 to 18 visits","10",18
,"Jasper County, MO","29097","2018","2018","19 or more visits","11",15
,"Jasper County, MO","29097","2019","2019","No visits","1",22
,"Jasper County, MO","29097","2019","2019","1 to 2 visits","2",18
,"Jasper County, MO","29097","2019","2019","3 to 4 visits","3",31
,"Jasper County, MO","29097","2019","2019","5 to 6 visits","4",59
,"Jasper County, MO","29097","2019","2019","7 to 8 visits","5",116
,"Jasper County, MO","29097","2019","2019","9 to 10 visits","6",268
,"Jasper County, MO","29097","2019","2019","11 to 12 visits","7",500
,"Jasper County, MO","29097","2019","2019","13 to 14 visits","8",354
,"Jasper County, MO","29097","2019","2019","15 to 16 visits","9",83
,"Jasper County, MO","29097","2019","2019","17 to 18 visits","10",15
,"Jasper County, MO","29097","2020","2020","No visits","1",23
,"Jasper County, MO","29097","2020","2020","1 to 2 visits","2",13
,"Jasper County, MO","29097","2020","2020","3 to 4 visits","3",23
,"Jasper County, MO","29097","2020","2020","5 to 6 visits","4",60
,"Jasper County, MO","29097","2020","2020","7 to 8 visits","5",111
,"Jasper County, MO","29097","2020","2020","9 to 10 visits","6",308
,"Jasper County, MO","29097","2020","2020","11 to 12 visits","7",523
,"Jasper County, MO","29097","2020","2020","13 to 14 visits","8",272
,"Jasper County, MO","29097","2020","2020","15 to 16 visits","9",73
,"Jasper County, MO","29097","2020","2020","17 to 18 visits","10",12
,"Jasper County, MO","29097","2020","2020","19 or more visits","11",12
,"Jasper County, MO","29097","2021","2021","No visits","1",20
,"Jasper County, MO","29097","2021","2021","1 to 2 visits","2",10
,"Jasper County, MO","29097","2021","2021","3 to 4 visits","3",31
,"Jasper County, MO","29097","2021","2021","5 to 6 visits","4",66
,"Jasper County, MO","29097","2021","2021","7 to 8 visits","5",82
,"Jasper County, MO","29097","2021","2021","9 to 10 visits","6",323
,"Jasper County, MO","29097","2021","2021","11 to 12 visits","7",536
,"Jasper County, MO","29097","2021","2021","13 to 14 visits","8",314
,"Jasper County, MO","29097","2021","2021","15 to 16 visits","9",78
,"Jasper County, MO","29097","2021","2021","17 to 18 visits","10",14
,"Jasper County, MO","29097","2022","2022","No visits","1",18
,"Jasper County, MO","29097","2022","2022","1 to 2 visits","2",16
,"Jasper County, MO","29097","2022","2022","3 to 4 visits","3",38
,"Jasper County, MO","29097","2022","2022","5 to 6 visits","4",54
,"Jasper County, MO","29097","2022","2022","7 to 8 visits","5",111
,"Jasper County, MO","29097","2022","2022","9 to 10 visits","6",296
,"Jasper County, MO","29097","2022","2022","11 to 12 visits","7",567
,"Jasper County, MO","29097","2022","2022","13 to 14 visits","8",310
,"Jasper County, MO","29097","2022","2022","15 to 16 visits","9",71
,"Jasper County, MO","29097","2022","2022","17 to 18 visits","10",18
,"Jasper County, MO","29097","2022","2022","19 or more visits","11",11
,"Jasper County, MO","29097","2023","2023","No visits","1",19
,"Jasper County, MO","29097","2023","2023","3 to 4 visits","3",21
,"Jasper County, MO","29097","2023","2023","5 to 6 visits","4",51
,"Jasper County, MO","29097","2023","2023","7 to 8 visits","5",117
,"Jasper County, MO","29097","2023","2023","9 to 10 visits","6",321
,"Jasper County, MO","29097","2023","2023","11 to 12 visits","7",548
,"Jasper County, MO","29097","2023","2023","13 to 14 visits","8",250
,"Jasper County, MO","29097","2023","2023","15 to 16 visits","9",37
,"Jasper County, MO","29097","2024","2024","No visits","1",21
,"Jasper County, MO","29097","2024","2024","3 to 4 visits","3",26
,"Jasper County, MO","29097","2024","2024","5 to 6 visits","4",53
,"Jasper County, MO","29097","2024","2024","7 to 8 visits","5",156
,"Jasper County, MO","29097","2024","2024","9 to 10 visits","6",353
,"Jasper County, MO","29097","2024","2024","11 to 12 visits","7",529
,"Jasper County, MO","29097","2024","2024","13 to 14 visits","8",210
,"Jasper County, MO","29097","2024","2024","15 to 16 visits","9",37
,"Jefferson County, MO","29099","2016","2016","No visits","1",23
,"Jefferson County, MO","29099","2016","2016","1 to 2 visits","2",14
,"Jefferson County, MO","29099","2016","2016","3 to 4 visits","3",24
,"Jefferson County, MO","29099","2016","2016","5 to 6 visits","4",54
,"Jefferson County, MO","29099","2016","2016","7 to 8 visits","5",126
,"Jefferson County, MO","29099","2016","2016","9 to 10 visits","6",434
,"Jefferson County, MO","29099","2016","2016","11 to 12 visits","7",945
,"Jefferson County, MO","29099","2016","2016","13 to 14 visits","8",422
,"Jefferson County, MO","29099","2016","2016","15 to 16 visits","9",169
,"Jefferson County, MO","29099","2016","2016","17 to 18 visits","10",32
,"Jefferson County, MO","29099","2016","2016","19 or more visits","11",44
,"Jefferson County, MO","29099","2017","2017","No visits","1",14
,"Jefferson County, MO","29099","2017","2017","1 to 2 visits","2",11
,"Jefferson County, MO","29099","2017","2017","3 to 4 visits","3",28
,"Jefferson County, MO","29099","2017","2017","5 to 6 visits","4",73
,"Jefferson County, MO","29099","2017","2017","7 to 8 visits","5",162
,"Jefferson County, MO","29099","2017","2017","9 to 10 visits","6",438
,"Jefferson County, MO","29099","2017","2017","11 to 12 visits","7",824
,"Jefferson County, MO","29099","2017","2017","13 to 14 visits","8",355
,"Jefferson County, MO","29099","2017","2017","15 to 16 visits","9",109
,"Jefferson County, MO","29099","2017","2017","17 to 18 visits","10",27
,"Jefferson County, MO","29099","2017","2017","19 or more visits","11",22
,"Jefferson County, MO","29099","2018","2018","No visits","1",21
,"Jefferson County, MO","29099","2018","2018","1 to 2 visits","2",21
,"Jefferson County, MO","29099","2018","2018","3 to 4 visits","3",38
,"Jefferson County, MO","29099","2018","2018","5 to 6 visits","4",82
,"Jefferson County, MO","29099","2018","2018","7 to 8 visits","5",182
,"Jefferson County, MO","29099","2018","2018","9 to 10 visits","6",482
,"Jefferson County, MO","29099","2018","2018","11 to 12 visits","7",752
,"Jefferson County, MO","29099","2018","2018","13 to 14 visits","8",361
,"Jefferson County, MO","29099","2018","2018","15 to 16 visits","9",126
,"Jefferson County, MO","29099","2018","2018","17 to 18 visits","10",30
,"Jefferson County, MO","29099","2018","2018","19 or more visits","11",29
,"Jefferson County, MO","29099","2019","2019","No visits","1",34
,"Jefferson County, MO","29099","2019","2019","1 to 2 visits","2",22
,"Jefferson County, MO","29099","2019","2019","3 to 4 visits","3",44
,"Jefferson County, MO","29099","2019","2019","5 to 6 visits","4",85
,"Jefferson County, MO","29099","2019","2019","7 to 8 visits","5",224
,"Jefferson County, MO","29099","2019","2019","9 to 10 visits","6",535
,"Jefferson County, MO","29099","2019","2019","11 to 12 visits","7",674
,"Jefferson County, MO","29099","2019","2019","13 to 14 visits","8",376
,"Jefferson County, MO","29099","2019","2019","15 to 16 visits","9",92
,"Jefferson County, MO","29099","2019","2019","17 to 18 visits","10",29
,"Jefferson County, MO","29099","2019","2019","19 or more visits","11",30
,"Jefferson County, MO","29099","2020","2020","No visits","1",25
,"Jefferson County, MO","29099","2020","2020","1 to 2 visits","2",26
,"Jefferson County, MO","29099","2020","2020","3 to 4 visits","3",43
,"Jefferson County, MO","29099","2020","2020","5 to 6 visits","4",131
,"Jefferson County, MO","29099","2020","2020","7 to 8 visits","5",273
,"Jefferson County, MO","29099","2020","2020","9 to 10 visits","6",559
,"Jefferson County, MO","29099","2020","2020","11 to 12 visits","7",626
,"Jefferson County, MO","29099","2020","2020","13 to 14 visits","8",262
,"Jefferson County, MO","29099","2020","2020","15 to 16 visits","9",94
,"Jefferson County, MO","29099","2020","2020","17 to 18 visits","10",23
,"Jefferson County, MO","29099","2020","2020","19 or more visits","11",46
,"Jefferson County, MO","29099","2021","2021","No visits","1",19
,"Jefferson County, MO","29099","2021","2021","1 to 2 visits","2",17
,"Jefferson County, MO","29099","2021","2021","3 to 4 visits","3",29
,"Jefferson County, MO","29099","2021","2021","5 to 6 visits","4",84
,"Jefferson County, MO","29099","2021","2021","7 to 8 visits","5",192
,"Jefferson County, MO","29099","2021","2021","9 to 10 visits","6",542
,"Jefferson County, MO","29099","2021","2021","11 to 12 visits","7",684
,"Jefferson County, MO","29099","2021","2021","13 to 14 visits","8",294
,"Jefferson County, MO","29099","2021","2021","15 to 16 visits","9",115
,"Jefferson County, MO","29099","2021","2021","17 to 18 visits","10",25
,"Jefferson County, MO","29099","2021","2021","19 or more visits","11",76
,"Jefferson County, MO","29099","2022","2022","No visits","1",22
,"Jefferson County, MO","29099","2022","2022","1 to 2 visits","2",22
,"Jefferson County, MO","29099","2022","2022","3 to 4 visits","3",35
,"Jefferson County, MO","29099","2022","2022","5 to 6 visits","4",71
,"Jefferson County, MO","29099","2022","2022","7 to 8 visits","5",182
,"Jefferson County, MO","29099","2022","2022","9 to 10 visits","6",481
,"Jefferson County, MO","29099","2022","2022","11 to 12 visits","7",625
,"Jefferson County, MO","29099","2022","2022","13 to 14 visits","8",328
,"Jefferson County, MO","29099","2022","2022","15 to 16 visits","9",131
,"Jefferson County, MO","29099","2022","2022","17 to 18 visits","10",62
,"Jefferson County, MO","29099","2022","2022","19 or more visits","11",72
,"Jefferson County, MO","29099","2023","2023","No visits","1",34
,"Jefferson County, MO","29099","2023","2023","1 to 2 visits","2",24
,"Jefferson County, MO","29099","2023","2023","3 to 4 visits","3",31
,"Jefferson County, MO","29099","2023","2023","5 to 6 visits","4",63
,"Jefferson County, MO","29099","2023","2023","7 to 8 visits","5",162
,"Jefferson County, MO","29099","2023","2023","9 to 10 visits","6",496
,"Jefferson County, MO","29099","2023","2023","11 to 12 visits","7",740
,"Jefferson County, MO","29099","2023","2023","13 to 14 visits","8",376
,"Jefferson County, MO","29099","2023","2023","15 to 16 visits","9",106
,"Jefferson County, MO","29099","2023","2023","17 to 18 visits","10",54
,"Jefferson County, MO","29099","2023","2023","19 or more visits","11",65
,"Jefferson County, MO","29099","2024","2024","No visits","1",29
,"Jefferson County, MO","29099","2024","2024","1 to 2 visits","2",32
,"Jefferson County, MO","29099","2024","2024","3 to 4 visits","3",37
,"Jefferson County, MO","29099","2024","2024","5 to 6 visits","4",65
,"Jefferson County, MO","29099","2024","2024","7 to 8 visits","5",189
,"Jefferson County, MO","29099","2024","2024","9 to 10 visits","6",496
,"Jefferson County, MO","29099","2024","2024","11 to 12 visits","7",722
,"Jefferson County, MO","29099","2024","2024","13 to 14 visits","8",386
,"Jefferson County, MO","29099","2024","2024","15 to 16 visits","9",103
,"Jefferson County, MO","29099","2024","2024","17 to 18 visits","10",48
,"Jefferson County, MO","29099","2024","2024","19 or more visits","11",75
,"St. Charles County, MO","29183","2016","2016","No visits","1",15
,"St. Charles County, MO","29183","2016","2016","1 to 2 visits","2",16
,"St. Charles County, MO","29183","2016","2016","3 to 4 visits","3",33
,"St. Charles County, MO","29183","2016","2016","5 to 6 visits","4",79
,"St. Charles County, MO","29183","2016","2016","7 to 8 visits","5",190
,"St. Charles County, MO","29183","2016","2016","9 to 10 visits","6",617
,"St. Charles County, MO","29183","2016","2016","11 to 12 visits","7",1471
,"St. Charles County, MO","29183","2016","2016","13 to 14 visits","8",910
,"St. Charles County, MO","29183","2016","2016","15 to 16 visits","9",400
,"St. Charles County, MO","29183","2016","2016","17 to 18 visits","10",125
,"St. Charles County, MO","29183","2016","2016","19 or more visits","11",136
,"St. Charles County, MO","29183","2017","2017","No visits","1",15
,"St. Charles County, MO","29183","2017","2017","1 to 2 visits","2",10
,"St. Charles County, MO","29183","2017","2017","3 to 4 visits","3",36
,"St. Charles County, MO","29183","2017","2017","5 to 6 visits","4",91
,"St. Charles County, MO","29183","2017","2017","7 to 8 visits","5",203
,"St. Charles County, MO","29183","2017","2017","9 to 10 visits","6",634
,"St. Charles County, MO","29183","2017","2017","11 to 12 visits","7",1481
,"St. Charles County, MO","29183","2017","2017","13 to 14 visits","8",829
,"St. Charles County, MO","29183","2017","2017","15 to 16 visits","9",349
,"St. Charles County, MO","29183","2017","2017","17 to 18 visits","10",119
,"St. Charles County, MO","29183","2017","2017","19 or more visits","11",151
,"St. Charles County, MO","29183","2018","2018","No visits","1",15
,"St. Charles County, MO","29183","2018","2018","1 to 2 visits","2",26
,"St. Charles County, MO","29183","2018","2018","3 to 4 visits","3",47
,"St. Charles County, MO","29183","2018","2018","5 to 6 visits","4",122
,"St. Charles County, MO","29183","2018","2018","7 to 8 visits","5",241
,"St. Charles County, MO","29183","2018","2018","9 to 10 visits","6",684
,"St. Charles County, MO","29183","2018","2018","11 to 12 visits","7",1377
,"St. Charles County, MO","29183","2018","2018","13 to 14 visits","8",849
,"St. Charles County, MO","29183","2018","2018","15 to 16 visits","9",317
,"St. Charles County, MO","29183","2018","2018","17 to 18 visits","10",90
,"St. Charles County, MO","29183","2018","2018","19 or more visits","11",104
,"St. Charles County, MO","29183","2019","2019","No visits","1",26
,"St. Charles County, MO","29183","2019","2019","1 to 2 visits","2",19
,"St. Charles County, MO","29183","2019","2019","3 to 4 visits","3",46
,"St. Charles County, MO","29183","2019","2019","5 to 6 visits","4",115
,"St. Charles County, MO","29183","2019","2019","7 to 8 visits","5",269
,"St. Charles County, MO","29183","2019","2019","9 to 10 visits","6",773
,"St. Charles County, MO","29183","2019","2019","11 to 12 visits","7",1421
,"St. Charles County, MO","29183","2019","2019","13 to 14 visits","8",814
,"St. Charles County, MO","29183","2019","2019","15 to 16 visits","9",289
,"St. Charles County, MO","29183","2019","2019","17 to 18 visits","10",85
,"St. Charles County, MO","29183","2019","2019","19 or more visits","11",101
,"St. Charles County, MO","29183","2020","2020","No visits","1",26
,"St. Charles County, MO","29183","2020","2020","1 to 2 visits","2",12
,"St. Charles County, MO","29183","2020","2020","3 to 4 visits","3",42
,"St. Charles County, MO","29183","2020","2020","5 to 6 visits","4",100
,"St. Charles County, MO","29183","2020","2020","7 to 8 visits","5",336
,"St. Charles County, MO","29183","2020","2020","9 to 10 visits","6",859
,"St. Charles County, MO","29183","2020","2020","11 to 12 visits","7",1144
,"St. Charles County, MO","29183","2020","2020","13 to 14 visits","8",688
,"St. Charles County, MO","29183","2020","2020","15 to 16 visits","9",266
,"St. Charles County, MO","29183","2020","2020","17 to 18 visits","10",71
,"St. Charles County, MO","29183","2020","2020","19 or more visits","11",132
,"St. Charles County, MO","29183","2021","2021","No visits","1",17
,"St. Charles County, MO","29183","2021","2021","1 to 2 visits","2",25
,"St. Charles County, MO","29183","2021","2021","3 to 4 visits","3",38
,"St. Charles County, MO","29183","2021","2021","5 to 6 visits","4",88
,"St. Charles County, MO","29183","2021","2021","7 to 8 visits","5",282
,"St. Charles County, MO","29183","2021","2021","9 to 10 visits","6",783
,"St. Charles County, MO","29183","2021","2021","11 to 12 visits","7",1187
,"St. Charles County, MO","29183","2021","2021","13 to 14 visits","8",655
,"St. Charles County, MO","29183","2021","2021","15 to 16 visits","9",257
,"St. Charles County, MO","29183","2021","2021","17 to 18 visits","10",92
,"St. Charles County, MO","29183","2021","2021","19 or more visits","11",134
,"St. Charles County, MO","29183","2022","2022","No visits","1",32
,"St. Charles County, MO","29183","2022","2022","1 to 2 visits","2",21
,"St. Charles County, MO","29183","2022","2022","3 to 4 visits","3",56
,"St. Charles County, MO","29183","2022","2022","5 to 6 visits","4",137
,"St. Charles County, MO","29183","2022","2022","7 to 8 visits","5",325
,"St. Charles County, MO","29183","2022","2022","9 to 10 visits","6",819
,"St. Charles County, MO","29183","2022","2022","11 to 12 visits","7",1116
,"St. Charles County, MO","29183","2022","2022","13 to 14 visits","8",643
,"St. Charles County, MO","29183","2022","2022","15 to 16 visits","9",268
,"St. Charles County, MO","29183","2022","2022","17 to 18 visits","10",109
,"St. Charles County, MO","29183","2022","2022","19 or more visits","11",161
,"St. Charles County, MO","29183","2023","2023","No visits","1",25
,"St. Charles County, MO","29183","2023","2023","1 to 2 visits","2",20
,"St. Charles County, MO","29183","2023","2023","3 to 4 visits","3",58
,"St. Charles County, MO","29183","2023","2023","5 to 6 visits","4",116
,"St. Charles County, MO","29183","2023","2023","7 to 8 visits","5",324
,"St. Charles County, MO","29183","2023","2023","9 to 10 visits","6",868
,"St. Charles County, MO","29183","2023","2023","11 to 12 visits","7",1076
,"St. Charles County, MO","29183","2023","2023","13 to 14 visits","8",624
,"St. Charles County, MO","29183","2023","2023","15 to 16 visits","9",266
,"St. Charles County, MO","29183","2023","2023","17 to 18 visits","10",81
,"St. Charles County, MO","29183","2023","2023","19 or more visits","11",125
,"St. Charles County, MO","29183","2024","2024","No visits","1",43
,"St. Charles County, MO","29183","2024","2024","1 to 2 visits","2",38
,"St. Charles County, MO","29183","2024","2024","3 to 4 visits","3",47
,"St. Charles County, MO","29183","2024","2024","5 to 6 visits","4",112
,"St. Charles County, MO","29183","2024","2024","7 to 8 visits","5",314
,"St. Charles County, MO","29183","2024","2024","9 to 10 visits","6",928
,"St. Charles County, MO","29183","2024","2024","11 to 12 visits","7",1182
,"St. Charles County, MO","29183","2024","2024","13 to 14 visits","8",648
,"St. Charles County, MO","29183","2024","2024","15 to 16 visits","9",226
,"St. Charles County, MO","29183","2024","2024","17 to 18 visits","10",70
,"St. Charles County, MO","29183","2024","2024","19 or more visits","11",122
,"St. Louis County, MO","29189","2016","2016","No visits","1",76
,"St. Louis County, MO","29189","2016","2016","1 to 2 visits","2",87
,"St. Louis County, MO","29189","2016","2016","3 to 4 visits","3",179
,"St. Louis County, MO","29189","2016","2016","5 to 6 visits","4",414
,"St. Louis County, MO","29189","2016","2016","7 to 8 visits","5",622
,"St. Louis County, MO","29189","2016","2016","9 to 10 visits","6",1777
,"St. Louis County, MO","29189","2016","2016","11 to 12 visits","7",3633
,"St. Louis County, MO","29189","2016","2016","13 to 14 visits","8",1688
,"St. Louis County, MO","29189","2016","2016","15 to 16 visits","9",786
,"St. Louis County, MO","29189","2016","2016","17 to 18 visits","10",181
,"St. Louis County, MO","29189","2016","2016","19 or more visits","11",227
,"St. Louis County, MO","29189","2017","2017","No visits","1",80
,"St. Louis County, MO","29189","2017","2017","1 to 2 visits","2",91
,"St. Louis County, MO","29189","2017","2017","3 to 4 visits","3",183
,"St. Louis County, MO","29189","2017","2017","5 to 6 visits","4",386
,"St. Louis County, MO","29189","2017","2017","7 to 8 visits","5",689
,"St. Louis County, MO","29189","2017","2017","9 to 10 visits","6",1715
,"St. Louis County, MO","29189","2017","2017","11 to 12 visits","7",3283
,"St. Louis County, MO","29189","2017","2017","13 to 14 visits","8",1612
,"St. Louis County, MO","29189","2017","2017","15 to 16 visits","9",608
,"St. Louis County, MO","29189","2017","2017","17 to 18 visits","10",142
,"St. Louis County, MO","29189","2017","2017","19 or more visits","11",185
,"St. Louis County, MO","29189","2018","2018","No visits","1",134
,"St. Louis County, MO","29189","2018","2018","1 to 2 visits","2",119
,"St. Louis County, MO","29189","2018","2018","3 to 4 visits","3",222
,"St. Louis County, MO","29189","2018","2018","5 to 6 visits","4",406
,"St. Louis County, MO","29189","2018","2018","7 to 8 visits","5",731
,"St. Louis County, MO","29189","2018","2018","9 to 10 visits","6",1790
,"St. Louis County, MO","29189","2018","2018","11 to 12 visits","7",3074
,"St. Louis County, MO","29189","2018","2018","13 to 14 visits","8",1771
,"St. Louis County, MO","29189","2018","2018","15 to 16 visits","9",576
,"St. Louis County, MO","29189","2018","2018","17 to 18 visits","10",181
,"St. Louis County, MO","29189","2018","2018","19 or more visits","11",217
,"St. Louis County, MO","29189","2019","2019","No visits","1",229
,"St. Louis County, MO","29189","2019","2019","1 to 2 visits","2",151
,"St. Louis County, MO","29189","2019","2019","3 to 4 visits","3",254
,"St. Louis County, MO","29189","2019","2019","5 to 6 visits","4",483
,"St. Louis County, MO","29189","2019","2019","7 to 8 visits","5",919
,"St. Louis County, MO","29189","2019","2019","9 to 10 visits","6",2102
,"St. Louis County, MO","29189","2019","2019","11 to 12 visits","7",2902
,"St. Louis County, MO","29189","2019","2019","13 to 14 visits","8",1709
,"St. Louis County, MO","29189","2019","2019","15 to 16 visits","9",572
,"St. Louis County, MO","29189","2019","2019","17 to 18 visits","10",175
,"St. Louis County, MO","29189","2019","2019","19 or more visits","11",170
,"St. Louis County, MO","29189","2020","2020","No visits","1",158
,"St. Louis County, MO","29189","2020","2020","1 to 2 visits","2",155
,"St. Louis County, MO","29189","2020","2020","3 to 4 visits","3",239
,"St. Louis County, MO","29189","2020","2020","5 to 6 visits","4",467
,"St. Louis County, MO","29189","2020","2020","7 to 8 visits","5",993
,"St. Louis County, MO","29189","2020","2020","9 to 10 visits","6",2125
,"St. Louis County, MO","29189","2020","2020","11 to 12 visits","7",2484
,"St. Louis County, MO","29189","2020","2020","13 to 14 visits","8",1242
,"St. Louis County, MO","29189","2020","2020","15 to 16 visits","9",511
,"St. Louis County, MO","29189","2020","2020","17 to 18 visits","10",122
,"St. Louis County, MO","29189","2020","2020","19 or more visits","11",283
,"St. Louis County, MO","29189","2021","2021","No visits","1",172
,"St. Louis County, MO","29189","2021","2021","1 to 2 visits","2",103
,"St. Louis County, MO","29189","2021","2021","3 to 4 visits","3",162
,"St. Louis County, MO","29189","2021","2021","5 to 6 visits","4",326
,"St. Louis County, MO","29189","2021","2021","7 to 8 visits","5",644
,"St. Louis County, MO","29189","2021","2021","9 to 10 visits","6",1863
,"St. Louis County, MO","29189","2021","2021","11 to 12 visits","7",2600
,"St. Louis County, MO","29189","2021","2021","13 to 14 visits","8",1327
,"St. Louis County, MO","29189","2021","2021","15 to 16 visits","9",489
,"St. Louis County, MO","29189","2021","2021","17 to 18 visits","10",179
,"St. Louis County, MO","29189","2021","2021","19 or more visits","11",463
,"St. Louis County, MO","29189","2022","2022","No visits","1",229
,"St. Louis County, MO","29189","2022","2022","1 to 2 visits","2",215
,"St. Louis County, MO","29189","2022","2022","3 to 4 visits","3",244
,"St. Louis County, MO","29189","2022","2022","5 to 6 visits","4",419
,"St. Louis County, MO","29189","2022","2022","7 to 8 visits","5",737
,"St. Louis County, MO","29189","2022","2022","9 to 10 visits","6",1871
,"St. Louis County, MO","29189","2022","2022","11 to 12 visits","7",2487
,"St. Louis County, MO","29189","2022","2022","13 to 14 visits","8",1342
,"St. Louis County, MO","29189","2022","2022","15 to 16 visits","9",550
,"St. Louis County, MO","29189","2022","2022","17 to 18 visits","10",228
,"St. Louis County, MO","29189","2022","2022","19 or more visits","11",454
,"St. Louis County, MO","29189","2023","2023","No visits","1",258
,"St. Louis County, MO","29189","2023","2023","1 to 2 visits","2",237
,"St. Louis County, MO","29189","2023","2023","3 to 4 visits","3",239
,"St. Louis County, MO","29189","2023","2023","5 to 6 visits","4",338
,"St. Louis County, MO","29189","2023","2023","7 to 8 visits","5",773
,"St. Louis County, MO","29189","2023","2023","9 to 10 visits","6",1746
,"St. Louis County, MO","29189","2023","2023","11 to 12 visits","7",2361
,"St. Louis County, MO","29189","2023","2023","13 to 14 visits","8",1409
