"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Jackson County, MO","29095","2021","2021","8th grade or less","1",168
,"Jackson County, MO","29095","2021","2021","9th through 12th grade with no diploma","2",695
,"Jackson County, MO","29095","2021","2021","High school graduate or GED completed","3",2065
,"Jackson County, MO","29095","2021","2021","Some college credit, but not a degree","4",1545
,"Jackson County, MO","29095","2021","2021","Associate degree (AA, AS)","5",509
,"Jackson County, MO","29095","2021","2021","Bachelor's degree (BA, AB, BS)","6",1558
,"Jackson County, MO","29095","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",686
,"Jackson County, MO","29095","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",220
,"Jackson County, MO","29095","2022","2022","8th grade or less","1",217
,"Jackson County, MO","29095","2022","2022","9th through 12th grade with no diploma","2",753
,"Jackson County, MO","29095","2022","2022","High school graduate or GED completed","3",2218
,"Jackson County, MO","29095","2022","2022","Some college credit, but not a degree","4",1632
,"Jackson County, MO","29095","2022","2022","Associate degree (AA, AS)","5",517
,"Jackson County, MO","29095","2022","2022","Bachelor's degree (BA, AB, BS)","6",1624
,"Jackson County, MO","29095","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",763
,"Jackson County, MO","29095","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",211
,"Jackson County, MO","29095","2023","2023","8th grade or less","1",249
,"Jackson County, MO","29095","2023","2023","9th through 12th grade with no diploma","2",777
,"Jackson County, MO","29095","2023","2023","High school graduate or GED completed","3",2277
,"Jackson County, MO","29095","2023","2023","Some college credit, but not a degree","4",1512
,"Jackson County, MO","29095","2023","2023","Associate degree (AA, AS)","5",557
,"Jackson County, MO","29095","2023","2023","Bachelor's degree (BA, AB, BS)","6",1667
,"Jackson County, MO","29095","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",768
,"Jackson County, MO","29095","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",222
,"Jackson County, MO","29095","2024","2024","8th grade or less","1",317
,"Jackson County, MO","29095","2024","2024","9th through 12th grade with no diploma","2",823
,"Jackson County, MO","29095","2024","2024","High school graduate or GED completed","3",2476
,"Jackson County, MO","29095","2024","2024","Some college credit, but not a degree","4",1477
,"Jackson County, MO","29095","2024","2024","Associate degree (AA, AS)","5",496
,"Jackson County, MO","29095","2024","2024","Bachelor's degree (BA, AB, BS)","6",1689
,"Jackson County, MO","29095","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",707
,"Jackson County, MO","29095","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",213
,"Jasper County, MO","29097","2016","2016","8th grade or less","1",82
,"Jasper County, MO","29097","2016","2016","9th through 12th grade with no diploma","2",205
,"Jasper County, MO","29097","2016","2016","High school graduate or GED completed","3",484
,"Jasper County, MO","29097","2016","2016","Some college credit, but not a degree","4",401
,"Jasper County, MO","29097","2016","2016","Associate degree (AA, AS)","5",102
,"Jasper County, MO","29097","2016","2016","Bachelor's degree (BA, AB, BS)","6",238
,"Jasper County, MO","29097","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",65
,"Jasper County, MO","29097","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",17
,"Jasper County, MO","29097","2017","2017","8th grade or less","1",55
,"Jasper County, MO","29097","2017","2017","9th through 12th grade with no diploma","2",194
,"Jasper County, MO","29097","2017","2017","High school graduate or GED completed","3",460
,"Jasper County, MO","29097","2017","2017","Some college credit, but not a degree","4",395
,"Jasper County, MO","29097","2017","2017","Associate degree (AA, AS)","5",110
,"Jasper County, MO","29097","2017","2017","Bachelor's degree (BA, AB, BS)","6",264
,"Jasper County, MO","29097","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",52
,"Jasper County, MO","29097","2018","2018","8th grade or less","1",58
,"Jasper County, MO","29097","2018","2018","9th through 12th grade with no diploma","2",179
,"Jasper County, MO","29097","2018","2018","High school graduate or GED completed","3",456
,"Jasper County, MO","29097","2018","2018","Some college credit, but not a degree","4",381
,"Jasper County, MO","29097","2018","2018","Associate degree (AA, AS)","5",119
,"Jasper County, MO","29097","2018","2018","Bachelor's degree (BA, AB, BS)","6",216
,"Jasper County, MO","29097","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",71
,"Jasper County, MO","29097","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14
,"Jasper County, MO","29097","2019","2019","8th grade or less","1",53
,"Jasper County, MO","29097","2019","2019","9th through 12th grade with no diploma","2",199
,"Jasper County, MO","29097","2019","2019","High school graduate or GED completed","3",461
,"Jasper County, MO","29097","2019","2019","Some college credit, but not a degree","4",346
,"Jasper County, MO","29097","2019","2019","Associate degree (AA, AS)","5",110
,"Jasper County, MO","29097","2019","2019","Bachelor's degree (BA, AB, BS)","6",233
,"Jasper County, MO","29097","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",58
,"Jasper County, MO","29097","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",13
,"Jasper County, MO","29097","2020","2020","8th grade or less","1",56
,"Jasper County, MO","29097","2020","2020","9th through 12th grade with no diploma","2",188
,"Jasper County, MO","29097","2020","2020","High school graduate or GED completed","3",410
,"Jasper County, MO","29097","2020","2020","Some college credit, but not a degree","4",348
,"Jasper County, MO","29097","2020","2020","Associate degree (AA, AS)","5",109
,"Jasper County, MO","29097","2020","2020","Bachelor's degree (BA, AB, BS)","6",243
,"Jasper County, MO","29097","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",62
,"Jasper County, MO","29097","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14
,"Jasper County, MO","29097","2021","2021","8th grade or less","1",64
,"Jasper County, MO","29097","2021","2021","9th through 12th grade with no diploma","2",165
,"Jasper County, MO","29097","2021","2021","High school graduate or GED completed","3",469
,"Jasper County, MO","29097","2021","2021","Some college credit, but not a degree","4",332
,"Jasper County, MO","29097","2021","2021","Associate degree (AA, AS)","5",146
,"Jasper County, MO","29097","2021","2021","Bachelor's degree (BA, AB, BS)","6",223
,"Jasper County, MO","29097","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",67
,"Jasper County, MO","29097","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",12
,"Jasper County, MO","29097","2022","2022","8th grade or less","1",66
,"Jasper County, MO","29097","2022","2022","9th through 12th grade with no diploma","2",198
,"Jasper County, MO","29097","2022","2022","High school graduate or GED completed","3",482
,"Jasper County, MO","29097","2022","2022","Some college credit, but not a degree","4",325
,"Jasper County, MO","29097","2022","2022","Associate degree (AA, AS)","5",87
,"Jasper County, MO","29097","2022","2022","Bachelor's degree (BA, AB, BS)","6",262
,"Jasper County, MO","29097","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",73
,"Jasper County, MO","29097","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",17
,"Jasper County, MO","29097","2023","2023","8th grade or less","1",52
,"Jasper County, MO","29097","2023","2023","9th through 12th grade with no diploma","2",163
,"Jasper County, MO","29097","2023","2023","High school graduate or GED completed","3",440
,"Jasper County, MO","29097","2023","2023","Some college credit, but not a degree","4",311
,"Jasper County, MO","29097","2023","2023","Associate degree (AA, AS)","5",95
,"Jasper County, MO","29097","2023","2023","Bachelor's degree (BA, AB, BS)","6",229
,"Jasper County, MO","29097","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",69
,"Jasper County, MO","29097","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",20
,"Jasper County, MO","29097","2024","2024","8th grade or less","1",59
,"Jasper County, MO","29097","2024","2024","9th through 12th grade with no diploma","2",160
,"Jasper County, MO","29097","2024","2024","High school graduate or GED completed","3",459
,"Jasper County, MO","29097","2024","2024","Some college credit, but not a degree","4",298
,"Jasper County, MO","29097","2024","2024","Associate degree (AA, AS)","5",86
,"Jasper County, MO","29097","2024","2024","Bachelor's degree (BA, AB, BS)","6",245
,"Jasper County, MO","29097","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",80
,"Jasper County, MO","29097","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",19
,"Jefferson County, MO","29099","2016","2016","8th grade or less","1",13
,"Jefferson County, MO","29099","2016","2016","9th through 12th grade with no diploma","2",167
,"Jefferson County, MO","29099","2016","2016","High school graduate or GED completed","3",485
,"Jefferson County, MO","29099","2016","2016","Some college credit, but not a degree","4",611
,"Jefferson County, MO","29099","2016","2016","Associate degree (AA, AS)","5",324
,"Jefferson County, MO","29099","2016","2016","Bachelor's degree (BA, AB, BS)","6",452
,"Jefferson County, MO","29099","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",201
,"Jefferson County, MO","29099","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",34
,"Jefferson County, MO","29099","2017","2017","8th grade or less","1",18
,"Jefferson County, MO","29099","2017","2017","9th through 12th grade with no diploma","2",153
,"Jefferson County, MO","29099","2017","2017","High school graduate or GED completed","3",469
,"Jefferson County, MO","29099","2017","2017","Some college credit, but not a degree","4",519
,"Jefferson County, MO","29099","2017","2017","Associate degree (AA, AS)","5",289
,"Jefferson County, MO","29099","2017","2017","Bachelor's degree (BA, AB, BS)","6",393
,"Jefferson County, MO","29099","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",199
,"Jefferson County, MO","29099","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",23
,"Jefferson County, MO","29099","2018","2018","8th grade or less","1",12
,"Jefferson County, MO","29099","2018","2018","9th through 12th grade with no diploma","2",125
,"Jefferson County, MO","29099","2018","2018","High school graduate or GED completed","3",512
,"Jefferson County, MO","29099","2018","2018","Some college credit, but not a degree","4",520
,"Jefferson County, MO","29099","2018","2018","Associate degree (AA, AS)","5",301
,"Jefferson County, MO","29099","2018","2018","Bachelor's degree (BA, AB, BS)","6",433
,"Jefferson County, MO","29099","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",192
,"Jefferson County, MO","29099","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",29
,"Jefferson County, MO","29099","2019","2019","8th grade or less","1",18
,"Jefferson County, MO","29099","2019","2019","9th through 12th grade with no diploma","2",131
,"Jefferson County, MO","29099","2019","2019","High school graduate or GED completed","3",482
,"Jefferson County, MO","29099","2019","2019","Some college credit, but not a degree","4",536
,"Jefferson County, MO","29099","2019","2019","Associate degree (AA, AS)","5",317
,"Jefferson County, MO","29099","2019","2019","Bachelor's degree (BA, AB, BS)","6",460
,"Jefferson County, MO","29099","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",172
,"Jefferson County, MO","29099","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",29
,"Jefferson County, MO","29099","2020","2020","9th through 12th grade with no diploma","2",155
,"Jefferson County, MO","29099","2020","2020","High school graduate or GED completed","3",470
,"Jefferson County, MO","29099","2020","2020","Some college credit, but not a degree","4",536
,"Jefferson County, MO","29099","2020","2020","Associate degree (AA, AS)","5",279
,"Jefferson County, MO","29099","2020","2020","Bachelor's degree (BA, AB, BS)","6",453
,"Jefferson County, MO","29099","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",184
,"Jefferson County, MO","29099","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",24
,"Jefferson County, MO","29099","2021","2021","8th grade or less","1",18
,"Jefferson County, MO","29099","2021","2021","9th through 12th grade with no diploma","2",129
,"Jefferson County, MO","29099","2021","2021","High school graduate or GED completed","3",446
,"Jefferson County, MO","29099","2021","2021","Some college credit, but not a degree","4",491
,"Jefferson County, MO","29099","2021","2021","Associate degree (AA, AS)","5",265
,"Jefferson County, MO","29099","2021","2021","Bachelor's degree (BA, AB, BS)","6",478
,"Jefferson County, MO","29099","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",206
,"Jefferson County, MO","29099","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",44
,"Jefferson County, MO","29099","2022","2022","8th grade or less","1",12
,"Jefferson County, MO","29099","2022","2022","9th through 12th grade with no diploma","2",129
,"Jefferson County, MO","29099","2022","2022","High school graduate or GED completed","3",439
,"Jefferson County, MO","29099","2022","2022","Some college credit, but not a degree","4",459
,"Jefferson County, MO","29099","2022","2022","Associate degree (AA, AS)","5",307
,"Jefferson County, MO","29099","2022","2022","Bachelor's degree (BA, AB, BS)","6",462
,"Jefferson County, MO","29099","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",193
,"Jefferson County, MO","29099","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",30
,"Jefferson County, MO","29099","2023","2023","8th grade or less","1",13
,"Jefferson County, MO","29099","2023","2023","9th through 12th grade with no diploma","2",124
,"Jefferson County, MO","29099","2023","2023","High school graduate or GED completed","3",492
,"Jefferson County, MO","29099","2023","2023","Some college credit, but not a degree","4",484
,"Jefferson County, MO","29099","2023","2023","Associate degree (AA, AS)","5",273
,"Jefferson County, MO","29099","2023","2023","Bachelor's degree (BA, AB, BS)","6",498
,"Jefferson County, MO","29099","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",223
,"Jefferson County, MO","29099","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",44
,"Jefferson County, MO","29099","2024","2024","9th through 12th grade with no diploma","2",141
,"Jefferson County, MO","29099","2024","2024","High school graduate or GED completed","3",525
,"Jefferson County, MO","29099","2024","2024","Some college credit, but not a degree","4",425
,"Jefferson County, MO","29099","2024","2024","Associate degree (AA, AS)","5",286
,"Jefferson County, MO","29099","2024","2024","Bachelor's degree (BA, AB, BS)","6",539
,"Jefferson County, MO","29099","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",225
,"Jefferson County, MO","29099","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",34
,"St. Charles County, MO","29183","2016","2016","8th grade or less","1",23
,"St. Charles County, MO","29183","2016","2016","9th through 12th grade with no diploma","2",138
,"St. Charles County, MO","29183","2016","2016","High school graduate or GED completed","3",564
,"St. Charles County, MO","29183","2016","2016","Some college credit, but not a degree","4",781
,"St. Charles County, MO","29183","2016","2016","Associate degree (AA, AS)","5",362
,"St. Charles County, MO","29183","2016","2016","Bachelor's degree (BA, AB, BS)","6",1291
,"St. Charles County, MO","29183","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",720
,"St. Charles County, MO","29183","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",113
,"St. Charles County, MO","29183","2017","2017","8th grade or less","1",19
,"St. Charles County, MO","29183","2017","2017","9th through 12th grade with no diploma","2",119
,"St. Charles County, MO","29183","2017","2017","High school graduate or GED completed","3",508
,"St. Charles County, MO","29183","2017","2017","Some college credit, but not a degree","4",816
,"St. Charles County, MO","29183","2017","2017","Associate degree (AA, AS)","5",361
,"St. Charles County, MO","29183","2017","2017","Bachelor's degree (BA, AB, BS)","6",1258
,"St. Charles County, MO","29183","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",723
,"St. Charles County, MO","29183","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",114
,"St. Charles County, MO","29183","2018","2018","8th grade or less","1",16
,"St. Charles County, MO","29183","2018","2018","9th through 12th grade with no diploma","2",134
,"St. Charles County, MO","29183","2018","2018","High school graduate or GED completed","3",512
,"St. Charles County, MO","29183","2018","2018","Some college credit, but not a degree","4",748
,"St. Charles County, MO","29183","2018","2018","Associate degree (AA, AS)","5",363
,"St. Charles County, MO","29183","2018","2018","Bachelor's degree (BA, AB, BS)","6",1268
,"St. Charles County, MO","29183","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",709
,"St. Charles County, MO","29183","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",122
,"St. Charles County, MO","29183","2019","2019","8th grade or less","1",17
,"St. Charles County, MO","29183","2019","2019","9th through 12th grade with no diploma","2",117
,"St. Charles County, MO","29183","2019","2019","High school graduate or GED completed","3",538
,"St. Charles County, MO","29183","2019","2019","Some college credit, but not a degree","4",755
,"St. Charles County, MO","29183","2019","2019","Associate degree (AA, AS)","5",356
,"St. Charles County, MO","29183","2019","2019","Bachelor's degree (BA, AB, BS)","6",1354
,"St. Charles County, MO","29183","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",703
,"St. Charles County, MO","29183","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",118
,"St. Charles County, MO","29183","2020","2020","8th grade or less","1",16
,"St. Charles County, MO","29183","2020","2020","9th through 12th grade with no diploma","2",99
,"St. Charles County, MO","29183","2020","2020","High school graduate or GED completed","3",527
,"St. Charles County, MO","29183","2020","2020","Some college credit, but not a degree","4",668
,"St. Charles County, MO","29183","2020","2020","Associate degree (AA, AS)","5",326
,"St. Charles County, MO","29183","2020","2020","Bachelor's degree (BA, AB, BS)","6",1230
,"St. Charles County, MO","29183","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",700
,"St. Charles County, MO","29183","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",110
,"St. Charles County, MO","29183","2021","2021","8th grade or less","1",17
,"St. Charles County, MO","29183","2021","2021","9th through 12th grade with no diploma","2",102
,"St. Charles County, MO","29183","2021","2021","High school graduate or GED completed","3",473
,"St. Charles County, MO","29183","2021","2021","Some college credit, but not a degree","4",620
,"St. Charles County, MO","29183","2021","2021","Associate degree (AA, AS)","5",286
,"St. Charles County, MO","29183","2021","2021","Bachelor's degree (BA, AB, BS)","6",1228
,"St. Charles County, MO","29183","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",701
,"St. Charles County, MO","29183","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",131
,"St. Charles County, MO","29183","2022","2022","8th grade or less","1",21
,"St. Charles County, MO","29183","2022","2022","9th through 12th grade with no diploma","2",94
,"St. Charles County, MO","29183","2022","2022","High school graduate or GED completed","3",495
,"St. Charles County, MO","29183","2022","2022","Some college credit, but not a degree","4",609
,"St. Charles County, MO","29183","2022","2022","Associate degree (AA, AS)","5",317
,"St. Charles County, MO","29183","2022","2022","Bachelor's degree (BA, AB, BS)","6",1307
,"St. Charles County, MO","29183","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",717
,"St. Charles County, MO","29183","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",127
,"St. Charles County, MO","29183","2023","2023","8th grade or less","1",24
,"St. Charles County, MO","29183","2023","2023","9th through 12th grade with no diploma","2",76
,"St. Charles County, MO","29183","2023","2023","High school graduate or GED completed","3",476
,"St. Charles County, MO","29183","2023","2023","Some college credit, but not a degree","4",592
,"St. Charles County, MO","29183","2023","2023","Associate degree (AA, AS)","5",295
,"St. Charles County, MO","29183","2023","2023","Bachelor's degree (BA, AB, BS)","6",1297
,"St. Charles County, MO","29183","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",693
,"St. Charles County, MO","29183","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",130
,"St. Charles County, MO","29183","2024","2024","8th grade or less","1",30
,"St. Charles County, MO","29183","2024","2024","9th through 12th grade with no diploma","2",84
,"St. Charles County, MO","29183","2024","2024","High school graduate or GED completed","3",505
,"St. Charles County, MO","29183","2024","2024","Some college credit, but not a degree","4",565
,"St. Charles County, MO","29183","2024","2024","Associate degree (AA, AS)","5",302
,"St. Charles County, MO","29183","2024","2024","Bachelor's degree (BA, AB, BS)","6",1352
,"St. Charles County, MO","29183","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",729
,"St. Charles County, MO","29183","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",163
,"St. Louis County, MO","29189","2016","2016","8th grade or less","1",80
,"St. Louis County, MO","29189","2016","2016","9th through 12th grade with no diploma","2",503
,"St. Louis County, MO","29189","2016","2016","High school graduate or GED completed","3",1521
,"St. Louis County, MO","29189","2016","2016","Some college credit, but not a degree","4",1951
,"St. Louis County, MO","29189","2016","2016","Associate degree (AA, AS)","5",724
,"St. Louis County, MO","29189","2016","2016","Bachelor's degree (BA, AB, BS)","6",2651
,"St. Louis County, MO","29189","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1723
,"St. Louis County, MO","29189","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",517
,"St. Louis County, MO","29189","2017","2017","8th grade or less","1",65
,"St. Louis County, MO","29189","2017","2017","9th through 12th grade with no diploma","2",449
,"St. Louis County, MO","29189","2017","2017","High school graduate or GED completed","3",1502
,"St. Louis County, MO","29189","2017","2017","Some college credit, but not a degree","4",1823
,"St. Louis County, MO","29189","2017","2017","Associate degree (AA, AS)","5",665
,"St. Louis County, MO","29189","2017","2017","Bachelor's degree (BA, AB, BS)","6",2475
,"St. Louis County, MO","29189","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1550
,"St. Louis County, MO","29189","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",445
,"St. Louis County, MO","29189","2018","2018","8th grade or less","1",49
,"St. Louis County, MO","29189","2018","2018","9th through 12th grade with no diploma","2",491
,"St. Louis County, MO","29189","2018","2018","High school graduate or GED completed","3",1561
,"St. Louis County, MO","29189","2018","2018","Some college credit, but not a degree","4",1803
,"St. Louis County, MO","29189","2018","2018","Associate degree (AA, AS)","5",663
,"St. Louis County, MO","29189","2018","2018","Bachelor's degree (BA, AB, BS)","6",2533
,"St. Louis County, MO","29189","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1655
,"St. Louis County, MO","29189","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",466
,"St. Louis County, MO","29189","2019","2019","8th grade or less","1",63
,"St. Louis County, MO","29189","2019","2019","9th through 12th grade with no diploma","2",487
,"St. Louis County, MO","29189","2019","2019","High school graduate or GED completed","3",1768
,"St. Louis County, MO","29189","2019","2019","Some college credit, but not a degree","4",1907
,"St. Louis County, MO","29189","2019","2019","Associate degree (AA, AS)","5",704
,"St. Louis County, MO","29189","2019","2019","Bachelor's degree (BA, AB, BS)","6",2563
,"St. Louis County, MO","29189","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1615
,"St. Louis County, MO","29189","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",559
,"St. Louis County, MO","29189","2020","2020","8th grade or less","1",68
,"St. Louis County, MO","29189","2020","2020","9th through 12th grade with no diploma","2",408
,"St. Louis County, MO","29189","2020","2020","High school graduate or GED completed","3",1720
,"St. Louis County, MO","29189","2020","2020","Some college credit, but not a degree","4",1687
,"St. Louis County, MO","29189","2020","2020","Associate degree (AA, AS)","5",617
,"St. Louis County, MO","29189","2020","2020","Bachelor's degree (BA, AB, BS)","6",2304
,"St. Louis County, MO","29189","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1498
,"St. Louis County, MO","29189","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",477
,"St. Louis County, MO","29189","2021","2021","8th grade or less","1",55
,"St. Louis County, MO","29189","2021","2021","9th through 12th grade with no diploma","2",385
,"St. Louis County, MO","29189","2021","2021","High school graduate or GED completed","3",1544
,"St. Louis County, MO","29189","2021","2021","Some college credit, but not a degree","4",1414
,"St. Louis County, MO","29189","2021","2021","Associate degree (AA, AS)","5",587
,"St. Louis County, MO","29189","2021","2021","Bachelor's degree (BA, AB, BS)","6",2300
,"St. Louis County, MO","29189","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1553
,"St. Louis County, MO","29189","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",490
,"St. Louis County, MO","29189","2022","2022","8th grade or less","1",105
,"St. Louis County, MO","29189","2022","2022","9th through 12th grade with no diploma","2",450
,"St. Louis County, MO","29189","2022","2022","High school graduate or GED completed","3",1759
,"St. Louis County, MO","29189","2022","2022","Some college credit, but not a degree","4",1504
,"St. Louis County, MO","29189","2022","2022","Associate degree (AA, AS)","5",569
,"St. Louis County, MO","29189","2022","2022","Bachelor's degree (BA, AB, BS)","6",2309
,"St. Louis County, MO","29189","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1554
,"St. Louis County, MO","29189","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",526
,"St. Louis County, MO","29189","2023","2023","8th grade or less","1",135
,"St. Louis County, MO","29189","2023","2023","9th through 12th grade with no diploma","2",427
,"St. Louis County, MO","29189","2023","2023","High school graduate or GED completed","3",1723
,"St. Louis County, MO","29189","2023","2023","Some college credit, but not a degree","4",1367
,"St. Louis County, MO","29189","2023","2023","Associate degree (AA, AS)","5",527
,"St. Louis County, MO","29189","2023","2023","Bachelor's degree (BA, AB, BS)","6",2252
,"St. Louis County, MO","29189","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1543
,"St. Louis County, MO","29189","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",535
,"St. Louis County, MO","29189","2024","2024","8th grade or less","1",157
,"St. Louis County, MO","29189","2024","2024","9th through 12th grade with no diploma","2",462
,"St. Louis County, MO","29189","2024","2024","High school graduate or GED completed","3",1868
,"St. Louis County, MO","29189","2024","2024","Some college credit, but not a degree","4",1417
,"St. Louis County, MO","29189","2024","2024","Associate degree (AA, AS)","5",538
,"St. Louis County, MO","29189","2024","2024","Bachelor's degree (BA, AB, BS)","6",2387
,"St. Louis County, MO","29189","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1470
,"St. Louis County, MO","29189","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",556
,"St. Louis city, MO","29510","2016","2016","8th grade or less","1",102
,"St. Louis city, MO","29510","2016","2016","9th through 12th grade with no diploma","2",399
,"St. Louis city, MO","29510","2016","2016","High school graduate or GED completed","3",905
,"St. Louis city, MO","29510","2016","2016","Some college credit, but not a degree","4",716
,"St. Louis city, MO","29510","2016","2016","Associate degree (AA, AS)","5",197
,"St. Louis city, MO","29510","2016","2016","Bachelor's degree (BA, AB, BS)","6",587
,"St. Louis city, MO","29510","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",389
