"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Clay County, MO","29047","2016","2016","Bachelor's degree (BA, AB, BS)","6",745
,"Clay County, MO","29047","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",324
,"Clay County, MO","29047","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",59
,"Clay County, MO","29047","2017","2017","8th grade or less","1",35
,"Clay County, MO","29047","2017","2017","9th through 12th grade with no diploma","2",151
,"Clay County, MO","29047","2017","2017","High school graduate or GED completed","3",604
,"Clay County, MO","29047","2017","2017","Some college credit, but not a degree","4",652
,"Clay County, MO","29047","2017","2017","Associate degree (AA, AS)","5",271
,"Clay County, MO","29047","2017","2017","Bachelor's degree (BA, AB, BS)","6",730
,"Clay County, MO","29047","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",318
,"Clay County, MO","29047","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",54
,"Clay County, MO","29047","2018","2018","8th grade or less","1",19
,"Clay County, MO","29047","2018","2018","9th through 12th grade with no diploma","2",141
,"Clay County, MO","29047","2018","2018","High school graduate or GED completed","3",616
,"Clay County, MO","29047","2018","2018","Some college credit, but not a degree","4",659
,"Clay County, MO","29047","2018","2018","Associate degree (AA, AS)","5",287
,"Clay County, MO","29047","2018","2018","Bachelor's degree (BA, AB, BS)","6",792
,"Clay County, MO","29047","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",323
,"Clay County, MO","29047","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",64
,"Clay County, MO","29047","2019","2019","8th grade or less","1",31
,"Clay County, MO","29047","2019","2019","9th through 12th grade with no diploma","2",151
,"Clay County, MO","29047","2019","2019","High school graduate or GED completed","3",650
,"Clay County, MO","29047","2019","2019","Some college credit, but not a degree","4",672
,"Clay County, MO","29047","2019","2019","Associate degree (AA, AS)","5",244
,"Clay County, MO","29047","2019","2019","Bachelor's degree (BA, AB, BS)","6",770
,"Clay County, MO","29047","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",333
,"Clay County, MO","29047","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",67
,"Clay County, MO","29047","2020","2020","8th grade or less","1",24
,"Clay County, MO","29047","2020","2020","9th through 12th grade with no diploma","2",126
,"Clay County, MO","29047","2020","2020","High school graduate or GED completed","3",613
,"Clay County, MO","29047","2020","2020","Some college credit, but not a degree","4",597
,"Clay County, MO","29047","2020","2020","Associate degree (AA, AS)","5",249
,"Clay County, MO","29047","2020","2020","Bachelor's degree (BA, AB, BS)","6",772
,"Clay County, MO","29047","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",342
,"Clay County, MO","29047","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",68
,"Clay County, MO","29047","2021","2021","8th grade or less","1",18
,"Clay County, MO","29047","2021","2021","9th through 12th grade with no diploma","2",128
,"Clay County, MO","29047","2021","2021","High school graduate or GED completed","3",538
,"Clay County, MO","29047","2021","2021","Some college credit, but not a degree","4",516
,"Clay County, MO","29047","2021","2021","Associate degree (AA, AS)","5",249
,"Clay County, MO","29047","2021","2021","Bachelor's degree (BA, AB, BS)","6",768
,"Clay County, MO","29047","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",349
,"Clay County, MO","29047","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",60
,"Clay County, MO","29047","2022","2022","8th grade or less","1",16
,"Clay County, MO","29047","2022","2022","9th through 12th grade with no diploma","2",104
,"Clay County, MO","29047","2022","2022","High school graduate or GED completed","3",583
,"Clay County, MO","29047","2022","2022","Some college credit, but not a degree","4",523
,"Clay County, MO","29047","2022","2022","Associate degree (AA, AS)","5",233
,"Clay County, MO","29047","2022","2022","Bachelor's degree (BA, AB, BS)","6",822
,"Clay County, MO","29047","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",377
,"Clay County, MO","29047","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",82
,"Clay County, MO","29047","2023","2023","8th grade or less","1",25
,"Clay County, MO","29047","2023","2023","9th through 12th grade with no diploma","2",125
,"Clay County, MO","29047","2023","2023","High school graduate or GED completed","3",602
,"Clay County, MO","29047","2023","2023","Some college credit, but not a degree","4",550
,"Clay County, MO","29047","2023","2023","Associate degree (AA, AS)","5",208
,"Clay County, MO","29047","2023","2023","Bachelor's degree (BA, AB, BS)","6",732
,"Clay County, MO","29047","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",360
,"Clay County, MO","29047","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",75
,"Clay County, MO","29047","2024","2024","8th grade or less","1",27
,"Clay County, MO","29047","2024","2024","9th through 12th grade with no diploma","2",117
,"Clay County, MO","29047","2024","2024","High school graduate or GED completed","3",632
,"Clay County, MO","29047","2024","2024","Some college credit, but not a degree","4",570
,"Clay County, MO","29047","2024","2024","Associate degree (AA, AS)","5",239
,"Clay County, MO","29047","2024","2024","Bachelor's degree (BA, AB, BS)","6",789
,"Clay County, MO","29047","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",364
,"Clay County, MO","29047","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",75
,"Franklin County, MO","29071","2016","2016","8th grade or less","1",13
,"Franklin County, MO","29071","2016","2016","9th through 12th grade with no diploma","2",111
,"Franklin County, MO","29071","2016","2016","High school graduate or GED completed","3",244
,"Franklin County, MO","29071","2016","2016","Some college credit, but not a degree","4",305
,"Franklin County, MO","29071","2016","2016","Associate degree (AA, AS)","5",169
,"Franklin County, MO","29071","2016","2016","Bachelor's degree (BA, AB, BS)","6",189
,"Franklin County, MO","29071","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",87
,"Franklin County, MO","29071","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",21
,"Franklin County, MO","29071","2017","2017","8th grade or less","1",10
