county,year,total_births,preterm_births,lbw_births,smoking_births,ppd_births,gd_births,pph_births,gh_births,young_births,ama_births,early_prenatal_births,college_births,medicaid_births,preterm_rate,lbw_rate,smoking_rate,prepreg_diabetes_rate,gestational_diabetes_rate,prepreg_hypertension_rate,gestational_hypertension_rate,young_mother_rate,advanced_age_rate,early_prenatal_rate,college_education_rate,medicaid_rate,county_key
"Boone County, MO",2016.0,1884.0,151.0,131.0,199.0,17.0,147.0,51.0,181.0,55.0,286.0,1588.0,1410.0,447.0,0.08014861995753715,0.06953290870488323,0.10562632696390659,0.009023354564755838,0.07802547770700637,0.027070063694267517,0.09607218683651805,0.029193205944798302,0.15180467091295116,0.8428874734607219,0.7484076433121019,0.2372611464968153,Boone
"Boone County, MO",2017.0,1859.0,197.0,164.0,203.0,17.0,145.0,66.0,170.0,61.0,304.0,1577.0,1398.0,459.0,0.10597095212479828,0.08821947283485745,0.10919849381387843,0.00914470145239376,0.07799892415277031,0.03550295857988166,0.0914470145239376,0.0328133405056482,0.1635287789133943,0.8483055406132329,0.7520172135556751,0.24690693921463153,Boone
"Boone County, MO",2018.0,1821.0,184.0,145.0,174.0,21.0,208.0,86.0,162.0,53.0,280.0,1545.0,1365.0,510.0,0.10104338275672707,0.07962657880285558,0.09555189456342669,0.011532125205930808,0.11422295442064799,0.047226798462383306,0.08896210873146623,0.029104887424492038,0.15376166941241076,0.8484349258649094,0.7495881383855024,0.2800658978583196,Boone
"Boone County, MO",2019.0,1896.0,197.0,165.0,173.0,20.0,203.0,99.0,188.0,69.0,299.0,1589.0,1412.0,554.0,0.10390295358649788,0.08702531645569621,0.09124472573839662,0.010548523206751054,0.1070675105485232,0.05221518987341772,0.09915611814345991,0.03639240506329114,0.15770042194092826,0.8380801687763713,0.7447257383966245,0.2921940928270042,Boone
"Boone County, MO",2020.0,1837.0,172.0,118.0,167.0,27.0,212.0,118.0,172.0,41.0,319.0,1553.0,1362.0,565.0,0.09363091997822537,0.06423516603157321,0.09090909090909091,0.014697876973326075,0.11540555253130104,0.06423516603157321,0.09363091997822537,0.02231899836690256,0.17365269461077845,0.8454001088731627,0.7414262384322264,0.3075666848121938,Boone
"Boone County, MO",2021.0,1757.0,171.0,137.0,149.0,28.0,191.0,132.0,192.0,30.0,296.0,1491.0,1332.0,575.0,0.09732498577120091,0.07797381900967558,0.08480364257256688,0.01593625498007968,0.1087080250426864,0.07512805919180421,0.10927717700626068,0.01707455890722823,0.1684689812179852,0.848605577689243,0.7581104154809334,0.3272623790552077,Boone
"Boone County, MO",2022.0,1845.0,183.0,168.0,96.0,28.0,218.0,166.0,259.0,44.0,317.0,1566.0,1426.0,554.0,0.0991869918699187,0.0910569105691057,0.05203252032520325,0.015176151761517615,0.11815718157181572,0.08997289972899729,0.14037940379403793,0.023848238482384824,0.17181571815718158,0.848780487804878,0.77289972899729,0.3002710027100271,Boone
"Boone County, MO",2023.0,1758.0,203.0,153.0,103.0,23.0,222.0,152.0,224.0,62.0,361.0,1467.0,1258.0,636.0,0.11547212741751992,0.08703071672354949,0.05858930602957907,0.013083048919226393,0.12627986348122866,0.08646188850967008,0.12741751990898748,0.03526734926052332,0.20534698521046643,0.8344709897610921,0.7155858930602957,0.36177474402730375,Boone
"Boone County, MO",2024.0,1831.0,195.0,135.0,82.0,26.0,201.0,173.0,269.0,27.0,369.0,1516.0,1356.0,582.0,0.1064991807755325,0.07373020207536865,0.04478427089022392,0.014199890770071,0.10977607864554888,0.09448388858547242,0.14691425450573456,0.01474604041507373,0.20152921900600765,0.8279628618241398,0.7405789186237028,0.3178590933915893,Boone
"Clay County, MO",2016.0,2726.0,225.0,177.0,282.0,17.0,169.0,52.0,187.0,100.0,397.0,2163.0,2021.0,658.0,0.08253851797505503,0.06493030080704329,0.10344827586206896,0.0062362435803374906,0.061995597945708,0.019075568598679385,0.0685986793837124,0.036683785766691124,0.14563462949376377,0.793470286133529,0.7413793103448276,0.2413793103448276,Clay
"Clay County, MO",2017.0,2815.0,219.0,160.0,294.0,13.0,181.0,51.0,196.0,115.0,385.0,2200.0,2025.0,774.0,0.07779751332149201,0.056838365896980464,0.1044404973357016,0.004618117229129663,0.06429840142095915,0.018117229129662522,0.06962699822380107,0.04085257548845471,0.13676731793960922,0.7815275310834814,0.7193605683836589,0.27495559502664296,Clay
"Clay County, MO",2018.0,2901.0,255.0,173.0,277.0,27.0,196.0,59.0,206.0,86.0,474.0,2254.0,2125.0,794.0,0.08790072388831438,0.05963460875560152,0.09548431575318855,0.009307135470527405,0.06756290934160634,0.020337814546708032,0.07100999655291279,0.029644950017235435,0.16339193381592554,0.7769734574284729,0.7325060324026198,0.2736987245777318,Clay
"Clay County, MO",2019.0,2918.0,275.0,188.0,238.0,25.0,209.0,60.0,246.0,80.0,423.0,2325.0,2086.0,763.0,0.09424263193968471,0.06442769019876628,0.08156271418779987,0.008567511994516792,0.07162440027416038,0.0205620287868403,0.08430431802604524,0.027416038382453736,0.14496230294722412,0.7967786154900617,0.7148732008224812,0.2614804660726525,Clay
