county,population,median_income,unemployment_rate,poverty_rate,bachelors_plus_rate,uninsured_rate,county_key
Reynolds County,6058.0,44357.0,10.6,17.9,15.4,13.4,Reynolds
Ripley County,10755.0,43898.0,4.6,19.7,12.9,16.5,Ripley
St. Charles County,409830.0,102912.0,2.8,4.7,42.4,4.3,St. Charles
St. Clair County,9451.0,46731.0,2.5,16.3,13.7,12.7,St. Clair
Ste. Genevieve County,18551.0,61310.0,4.6,7.9,18.4,4.7,Ste. Genevieve
St. Francois County,66864.0,54813.0,4.9,17.0,16.0,11.8,St. Francois
St. Louis County,996618.0,81340.0,4.2,9.6,46.9,5.8,St. Louis
Saline County,23177.0,56566.0,2.5,14.7,26.0,7.8,Saline
Schuyler County,4044.0,56023.0,4.7,9.7,10.6,14.7,Schuyler
Scotland County,4698.0,67568.0,0.8,7.1,14.5,33.9,Scotland
Scott County,37967.0,58847.0,3.2,14.5,21.7,11.8,Scott
Shannon County,7137.0,59000.0,3.0,16.7,14.6,11.3,Shannon
Shelby County,6011.0,52127.0,1.0,15.6,18.0,10.0,Shelby
Stoddard County,28547.0,54067.0,3.7,17.0,16.4,11.8,Stoddard
Stone County,31697.0,61323.0,7.2,14.0,23.0,9.4,Stone
Sullivan County,5903.0,55500.0,2.4,14.7,14.7,8.6,Sullivan
Taney County,56382.0,58258.0,4.5,14.4,25.4,14.8,Taney
Texas County,24956.0,48055.0,4.6,19.3,15.8,15.7,Texas
Vernon County,19713.0,54519.0,3.9,19.0,18.0,15.6,Vernon
Warren County,36467.0,77989.0,3.8,9.3,19.6,8.2,Warren
Washington County,23483.0,51886.0,3.8,18.2,12.4,11.4,Washington
Wayne County,10942.0,43393.0,7.7,25.1,11.0,13.9,Wayne
Webster County,39868.0,69731.0,4.2,16.1,18.6,13.4,Webster
Worth County,1956.0,46167.0,1.2,17.6,17.6,10.6,Worth
Wright County,18722.0,47304.0,4.1,17.6,14.3,15.7,Wright
St. Louis city,293109.0,55279.0,5.0,19.8,40.2,9.3,St. Louis City
