Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Education Status:  Less Than 12 Years;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
Dent,36,21.82,,42,24.56,,35,18.82,,26,18.98,,24,15.79,,23,16.20,,26,16.67,,18,12.86,*,20,14.08,,250,17.97,,,
Douglas,22,14.38,,19,12.03,*,18,11.11,*,10,8.26,*,22,16.79,,23,15.65,,27,19.01,,20,13.70,,15,10.95,*,176,13.57,,,
Dunklin,120,28.37,,91,24.46,,98,25.26,,79,22.07,,85,22.67,,88,24.04,,72,22.09,,80,22.86,,61,19.74,,774,23.69,,,
Franklin,144,11.53,,146,11.66,,116,9.86,,142,11.64,,131,11.94,,99,8.87,,102,9.12,,102,9.07,,104,8.89,,1086,10.32,,,
Gasconade,19,12.03,*,20,12.82,,16,10.46,*,16,10.26,*,15,10.95,*,21,13.55,,15,10.87,*,21,12.35,,19,14.50,*,162,11.96,,,
Gentry,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,129,17.79,,,
Greene,402,11.30,,398,11.97,,396,11.98,,398,11.68,,351,10.85,,337,10.36,,361,11.05,,321,10.21,,346,10.25,,3310,11.08,,,
Grundy,44,28.76,,60,38.71,,43,28.48,,48,39.02,,31,29.25,,50,35.21,,45,31.69,,48,36.92,,42,31.82,,411,33.31,,,
Harrison,27,24.55,,27,30.00,,31,31.96,,23,25.00,,30,31.58,,21,25.00,,29,35.37,,34,28.33,,30,31.91,,252,29.17,,,
Henry,40,15.50,,37,15.74,,29,11.98,,61,19.18,,43,16.86,,46,17.49,,32,13.45,,29,13.88,,37,16.89,,354,15.82,,,
Hickory,19,23.46,*,11,13.75,*,17,23.61,*,17,23.29,*,32,36.78,,19,22.09,*,17,23.29,*,25,26.60,,16,21.92,*,173,24.06,,,
Holt,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,22,5.60,,,
Howard,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,103,10.79,,,
Howell,86,17.73,,76,14.59,,83,15.87,,81,17.49,,76,16.03,,59,13.23,,56,12.58,,68,15.04,,72,14.97,,657,15.31,,,
Iron,17,16.50,*,12,11.65,*,16,16.16,*,16,14.95,*,13,13.98,*,10,10.99,*,14,16.67,*,12,12.77,*,10,10.75,*,120,13.84,,,
Jackson,1438,15.36,,1331,14.39,,1313,14.53,,1264,14.34,,1255,14.39,,1068,12.88,,1145,13.45,,1201,14.13,,1229,14.45,,11244,14.23,,,
Jasper,301,18.07,,262,16.52,,250,15.97,,260,16.92,,261,17.26,,245,15.65,,276,17.16,,267,17.14,,256,16.56,,2378,16.81,,,
Jefferson,216,8.21,,223,8.90,,193,7.60,,191,7.64,,194,8.14,,172,7.14,,162,6.99,,157,6.65,,157,6.60,,1665,7.56,,,
Johnson,46,6.58,,37,5.17,,48,6.95,,44,6.40,,45,6.78,,46,6.52,,39,5.46,,50,7.32,,52,7.85,,407,6.54,,,
Knox,16,33.33,*,26,49.06,,22,37.93,,26,42.62,,19,42.22,*,21,48.84,,20,40.00,,21,42.00,,25,50.00,,196,42.79,,,
Laclede,87,16.93,,87,17.51,,95,20.26,,77,15.62,,75,17.24,,68,14.20,,65,14.32,,77,16.89,,57,13.26,,688,16.28,,,
Lafayette,38,10.56,,38,10.70,,28,7.29,,37,9.16,,37,10.25,,32,9.38,,28,7.47,,35,9.80,,25,7.02,,298,9.05,,,
Lawrence,114,21.76,,107,21.10,,110,21.07,,105,21.30,,99,20.04,,81,16.80,,98,19.29,,97,19.56,,90,17.72,,901,19.87,,,
Lewis,17,15.04,*,19,15.20,*,19,14.07,*,12,12.12,*,12,13.33,*,13,14.61,*,9,10.47,*,10,10.53,*,6,8.70,*,117,12.99,,,
Lincoln,83,11.20,,64,8.60,,62,7.65,,72,8.83,,59,7.96,,56,6.94,,65,7.65,,37,4.82,,58,6.74,,556,7.79,,,
Linn,16,12.80,*,14,10.37,*,21,16.15,,24,17.02,,21,16.28,,16,11.59,*,13,9.92,*,21,16.15,,23,14.11,,169,13.83,,,
Livingston,25,15.43,,31,18.90,,14,9.21,*,18,11.76,*,27,14.92,,18,11.39,*,19,12.42,*,24,15.38,,31,17.42,,207,14.21,,,
