Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Service Utilization:  Mother on Medicaid;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,80,52.98,,86,54.78,,75,46.30,,64,52.89,,70,53.85,,76,51.35,,64,45.39,,81,55.48,,66,48.53,,662,51.24,,
Dunklin,323,76.54,,277,74.46,,283,72.94,,242,67.41,,251,66.58,,263,73.26,,246,75.23,,264,75.64,,208,66.88,,2357,72.21,,
Franklin,376,30.47,,388,31.34,,366,31.58,,402,33.28,,374,34.50,,336,30.80,,336,30.49,,384,34.59,,346,29.90,,3308,31.86,,
Gasconade,45,28.48,,49,31.82,,47,30.92,,50,32.05,,45,33.33,,64,42.67,,44,31.88,,68,40.48,,48,36.64,,460,34.28,,
Gentry,30,34.48,,24,27.91,,33,37.93,,31,32.29,,25,36.23,,23,30.67,,29,35.80,,29,35.37,,22,33.85,,246,33.79,,
Greene,1504,42.37,,1291,38.87,,1497,45.35,,1532,45.18,,1505,46.84,,1500,46.10,,1360,41.63,,1470,46.64,,1700,50.25,,13359,44.78,,
Grundy,71,47.65,,61,39.61,,58,39.19,,53,43.80,,39,37.50,,45,32.14,,55,39.01,,45,34.88,,43,32.33,,470,38.56,,
Harrison,58,52.25,,48,53.93,,40,42.55,,31,34.44,,37,38.95,,32,38.10,,22,27.16,,50,42.37,,36,38.30,,354,41.36,,
Henry,118,47.77,,107,46.32,,124,52.99,,146,47.40,,118,50.43,,112,46.28,,82,40.80,,101,50.00,,100,47.17,,1008,47.75,,
Hickory,43,53.75,,44,55.00,,34,47.89,,37,52.11,,44,51.16,,47,54.65,,43,58.11,,44,46.81,,38,52.05,,374,52.31,,
Holt,19,33.93,*,15,39.47,*,16,31.37,*,20,43.48,,14,40.00,*,15,29.41,*,18,43.90,*,11,28.21,*,9,25.00,*,137,34.86,,
Howard,39,33.62,,35,29.91,,39,36.11,,41,35.96,,49,45.79,,41,48.81,,43,39.81,,30,32.61,,36,32.73,,353,36.92,,
