Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Care:  Began First Trimester;,
Year:,2016,2016,,2017,2017,,2018,2018,2019,2019,,2020,2020,,2021,2021,,2022,2022,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunklin,277,66.43,,246,67.96,,232,60.57,248,69.27,,240,65.22,,267,75.00,,233,72.59,248,72.30,,225,73.53,,2216,68.95,,
Franklin,995,82.10,,990,81.68,,927,80.47,931,78.43,,814,76.36,,877,80.31,,843,76.85,845,76.54,,903,78.32,,8125,79.08,,
Gasconade,123,79.35,,128,83.12,,117,76.97,133,86.36,,111,81.62,,124,81.58,,109,79.56,132,78.11,,100,78.13,,1077,80.55,,
Gentry,61,73.49,,58,74.36,,57,72.15,63,67.02,,55,79.71,,59,79.73,,66,84.62,64,79.01,,40,62.50,,523,74.71,,
Greene,2195,68.66,,2240,71.09,,2241,68.89,2287,68.64,,2326,72.92,,2368,73.54,,2270,70.63,2207,70.74,,2332,69.51,,20466,70.49,,
Grundy,115,75.66,,89,61.38,,86,58.50,72,63.72,,69,65.71,,86,63.24,,78,56.93,68,55.74,,81,61.36,,744,62.57,,
Harrison,75,68.81,,56,65.88,,61,65.59,60,68.18,,60,63.83,,47,58.02,,51,62.96,77,64.71,,49,52.69,,536,63.58,,
Henry,174,69.32,,176,76.19,,171,72.15,213,67.62,,195,77.38,,200,77.52,,168,71.79,154,74.40,,162,73.97,,1613,73.19,,
Hickory,60,81.08,,53,69.74,,46,63.89,39,56.52,,52,61.18,,55,65.48,,45,61.64,61,65.59,,39,54.93,,450,64.56,,
Holt,51,91.07,,28,73.68,,41,83.67,34,75.56,,28,80.00,,43,86.00,,34,89.47,29,76.32,,27,77.14,,315,82.03,,
Howard,93,80.87,,87,74.36,,89,84.76,97,85.84,,91,86.67,,70,83.33,,85,78.70,75,82.42,,92,84.40,,779,82.26,,
Howell,336,71.49,,370,72.69,,369,71.93,305,67.18,,347,73.99,,337,76.77,,313,71.95,293,68.14,,339,70.92,,3009,71.69,,
Iron,65,67.71,,63,66.32,,60,64.52,61,57.55,,58,65.91,,62,68.89,,61,74.39,60,65.22,,66,72.53,,556,66.75,,
Jackson,6057,67.90,,5877,66.44,,5810,65.88,5759,66.53,,5678,66.12,,5632,68.97,,5668,67.36,5553,65.58,,5446,64.38,,51480,66.57,,
Jasper,1180,72.22,,1143,72.57,,1106,71.59,1059,70.23,,1063,71.34,,1201,78.75,,1143,72.20,1096,70.21,,1087,70.22,,10078,72.15,,
Jefferson,1969,79.75,,1727,75.41,,1669,71.60,1686,70.90,,1496,65.99,,1613,69.77,,1509,66.89,1579,68.35,,1631,70.21,,14879,71.07,,
Johnson,553,81.09,,532,77.33,,514,75.81,544,80.83,,467,72.07,,514,74.71,,514,73.53,480,70.80,,430,65.65,,4548,74.69,,
Knox,33,71.74,,36,67.92,,40,68.97,36,60.00,,32,72.73,,21,51.22,,27,55.10,33,67.35,,29,56.86,,287,63.64,,
Laclede,346,68.79,,328,68.05,,295,63.99,325,67.29,,290,66.97,,341,71.94,,320,71.91,328,72.25,,281,66.75,,2854,68.67,,
Lafayette,260,74.07,,243,71.26,,288,75.79,310,77.89,,277,79.14,,267,78.76,,307,82.09,273,77.12,,251,70.90,,2476,76.40,,
Lawrence,348,71.31,,353,72.34,,341,67.13,338,70.27,,355,72.90,,350,73.84,,371,73.76,337,68.64,,384,76.34,,3177,71.83,,
Lewis,87,77.68,,94,80.34,,109,81.34,79,81.44,,72,80.00,,65,74.71,,63,74.12,76,81.72,,58,84.06,,703,79.52,,
Lincoln,530,73.71,,532,73.58,,592,76.68,596,78.11,,527,75.61,,576,75.59,,547,70.95,562,75.95,,626,73.82,,5088,74.88,,
Linn,99,79.84,,97,75.19,,92,72.44,98,70.00,,95,76.61,,105,77.78,,106,82.17,101,78.91,,128,79.50,,921,76.94,,
Livingston,119,76.77,,121,75.16,,104,70.75,128,83.66,,141,80.57,,127,81.94,,121,80.67,102,66.67,,133,75.14,,1096,76.86,,
Macon,117,75.48,,134,71.28,,129,73.30,121,74.69,,127,72.99,,119,71.69,,131,74.01,121,69.54,,119,77.78,,1118,73.31,,
Madison,102,70.34,,88,70.40,,98,68.53,80,65.57,,99,77.34,,104,78.79,,96,79.34,86,76.79,,109,79.56,,862,73.99,,
Maries,56,82.35,,46,66.67,,65,73.86,66,74.16,,64,64.65,,67,72.04,,72,75.79,63,74.12,,78,74.29,,577,72.95,,
