Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Smoked During Pregnancy:  Yes;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
Greene,578,16.36,,553,16.84,,548,16.62,,527,15.50,,470,14.58,,380,11.79,,303,9.30,,225,7.17,,225,6.67,,3809,12.81,,
Grundy,34,22.52,,37,24.18,,28,18.79,,24,19.83,,18,17.14,*,17,12.32,*,21,15.22,,8,6.40,*,9,6.92,*,196,16.20,,
Harrison,32,29.09,,22,24.44,,26,26.80,,15,16.48,*,25,26.32,,17,20.73,*,11,13.41,*,19,15.83,*,14,14.89,*,181,21.02,,
Henry,66,25.68,,68,28.94,,56,23.14,,72,22.78,,67,26.27,,59,22.61,,38,16.03,,21,10.24,,34,15.45,,481,21.59,,
Hickory,22,27.50,,15,18.99,*,14,19.44,*,12,16.44,*,17,19.54,*,21,24.42,,11,14.67,*,6,6.45,*,6,8.33,*,124,17.29,,
Holt,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,69,17.69,,
Howard,25,21.55,,31,26.96,,28,26.17,,22,19.47,,19,17.76,*,15,18.07,*,14,13.21,*,9,9.78,*,11,10.00,*,174,18.34,,
Howell,128,26.39,,119,22.97,,134,25.62,,100,21.51,,96,20.30,,78,17.49,,58,13.06,,55,12.22,,53,11.09,,821,19.17,,
Iron,25,24.75,,32,31.07,,28,28.00,,31,29.25,,31,34.07,,18,19.78,*,14,16.87,*,15,16.30,*,14,15.22,*,208,24.21,,
Jackson,1142,12.24,,1041,11.28,,930,10.31,,854,9.71,,797,9.17,,600,7.33,,466,5.51,,372,4.37,,313,3.67,,6515,8.27,,
Jasper,292,17.54,,261,16.43,,249,15.93,,234,15.27,,222,14.74,,164,10.56,,144,9.02,,103,6.94,,101,6.77,,1770,12.66,,
Jefferson,454,17.37,,414,16.61,,435,17.25,,400,16.03,,321,13.58,,266,11.30,,208,9.14,,150,6.51,,140,5.92,,2788,12.80,,
Johnson,82,11.78,,82,11.55,,78,11.29,,65,9.50,,65,9.85,,61,8.76,,46,6.59,,41,6.05,,31,4.73,,551,8.93,,
Knox,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,55,12.11,,
Laclede,129,25.20,,141,28.54,,122,26.01,,117,23.68,,110,25.46,,92,19.25,,88,19.56,,69,15.20,,52,12.21,,920,21.86,,
Lafayette,77,21.39,,71,20.11,,73,19.06,,77,19.01,,65,18.21,,50,14.75,,35,9.36,,33,9.30,,21,5.93,,502,15.30,,
Lawrence,89,16.98,,77,15.28,,87,16.73,,74,15.10,,77,15.65,,58,12.18,,63,12.43,,50,10.18,,25,4.98,,600,13.32,,
Lewis,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,158,17.63,,
Lincoln,172,23.50,,146,19.81,,125,15.45,,143,17.68,,119,16.23,,90,11.35,,63,7.54,,41,5.42,,35,4.10,,934,13.23,,
Linn,27,21.60,,26,19.40,,19,14.73,*,32,23.02,,23,17.97,,20,14.71,,15,11.63,*,18,13.95,*,18,11.11,*,198,16.35,,
Livingston,47,29.19,,39,24.07,,31,20.53,,33,22.60,,40,22.22,,28,18.18,,21,13.82,,14,9.15,*,12,6.82,*,265,18.47,,
Macon,32,20.25,,38,19.90,,29,16.48,,26,15.95,,34,18.89,,20,12.05,,14,8.00,*,18,10.34,*,9,5.77,*,220,14.29,,
Madison,48,32.43,,34,25.37,,29,19.33,,29,23.39,,39,29.55,,29,21.80,,22,18.18,,19,16.67,*,11,7.97,*,260,21.78,,
Maries,17,23.61,*,14,19.18,*,16,17.78,*,15,16.48,*,16,15.84,*,13,13.83,*,11,11.11,*,12,13.64,*,6,5.71,*,120,14.76,,
Marion,86,24.78,,85,23.48,,79,22.44,,80,22.60,,57,19.45,,53,16.11,,46,14.79,,33,10.09,,31,10.00,,550,18.43,,
McDonald,68,18.43,,76,21.78,,56,15.43,,42,13.82,,38,12.14,,41,12.24,,36,11.43,,25,8.33,,23,7.74,,405,13.75,,
Mercer,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,40,9.28,,
Miller,71,23.59,,75,26.60,,84,25.15,,64,21.40,,54,18.18,,51,16.45,,35,11.95,,28,10.41,,23,8.68,,485,18.30,,
Mississippi,30,20.83,,40,27.40,,35,23.03,,31,20.67,,32,22.38,,20,15.50,,22,15.07,,21,15.56,,21,15.91,,252,19.73,,
Moniteau,26,13.61,,32,15.84,,27,13.04,,23,12.50,,21,11.23,,20,10.70,,16,7.55,*,9,4.76,*,8,4.47,*,182,10.47,,
Monroe,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,117,14.20,,
Montgomery,30,24.39,,26,22.41,,42,28.57,,27,21.26,,29,24.17,,26,19.40,,15,13.39,*,11,9.91,*,11,11.11,*,217,19.93,,
Morgan,58,22.83,,64,22.70,,48,17.98,,45,19.31,,42,15.56,,36,14.34,,34,12.83,,32,12.50,,19,7.57,*,378,16.23,,
New Madrid,59,25.54,,58,24.37,,45,23.81,,59,24.08,,36,18.27,,37,18.59,,29,16.76,,30,16.85,,17,9.04,*,370,20.13,,
Newton,103,14.67,,112,16.18,,113,15.48,,96,13.66,,79,12.34,,78,11.49,,52,7.42,,57,8.32,,46,7.07,,736,11.90,,
Nodaway,36,15.06,,30,15.15,,24,11.71,,31,14.76,,19,9.13,*,26,11.45,,24,12.31,,10,4.93,*,12,5.83,*,212,11.21,,
Oregon,39,33.05,,30,29.13,,31,24.22,,34,31.78,,26,24.76,,22,19.13,,7,7.07,*,7,6.60,*,7,6.25,*,203,20.44,,
Osage,27,14.92,,13,8.50,*,26,18.31,,12,8.51,*,18,13.95,*,13,8.13,*,10,6.06,*,9,5.36,*,8,5.33,*,136,9.79,,
Ozark,30,35.29,,18,18.75,*,21,26.58,,18,27.69,*,11,16.92,*,19,24.68,*,15,19.48,*,15,17.44,*,10,11.24,*,157,21.84,,
Pemiscot,62,24.41,,56,21.88,,49,22.17,,49,20.68,,39,17.33,,29,13.49,,25,12.82,,24,13.48,,19,9.69,*,352,17.80,,
Perry,52,23.85,,39,17.57,,35,15.35,,38,17.84,,32,15.84,,37,16.82,,19,10.00,*,20,9.52,,10,5.00,*,282,14.82,,
Pettis,115,21.90,,108,18.46,,102,17.32,,108,18.21,,88,16.12,,87,14.95,,71,13.03,,44,7.46,,34,6.42,,757,14.89,,
Phelps,104,21.05,,83,17.11,,90,19.35,,76,18.36,,76,19.14,,69,16.27,,44,9.98,,34,8.74,,33,7.30,,609,15.37,,
Pike,58,27.10,,44,20.09,,47,21.86,,34,17.00,,36,17.56,,27,13.71,,26,14.36,,14,7.69,*,17,8.95,*,303,16.81,,
Platte,89,7.19,,79,6.65,,91,7.48,,70,5.80,,55,4.70,,55,4.51,,40,3.46,,34,3.02,,26,2.20,,539,5.04,,
Polk,67,17.72,,73,19.26,,70,16.71,,60,13.73,,57,15.20,,40,10.34,,49,13.32,,29,7.27,,28,7.35,,473,13.43,,
Pulaski,127,15.89,,103,14.99,,100,14.12,,93,13.01,,87,12.31,,52,7.14,,63,9.36,,60,9.32,,41,6.30,,726,11.50,,
Putnam,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,69,13.66,,
Ralls,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,134,15.56,,
Randolph,72,24.83,,57,19.66,,80,26.14,,60,22.73,,50,20.08,,47,16.97,,32,11.23,,30,10.83,,18,7.47,*,446,17.99,,
Ray,60,24.10,,62,23.40,,62,23.31,,46,18.55,,59,22.35,,44,17.12,,27,11.30,,31,12.50,,22,9.61,,413,18.23,,
Reynolds,19,38.78,*,16,28.07,*,21,28.77,,25,37.31,,28,36.84,,11,22.00,*,13,20.00,*,12,21.43,*,5,10.20,*,150,27.68,,
Ripley,46,26.44,,38,27.54,,46,28.93,,42,26.92,,39,25.66,,29,21.17,,25,19.84,,22,14.77,,23,16.20,,310,23.26,,
Saline,52,22.22,,59,24.89,,53,21.29,,66,24.63,,55,21.40,,46,19.57,,32,13.11,,36,14.12,,28,12.12,,427,19.32,,
