Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Birth Weight:  Low (less than 2500 g);,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
Grundy,11,7.24,*,10,6.37,*,17,11.26,*,11,8.94,*,5,4.72,*,13,9.15,*,9,6.34,*,8,6.15,*,7,5.26,*,91,7.36,,,
Harrison,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,61,7.04,,,
Henry,32,12.40,,15,6.41,*,20,8.23,,23,7.28,,17,6.67,*,19,7.22,*,25,10.50,,19,9.05,*,19,8.64,*,189,8.45,,,
Hickory,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,58,8.04,,,
Holt,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,29,7.40,,,
Howard,8,6.90,*,8,6.90,*,10,9.26,*,7,6.14,*,8,7.48,*,6,7.14,*,9,8.33,*,8,8.70,*,12,10.91,*,76,7.96,,,
Howell,31,6.39,,39,7.49,,36,6.88,,45,9.68,,45,9.47,,38,8.50,,28,6.29,,37,8.19,,46,9.54,,345,8.03,,,
Iron,9,8.82,*,13,12.62,*,12,12.00,*,10,9.35,*,11,11.83,*,8,8.89,*,6,7.14,*,7,7.45,*,11,11.83,*,87,10.05,,,
Jackson,887,9.43,,860,9.25,,861,9.49,,852,9.63,,814,9.27,,877,10.51,,923,10.79,,808,9.43,,850,9.95,,7732,9.74,,,
Jasper,108,6.47,,110,6.90,,117,7.45,,114,7.41,,113,7.44,,156,9.97,,140,8.70,,119,7.57,,111,7.13,,1088,7.67,,,
Jefferson,185,7.02,,194,7.71,,222,8.72,,214,8.54,,182,7.62,,202,8.37,,183,7.87,,204,8.62,,207,8.69,,1793,8.12,,,
Johnson,44,6.29,,52,7.26,,34,4.90,,62,8.99,,46,6.93,,47,6.67,,57,7.97,,47,6.84,,52,7.83,,441,7.07,,,
Knox,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,21,4.58,,,
Laclede,47,9.13,,45,9.05,,37,7.89,,36,7.30,,27,6.18,,26,5.39,,54,11.87,,37,8.11,,40,9.30,,349,8.24,,,
Lafayette,28,7.76,,21,5.92,,30,7.81,,33,8.15,,45,12.47,,31,9.06,,39,10.34,,33,9.22,,35,9.83,,295,8.94,,,
Lawrence,39,7.41,,34,6.71,,38,7.24,,38,7.71,,38,7.71,,35,7.25,,33,6.48,,37,7.44,,37,7.28,,329,7.25,,,
Lewis,11,9.73,*,9,7.20,*,15,11.11,*,14,14.14,*,5,5.56,*,6,6.74,*,5,5.81,*,9,9.47,*,8,11.59,*,82,9.10,,,
Lincoln,60,8.08,,50,6.71,,78,9.63,,56,6.85,,51,6.88,,61,7.56,,64,7.51,,52,6.76,,64,7.43,,536,7.50,,,
Linn,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,81,6.63,,,
Livingston,9,5.52,*,8,4.91,*,18,11.92,*,12,7.84,*,9,4.97,*,16,10.13,*,9,5.88,*,11,7.05,*,15,8.43,*,107,7.35,,,
Macon,10,6.25,*,22,11.40,,20,11.24,,8,4.88,*,23,12.78,,11,6.55,*,10,5.59,*,14,7.95,*,16,10.26,*,134,8.62,,,
Madison,8,5.37,*,14,10.29,*,10,6.62,*,8,6.45,*,9,6.82,*,18,13.53,*,19,15.57,*,11,9.57,*,17,12.32,*,114,9.50,,,
