Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Live Births;,
Year:,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,,
St. Louis City,4321,4151,4137,3952,3792,3707,3344,3259,3140,33803,,
St. Louis County,11673,11356,11359,11386,10575,10494,10475,9676,9927,96921,,
Ste. Genevieve,192,189,222,205,203,192,178,184,179,1744,,
Stoddard,308,333,349,336,355,327,334,318,325,2985,,
Stone,247,259,266,254,272,277,269,262,261,2367,,
Sullivan,85,77,98,86,75,56,74,75,71,697,,
Taney,659,606,655,626,598,565,598,600,606,5513,,
Texas,302,291,264,277,259,297,260,279,283,2512,,
Vernon,237,234,256,241,258,253,224,245,263,2211,,
Warren,425,409,430,422,376,433,464,426,472,3857,,
Washington,290,289,274,276,264,272,265,226,212,2368,,
Wayne,142,150,115,142,112,106,129,109,133,1138,,
Webster,585,559,608,619,551,604,617,608,649,5400,,
Worth,25,22,27,21,26,16,24,21,21,203,,
Wright,269,259,230,256,222,247,258,263,271,2275,,
Total for selection,74664,73017,73281,72103,69277,69269,68954,67065,67863,635493,,
Missouri,74664,73017,73281,72103,69277,69269,68954,67065,67863,635493,,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:45:12 PM,
