county,average_preterm_rate
Clark,15.0
Dunklin,14.214444444444446
Pemiscot,13.632222222222222
Butler,13.453333333333333
Sullivan,13.342222222222222
Ripley,13.294444444444444
Mississippi,13.142222222222223
Iron,13.01
St. Louis City,12.966666666666667
New Madrid,12.892222222222223
