Model,Mean_RMSE,SD_RMSE,Mean_MAE,SD_MAE,Mean_R2,SD_R2
Linear Regression,2.3350413000554147,0.1481780876701587,1.7847058434421121,0.1393603727467664,0.08447582619232692,0.049203885606541466
Random Forest,2.3905167032243018,0.14612820396046688,1.848400812334031,0.15423630306210012,0.03999249253871249,0.05623358130712659
Gradient Boosting,2.446244710809131,0.10816529027743546,1.8902148096796338,0.12879494102921402,-0.005809405640603438,0.03631197739199202
XGBoost,2.47434127633432,0.12582566331253414,1.9128437070790785,0.1405890321270659,-0.029485579725811385,0.06255578200667856
SVR,2.5574783370222383,0.20401243760129104,2.035449210201877,0.20795690499296718,-0.10085104872192467,0.12923422303565998
ANN,2.63489937229194,0.15237177777328725,2.0570798124275647,0.08392692637659781,-0.16898018074885424,0.10950349957603563
