Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.639766081871345,0.37188271275649915,0.5618598382749327,0.4310556611459456,0.6727639929740604,0.44670158982554875
Random Forest,0.7321637426900585,0.422969030190787,0.28832230662419345,0.3322128562269525,0.639443557928079,0.392940638922154
Gradient Boosting,0.7263157894736841,0.3822943722943723,0.1541501266029568,0.2063007884380331,0.6310637097720734,0.37910791898775004
SVM,0.6023391812865496,0.3112029310299728,0.5032227939775109,0.37974781209156594,0.6137418715917663,0.3450741178896715
XGBoost,0.7321637426900585,0.35370370370370374,0.1454632579160881,0.193873440285205,0.6127469204320166,0.35775853925668194
ANN,0.7461988304093566,0.2,0.0037735849056603774,0.007407407407407407,0.5018469847350087,0.30555547484989604
