county,year,total_births,preterm_births,lbw_births,smoking_births,ppd_births,gd_births,pph_births,gh_births,preterm_rate,lbw_rate,smoking_rate,prepreg_diabetes_rate,gestational_diabetes_rate,prepreg_hypertension_rate,gestational_hypertension_rate,young_births,ama_births,young_mother_rate,advanced_age_rate,early_prenatal_births,early_prenatal_rate,college_births,college_education_rate,medicaid_births,medicaid_rate
"Boone County, MO",2016.0,1884.0,151.0,131.0,199.0,17.0,147.0,51.0,181.0,0.08014861995753715,0.06953290870488323,0.10562632696390659,0.009023354564755838,0.07802547770700637,0.027070063694267517,0.09607218683651805,55.0,286.0,0.029193205944798302,0.15180467091295116,1588.0,0.8428874734607219,975.0,0.517515923566879,447.0,0.2372611464968153
"Boone County, MO",2017.0,1859.0,197.0,164.0,203.0,17.0,145.0,66.0,170.0,0.10597095212479828,0.08821947283485745,0.10919849381387843,0.00914470145239376,0.07799892415277031,0.03550295857988166,0.0914470145239376,61.0,304.0,0.0328133405056482,0.1635287789133943,1577.0,0.8483055406132329,952.0,0.5121032813340506,459.0,0.24690693921463153
"Boone County, MO",2018.0,1821.0,184.0,145.0,174.0,21.0,208.0,86.0,162.0,0.10104338275672707,0.07962657880285558,0.09555189456342669,0.011532125205930808,0.11422295442064799,0.047226798462383306,0.08896210873146623,53.0,280.0,0.029104887424492038,0.15376166941241076,1545.0,0.8484349258649094,935.0,0.513454146073586,510.0,0.2800658978583196
"Boone County, MO",2019.0,1896.0,197.0,165.0,173.0,20.0,203.0,99.0,188.0,0.10390295358649788,0.08702531645569621,0.09124472573839662,0.010548523206751054,0.1070675105485232,0.05221518987341772,0.09915611814345991,69.0,299.0,0.03639240506329114,0.15770042194092826,1589.0,0.8380801687763713,992.0,0.5232067510548524,554.0,0.2921940928270042
"Boone County, MO",2020.0,1837.0,172.0,118.0,167.0,27.0,212.0,118.0,172.0,0.09363091997822537,0.06423516603157321,0.09090909090909091,0.014697876973326075,0.11540555253130104,0.06423516603157321,0.09363091997822537,41.0,319.0,0.02231899836690256,0.17365269461077845,1553.0,0.8454001088731627,919.0,0.5002721829069134,565.0,0.3075666848121938
"Boone County, MO",2021.0,1757.0,171.0,137.0,149.0,28.0,191.0,132.0,192.0,0.09732498577120091,0.07797381900967558,0.08480364257256688,0.01593625498007968,0.1087080250426864,0.07512805919180421,0.10927717700626068,30.0,296.0,0.01707455890722823,0.1684689812179852,1491.0,0.848605577689243,903.0,0.5139442231075697,575.0,0.3272623790552077
"Boone County, MO",2022.0,1845.0,183.0,168.0,96.0,28.0,218.0,166.0,259.0,0.0991869918699187,0.0910569105691057,0.05203252032520325,0.015176151761517615,0.11815718157181572,0.08997289972899729,0.14037940379403793,44.0,317.0,0.023848238482384824,0.17181571815718158,1566.0,0.848780487804878,958.0,0.5192411924119241,554.0,0.3002710027100271
"Boone County, MO",2023.0,1758.0,203.0,153.0,103.0,23.0,222.0,152.0,224.0,0.11547212741751992,0.08703071672354949,0.05858930602957907,0.013083048919226393,0.12627986348122866,0.08646188850967008,0.12741751990898748,62.0,361.0,0.03526734926052332,0.20534698521046643,1467.0,0.8344709897610921,849.0,0.48293515358361777,636.0,0.36177474402730375
"Boone County, MO",2024.0,1831.0,195.0,135.0,82.0,26.0,201.0,173.0,269.0,0.1064991807755325,0.07373020207536865,0.04478427089022392,0.014199890770071,0.10977607864554888,0.09448388858547242,0.14691425450573456,27.0,369.0,0.01474604041507373,0.20152921900600765,1516.0,0.8279628618241398,937.0,0.5117422173675588,582.0,0.3178590933915893
"Clay County, MO",2016.0,2726.0,225.0,177.0,282.0,17.0,169.0,52.0,187.0,0.08253851797505503,0.06493030080704329,0.10344827586206896,0.0062362435803374906,0.061995597945708,0.019075568598679385,0.0685986793837124,100.0,397.0,0.036683785766691124,0.14563462949376377,2163.0,0.793470286133529,1128.0,0.41379310344827586,658.0,0.2413793103448276
