Variable,Coefficient
physical_inactivity_rate,0.34548900736211097
unemployment_rate,0.1600897019834745
uninsured_rate,-0.14114764108685024
bachelors_plus_rate,0.024883653000170352
early_prenatal_rate,0.024349399396140538
medicaid_rate,0.01999626347357025
low_education_rate,-0.01677528879637539
smoking_rate,0.01214061705899268
median_income,2.3758189743313064e-05
pcp_ratio,1.7774149024975744e-06
