county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Buchanan,2024,1001,10.69,9.19,9.99,56.35,49.9,20.44
Butler,2016,576,15.1,10.42,25.44,71.0,61.04,18.64
Butler,2017,516,13.57,9.88,21.05,70.65,65.63,15.34
Butler,2018,500,13.8,12.2,28.06,64.24,66.73,17.64
Butler,2019,546,12.48,9.16,26.1,77.61,58.24,17.96
Butler,2020,544,15.84,12.87,25.19,70.3,69.43,19.15
Butler,2021,549,13.3,8.93,17.29,80.18,73.31,18.05
Butler,2022,475,13.5,9.05,14.87,79.27,79.16,17.55
Butler,2023,492,13.65,11.59,14.96,75.0,75.61,17.86
Butler,2024,508,9.84,6.89,11.16,76.39,67.33,16.97
Caldwell,2016,95,6.32,9.47,21.05,78.02,40.43,13.68
Caldwell,2017,85,10.59,8.24,18.82,66.25,42.86,15.29
Caldwell,2018,108,7.41,7.41,16.67,82.41,39.62,14.81
Caldwell,2019,101,13.86,12.87,22.77,63.0,37.62,11.88
Caldwell,2020,95,8.42,9.47,17.89,78.26,46.81,15.79
Caldwell,2021,100,18.0,10.0,16.33,76.53,40.82,15.0
Caldwell,2022,107,8.41,4.67,12.26,78.5,43.69,13.08
Caldwell,2023,89,6.74,7.87,10.34,75.28,42.53,10.11
Caldwell,2024,93,7.53,6.45,5.38,76.09,32.26,10.75
Callaway,2016,464,9.91,7.76,22.39,75.93,31.17,13.17
Callaway,2017,466,8.8,7.3,21.74,75.49,34.55,12.74
Callaway,2018,501,9.98,6.59,17.87,78.86,36.33,11.38
Callaway,2019,501,8.58,7.4,20.36,74.03,37.52,9.62
Callaway,2020,461,11.5,6.72,18.08,78.65,34.27,9.11
Callaway,2021,448,10.27,8.26,14.32,79.73,39.46,8.07
Callaway,2022,475,10.95,9.26,11.13,82.33,42.41,11.42
Callaway,2023,459,15.03,10.68,10.53,80.18,40.96,11.57
Callaway,2024,450,12.89,6.89,7.81,81.43,36.44,9.78
Camden,2016,381,5.79,3.94,29.37,72.56,56.73,11.81
Camden,2017,410,10.73,9.02,24.82,73.2,54.77,10.73
Camden,2018,372,10.24,7.8,25.0,76.63,47.85,9.68
Camden,2019,363,11.29,6.89,15.6,70.29,51.93,11.33
Camden,2020,369,7.59,7.59,16.89,67.51,55.04,9.76
Camden,2021,354,8.47,6.21,13.64,77.71,54.8,5.95
Camden,2022,379,9.26,7.12,15.78,74.26,62.96,10.32
Camden,2023,333,9.91,7.21,11.31,76.45,58.73,10.81
Camden,2024,361,8.33,5.54,8.66,77.53,54.85,13.33
Cape Girardeau,2016,896,8.71,7.48,15.01,75.32,40.29,8.38
Cape Girardeau,2017,892,8.41,7.51,16.5,73.95,37.6,9.75
Cape Girardeau,2018,931,10.53,10.65,13.7,70.92,38.29,8.7
Cape Girardeau,2019,850,10.26,8.59,14.18,75.24,37.72,10.12
Cape Girardeau,2020,907,10.8,9.48,12.69,76.25,38.45,9.26
Cape Girardeau,2021,875,9.51,7.54,11.32,81.35,41.42,9.83
Cape Girardeau,2022,927,9.4,8.52,9.03,78.61,37.22,8.42
Cape Girardeau,2023,882,9.67,9.18,8.11,78.1,40.64,9.3
Cape Girardeau,2024,843,11.89,10.2,5.39,81.49,33.89,9.64
Carroll,2016,109,,,20.37,74.53,45.79,16.51
Carroll,2017,80,,,22.78,75.0,53.85,13.75
Carroll,2018,90,,,17.98,70.11,44.94,20.0
Carroll,2019,89,,,17.98,81.4,38.2,13.48
Carroll,2020,84,,,14.63,81.71,33.33,12.05
Carroll,2021,94,,,16.13,80.22,41.94,7.45
Carroll,2022,81,,,12.66,78.48,37.5,8.64
Carroll,2023,78,,,14.67,79.49,41.03,14.1
Carroll,2024,80,,,7.5,83.54,41.25,11.25
Carter,2016,82,,,26.83,65.43,50.0,21.95
Carter,2017,70,,,37.14,57.35,75.71,23.53
Carter,2018,87,,,26.44,60.92,63.22,24.14
Carter,2019,70,,,15.71,71.01,58.57,20.0
Carter,2020,76,,,31.58,77.03,70.67,13.16
Carter,2021,97,,,24.73,81.25,70.1,13.4
Carter,2022,75,,,25.33,81.08,74.67,9.33
Carter,2023,82,,,13.41,86.59,71.95,17.28
Carter,2024,66,,,13.79,82.81,63.08,13.64
Cass,2016,1225,8.5,6.29,13.74,76.48,32.89,10.16
Cass,2017,1117,9.4,7.61,13.03,74.84,32.24,8.79
Cass,2018,1150,9.5,7.3,13.4,73.52,30.55,7.67
Cass,2019,1165,10.82,7.9,12.54,77.54,31.54,7.75
Cass,2020,1093,8.87,6.95,9.3,76.57,26.42,5.43
Cass,2021,1181,12.88,7.79,9.79,76.65,31.81,7.46
Cass,2022,1145,9.96,8.47,4.74,73.63,28.24,6.92
Cass,2023,1126,10.58,8.35,5.08,70.74,29.14,5.37
Cass,2024,1263,9.26,6.81,4.37,68.13,27.86,6.58
Cedar,2016,196,7.65,6.63,20.0,75.0,44.97,19.49
Cedar,2017,177,7.95,6.82,25.0,59.43,48.86,30.11
Cedar,2018,194,12.37,6.25,14.58,62.43,40.0,22.68
Cedar,2019,188,7.45,6.91,16.13,56.76,40.64,25.13
Cedar,2020,180,8.33,7.34,16.29,66.48,47.73,22.91
Cedar,2021,204,5.88,2.97,14.85,62.5,41.12,29.41
Cedar,2022,224,11.16,5.36,9.55,72.4,43.3,23.42
Cedar,2023,175,6.86,6.29,6.94,62.29,46.86,32.57
Cedar,2024,201,10.95,6.03,8.63,62.81,46.97,20.9
Chariton,2016,82,,,15.85,77.5,32.93,13.41
Chariton,2017,82,,,13.41,81.48,23.17,13.41
Chariton,2018,91,,,17.78,75.58,38.89,21.11
Chariton,2019,98,,,14.29,80.41,35.71,13.54
Chariton,2020,71,,,8.45,82.86,30.99,9.86
Chariton,2021,80,,,11.69,80.52,22.5,15.0
Chariton,2022,71,,,8.96,87.32,43.66,7.04
Chariton,2023,68,,,7.46,77.27,27.94,7.35
Chariton,2024,90,,,5.56,82.95,31.11,7.78
Christian,2016,999,8.17,6.72,11.34,74.17,36.84,6.92
Christian,2017,1034,8.62,5.8,11.78,74.67,28.29,5.92
