county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Jackson,2023,8565,10.91,9.43,4.37,65.58,46.98,14.13
Jackson,2024,8545,11.03,9.95,3.67,64.38,44.83,14.45
Jasper,2016,1668,8.52,6.47,17.54,72.22,51.32,18.07
Jasper,2017,1594,8.85,6.9,16.43,72.57,49.28,16.52
Jasper,2018,1570,11.21,7.45,15.93,71.59,46.13,15.97
Jasper,2019,1539,9.75,7.41,15.27,70.23,46.61,16.92
Jasper,2020,1519,10.08,7.44,14.74,71.34,50.1,17.26
Jasper,2021,1566,12.64,9.97,10.56,78.75,49.13,15.65
Jasper,2022,1609,12.32,8.7,9.02,72.2,50.82,17.16
Jasper,2023,1573,11.65,7.57,6.94,70.21,55.18,17.14
Jasper,2024,1556,11.45,7.13,6.77,70.22,54.02,16.56
Jefferson,2016,2637,9.64,7.02,17.37,79.75,29.43,8.21
Jefferson,2017,2516,10.62,7.71,16.61,75.41,30.15,8.9
Jefferson,2018,2547,13.0,8.72,17.25,71.6,31.14,7.6
Jefferson,2019,2507,12.59,8.54,16.03,70.9,29.68,7.64
Jefferson,2020,2387,12.8,7.62,13.58,65.99,30.52,8.14
Jefferson,2021,2414,12.66,8.37,11.3,69.77,28.33,7.14
Jefferson,2022,2326,13.24,7.87,9.14,66.89,28.27,6.99
Jefferson,2023,2368,13.47,8.62,6.51,68.35,27.52,6.65
Jefferson,2024,2385,12.37,8.69,5.92,70.21,26.26,6.6
Johnson,2016,701,6.6,6.29,11.78,81.09,20.46,6.58
Johnson,2017,716,9.78,7.26,11.55,77.33,22.88,5.17
Johnson,2018,695,6.76,4.9,11.29,75.81,25.14,6.95
Johnson,2019,690,9.86,8.99,9.5,80.83,23.55,6.4
Johnson,2020,664,10.39,6.93,9.85,72.07,27.01,6.78
Johnson,2021,706,8.11,6.67,8.76,74.71,23.71,6.52
Johnson,2022,715,10.21,7.97,6.59,73.53,21.94,5.46
Johnson,2023,687,9.18,6.84,6.05,70.8,26.57,7.32
Johnson,2024,665,9.17,7.83,4.73,65.65,24.16,7.85
Knox,2016,48,,,,71.74,29.17,33.33
Knox,2017,53,,,,67.92,26.42,49.06
Knox,2018,58,,,,68.97,15.79,37.93
Knox,2019,61,,,,60.0,27.87,42.62
Knox,2020,45,,,,72.73,24.44,42.22
Knox,2021,43,,,,51.22,32.56,48.84
Knox,2022,50,,,,55.1,34.0,40.0
Knox,2023,50,,,,67.35,30.0,42.0
Knox,2024,51,,,,56.86,25.49,50.0
Laclede,2016,515,8.77,9.13,25.2,68.79,51.48,16.93
Laclede,2017,497,14.11,9.05,28.54,68.05,55.51,17.51
Laclede,2018,469,11.75,7.89,26.01,63.99,62.23,20.26
Laclede,2019,494,9.74,7.3,23.68,67.29,58.98,15.62
Laclede,2020,437,8.01,6.18,25.46,66.97,56.15,17.24
Laclede,2021,482,6.85,5.39,19.25,71.94,61.2,14.2
Laclede,2022,455,14.76,11.87,19.56,71.91,57.71,14.32
Laclede,2023,456,9.21,8.11,15.2,72.25,63.38,16.89
Laclede,2024,430,11.4,9.3,12.21,66.75,60.23,13.26
Lafayette,2016,362,7.76,7.76,21.39,74.07,42.25,10.56
Lafayette,2017,355,9.58,5.92,20.11,71.26,39.66,10.7
Lafayette,2018,384,9.38,7.81,19.06,75.79,38.9,7.29
Lafayette,2019,405,11.14,8.15,19.01,77.89,41.19,9.16
Lafayette,2020,361,14.4,12.47,18.21,79.14,37.78,10.25
Lafayette,2021,342,10.23,9.06,14.75,78.76,39.41,9.38
Lafayette,2022,377,11.67,10.34,9.36,82.09,36.44,7.47
Lafayette,2023,358,14.01,9.22,9.3,77.12,43.85,9.8
Lafayette,2024,356,12.36,9.83,5.93,70.9,32.96,7.02
Lawrence,2016,526,8.03,7.41,16.98,71.31,44.83,21.76
Lawrence,2017,507,8.71,6.71,15.28,72.34,42.09,21.1
Lawrence,2018,525,8.57,7.24,16.73,67.13,44.66,21.07
Lawrence,2019,493,10.34,7.71,15.1,70.27,47.34,21.3
Lawrence,2020,494,10.75,7.71,15.65,72.9,45.06,20.04
Lawrence,2021,484,10.97,7.25,12.18,73.84,44.17,16.8
Lawrence,2022,509,10.41,6.48,12.43,73.76,43.31,19.29
Lawrence,2023,497,10.26,7.44,10.18,68.64,47.76,19.56
Lawrence,2024,508,8.86,7.28,4.98,76.34,45.06,17.72
Lewis,2016,113,11.5,9.73,,77.68,42.48,15.04
Lewis,2017,125,7.2,7.2,,80.34,35.2,15.2
Lewis,2018,135,9.63,11.11,,81.34,29.1,14.07
Lewis,2019,99,15.15,14.14,,81.44,31.63,12.12
Lewis,2020,90,7.78,5.56,,80.0,24.44,13.33
Lewis,2021,89,8.99,6.74,,74.71,28.09,14.61
Lewis,2022,86,13.95,5.81,,74.12,29.07,10.47
Lewis,2023,95,7.37,9.47,,81.72,20.0,10.53
Lewis,2024,69,11.59,11.59,,84.06,23.19,8.7
Lincoln,2016,744,9.83,8.08,23.5,73.71,34.42,11.2
Lincoln,2017,746,9.26,6.71,19.81,73.58,28.13,8.6
Lincoln,2018,812,13.05,9.63,15.45,76.68,27.93,7.65
Lincoln,2019,817,9.44,6.85,17.68,78.11,27.99,8.83
Lincoln,2020,742,10.66,6.88,16.23,75.61,24.76,7.96
Lincoln,2021,807,10.04,7.56,11.35,75.59,28.17,6.94
Lincoln,2022,852,10.59,7.51,7.54,70.95,26.37,7.65
Lincoln,2023,769,10.53,6.76,5.42,75.95,22.7,4.82
Lincoln,2024,861,11.74,7.43,4.1,73.82,22.09,6.74
Linn,2016,125,,,21.6,79.84,28.8,12.8
Linn,2017,136,,,19.4,75.19,26.72,10.37
Linn,2018,131,,,14.73,72.44,42.19,16.15
Linn,2019,141,,,23.02,70.0,40.71,17.02
Linn,2020,129,,,17.97,76.61,46.88,16.28
Linn,2021,138,,,14.71,77.78,42.34,11.59
Linn,2022,131,,,11.63,82.17,48.84,9.92
Linn,2023,130,,,13.95,78.91,44.19,16.15
Linn,2024,163,,,11.11,79.5,45.4,14.11
Livingston,2016,163,7.41,5.52,29.19,76.77,46.58,15.43
Livingston,2017,165,7.93,4.91,24.07,75.16,39.13,18.9
Livingston,2018,152,11.26,11.92,20.53,70.75,39.86,9.21
Livingston,2019,153,11.84,7.84,22.6,83.66,43.71,11.76
Livingston,2020,181,7.3,4.97,22.22,80.57,50.56,14.92
Livingston,2021,158,9.55,10.13,18.18,81.94,50.0,11.39
Livingston,2022,153,12.67,5.88,13.82,80.67,43.05,12.42
Livingston,2023,156,11.54,7.05,9.15,66.67,44.16,15.38
Livingston,2024,178,12.92,8.43,6.82,75.14,46.07,17.42
Macon,2016,160,10.0,6.25,20.25,75.48,25.0,15.0
Macon,2017,193,16.06,11.4,19.9,71.28,26.42,16.06
Macon,2018,179,11.17,11.24,16.48,73.3,25.14,18.39
Macon,2019,164,9.76,4.88,15.95,74.69,29.27,15.34
Macon,2020,180,12.78,12.78,18.89,72.99,34.44,14.53
Macon,2021,168,8.93,6.55,12.05,71.69,35.12,17.26
Macon,2022,179,8.38,5.59,8.0,74.01,45.25,15.64
Macon,2023,176,12.5,7.95,10.34,69.54,39.2,18.86
Macon,2024,156,13.46,10.26,5.77,77.78,40.65,16.03
Madison,2016,150,11.41,5.37,32.43,70.34,55.48,16.78
Madison,2017,136,9.63,10.29,25.37,70.4,49.25,12.5
Madison,2018,151,15.23,6.62,19.33,68.53,62.59,14.57
Madison,2019,124,10.48,6.45,23.39,65.57,41.05,9.84
Madison,2020,132,11.45,6.82,29.55,77.34,44.78,15.91
Madison,2021,133,12.03,13.53,21.8,78.79,55.08,11.28
Madison,2022,122,18.03,15.57,18.18,79.34,48.76,11.48
Madison,2023,115,12.17,9.57,16.67,76.79,55.65,13.91
Madison,2024,138,13.04,12.32,7.97,79.56,45.65,10.87
Maries,2016,72,,,23.61,82.35,33.33,11.11
Maries,2017,73,,,19.18,66.67,30.56,13.7
Maries,2018,91,,,17.78,73.86,31.87,10.99
Maries,2019,91,,,16.48,74.16,31.87,16.48
Maries,2020,101,,,15.84,64.65,31.0,14.85
Maries,2021,96,,,13.83,72.04,26.04,11.46
Maries,2022,99,,,11.11,75.79,27.27,14.14
Maries,2023,88,,,13.64,74.12,34.48,15.91
Maries,2024,106,,,5.71,74.29,26.67,12.26
Marion,2016,348,8.33,8.36,24.78,80.87,40.63,11.88
Marion,2017,363,11.57,7.99,23.48,75.35,42.66,11.6
Marion,2018,354,10.17,7.91,22.44,83.19,44.19,10.76
Marion,2019,360,12.26,9.17,22.6,82.3,40.0,14.76
Marion,2020,300,11.33,10.33,19.45,85.42,43.33,9.33
Marion,2021,338,10.36,7.4,16.11,84.68,40.06,12.17
Marion,2022,320,14.69,10.63,14.79,80.0,40.31,11.29
Marion,2023,328,11.89,9.79,10.09,81.04,42.99,8.84
Marion,2024,310,12.26,13.87,10.0,76.38,43.55,11.94
McDonald,2016,370,11.35,8.92,18.43,61.81,53.78,32.97
McDonald,2017,353,14.77,9.35,21.78,63.71,57.51,28.86
McDonald,2018,364,8.79,5.49,15.43,64.53,51.93,28.81
McDonald,2019,308,10.06,9.42,13.82,58.67,52.27,28.66
McDonald,2020,315,11.43,7.62,12.14,59.27,53.23,24.92
McDonald,2021,337,12.2,7.42,12.24,57.45,53.17,29.13
McDonald,2022,317,13.25,9.15,11.43,57.1,60.38,28.25
McDonald,2023,322,13.98,12.42,8.33,59.62,57.37,22.47
McDonald,2024,317,12.3,9.46,7.74,56.05,58.54,23.15
Mercer,2016,47,,,,62.5,,27.66
Mercer,2017,56,,,,60.0,,34.55
Mercer,2018,43,,,,63.89,,30.23
Mercer,2019,47,,,,63.64,,38.3
Mercer,2020,46,,,,57.78,,34.78
Mercer,2021,42,,,,30.95,,50.0
Mercer,2022,59,,,,62.5,,42.37
Mercer,2023,41,,,,60.98,,34.15
Mercer,2024,56,,,,50.0,,39.29
Miller,2016,301,11.96,11.3,23.59,80.62,42.47,12.29
Miller,2017,284,10.21,7.75,26.6,75.46,46.29,11.62
Miller,2018,335,11.94,10.15,25.15,77.34,50.45,14.33
Miller,2019,300,8.7,7.33,21.4,74.32,49.67,12.67
Miller,2020,299,11.07,8.7,18.18,71.97,45.64,14.72
Miller,2021,313,10.58,7.67,16.45,73.86,49.68,12.46
Miller,2022,295,12.24,8.14,11.95,79.79,49.66,14.58
Miller,2023,274,11.68,8.76,10.41,83.03,49.08,15.02
Miller,2024,265,12.83,8.3,8.68,84.35,48.86,11.45
Mississippi,2016,146,16.44,14.38,20.83,63.83,69.18,20.55
Mississippi,2017,148,8.78,14.19,27.4,68.97,72.22,22.45
Mississippi,2018,159,10.69,10.06,23.03,70.7,58.23,12.03
Mississippi,2019,152,13.16,11.84,20.67,71.52,65.33,19.87
Mississippi,2020,146,14.38,9.59,22.38,78.32,60.27,13.79
Mississippi,2021,132,13.74,10.61,15.5,73.64,53.44,13.64
Mississippi,2022,152,14.47,11.84,15.07,80.54,61.18,19.87
Mississippi,2023,139,12.23,7.19,15.56,75.36,61.87,16.79
Mississippi,2024,132,14.39,12.98,15.91,76.92,58.78,16.79
Moniteau,2016,192,6.77,5.73,13.61,62.16,29.17,30.37
Moniteau,2017,202,7.92,5.94,15.84,71.07,25.25,23.27
Moniteau,2018,209,8.61,5.74,13.04,76.96,22.49,24.4
Moniteau,2019,186,11.83,7.53,12.5,72.47,22.7,30.11
Moniteau,2020,188,9.04,5.85,11.23,71.43,27.66,24.47
Moniteau,2021,190,6.84,3.16,10.7,73.26,28.42,28.42
Moniteau,2022,212,8.49,8.02,7.55,75.74,26.42,29.25
Moniteau,2023,189,6.88,4.76,4.76,72.58,30.69,25.93
Moniteau,2024,182,7.14,5.49,4.47,75.56,29.67,25.82
Monroe,2016,112,5.36,,,74.07,39.45,19.82
Monroe,2017,88,6.82,,,69.32,34.09,10.23
Monroe,2018,94,12.77,,,77.42,41.94,20.21
Monroe,2019,90,11.11,,,74.16,36.67,12.22
Monroe,2020,99,14.14,,,73.68,39.8,15.31
Monroe,2021,89,12.36,,,77.01,37.08,16.85
Monroe,2022,97,10.31,,,73.68,37.11,14.43
Monroe,2023,79,7.59,,,78.95,45.57,18.99
Monroe,2024,85,7.06,,,74.7,34.12,25.88
Montgomery,2016,124,7.32,4.84,24.39,69.17,43.55,13.01
Montgomery,2017,116,6.09,4.31,22.41,69.03,43.36,15.52
Montgomery,2018,149,9.4,8.05,28.57,77.78,44.9,10.81
Montgomery,2019,127,12.7,6.3,21.26,73.33,45.24,13.49
Montgomery,2020,120,10.92,5.0,24.17,65.22,40.83,14.17
Montgomery,2021,136,14.07,8.82,19.4,68.66,40.3,13.97
Montgomery,2022,112,8.93,11.61,13.39,67.96,36.04,12.61
Montgomery,2023,112,10.71,12.5,9.91,73.87,37.27,12.5
Montgomery,2024,99,10.1,13.13,11.11,75.79,41.84,9.09
Morgan,2016,254,5.91,4.72,22.83,62.15,35.43,40.94
Morgan,2017,282,9.93,9.57,22.7,65.34,42.2,37.94
Morgan,2018,267,4.49,5.62,17.98,63.12,35.96,40.82
Morgan,2019,234,9.83,8.12,19.31,60.96,37.61,39.91
Morgan,2020,272,9.19,9.23,15.56,64.04,38.89,38.6
Morgan,2021,254,8.3,7.11,14.34,66.53,42.29,38.34
Morgan,2022,266,7.14,6.02,12.83,64.73,37.97,44.36
Morgan,2023,258,8.95,5.43,12.5,70.12,49.42,33.85
Morgan,2024,252,9.92,8.0,7.57,72.13,35.32,38.65
New Madrid,2016,231,11.26,10.82,25.54,73.36,66.09,15.22
New Madrid,2017,240,13.75,12.5,24.37,73.39,63.71,14.58
New Madrid,2018,193,10.47,11.92,23.81,64.17,66.49,13.47
New Madrid,2019,246,11.38,8.94,24.08,73.88,59.18,17.96
New Madrid,2020,199,12.06,8.54,18.27,70.56,61.31,16.58
New Madrid,2021,202,17.33,14.85,18.59,70.92,64.36,13.93
New Madrid,2022,176,13.64,9.09,16.76,68.21,66.48,13.14
New Madrid,2023,180,14.44,11.11,16.85,74.86,58.89,14.53
New Madrid,2024,189,11.7,11.17,9.04,82.45,51.06,12.77
Newton,2016,707,8.78,5.52,14.67,72.36,44.27,18.84
Newton,2017,697,9.61,9.33,16.18,70.66,44.4,15.87
Newton,2018,735,9.66,7.49,15.48,69.35,41.45,14.23
Newton,2019,706,8.5,6.09,13.66,71.94,48.29,17.02
Newton,2020,645,9.92,6.51,12.34,73.34,49.77,18.48
Newton,2021,692,9.97,6.94,11.49,73.63,48.39,17.39
Newton,2022,708,13.07,11.16,7.42,70.71,51.42,19.24
Newton,2023,733,11.89,9.0,8.32,69.68,48.29,18.02
Newton,2024,683,10.0,9.08,7.07,69.97,51.18,16.96
Nodaway,2016,240,9.17,9.58,15.06,80.25,23.53,5.42
Nodaway,2017,200,10.05,5.53,15.15,82.29,28.64,4.0
Nodaway,2018,205,9.76,5.85,11.71,83.42,21.46,5.85
Nodaway,2019,210,10.0,9.05,14.76,76.56,30.62,4.76
Nodaway,2020,210,10.48,6.67,9.13,83.25,25.71,5.24
Nodaway,2021,228,9.21,5.7,11.45,85.2,28.95,6.17
Nodaway,2022,197,9.64,6.6,12.31,86.15,26.9,8.12
Nodaway,2023,203,6.4,6.4,4.93,80.79,25.62,4.93
Nodaway,2024,208,7.69,3.85,5.83,81.25,28.02,6.25
Oregon,2016,118,11.86,13.56,33.05,72.57,66.95,21.19
Oregon,2017,104,11.54,11.54,29.13,70.87,58.65,14.56
Oregon,2018,129,6.2,8.53,24.22,69.53,58.14,15.5
Oregon,2019,107,9.35,6.54,31.78,66.04,62.62,19.63
Oregon,2020,105,8.57,7.62,24.76,65.69,69.52,13.33
Oregon,2021,115,9.57,8.7,19.13,67.86,63.48,19.3
Oregon,2022,99,8.08,9.09,7.07,71.13,62.24,22.45
Oregon,2023,106,11.32,9.43,6.6,67.62,62.26,15.09
Oregon,2024,112,7.14,5.36,6.25,68.18,56.25,22.32
Osage,2016,182,12.64,13.26,14.92,82.02,21.98,
Osage,2017,153,8.5,5.23,8.5,85.23,15.69,
Osage,2018,143,6.99,4.9,18.31,83.69,21.68,
Osage,2019,143,9.09,4.9,8.51,83.8,15.38,
Osage,2020,129,10.08,8.53,13.95,81.1,24.03,
Osage,2021,163,15.34,7.98,8.13,81.99,16.67,
Osage,2022,167,8.98,6.59,6.06,88.2,20.96,
Osage,2023,169,8.28,4.73,5.36,86.06,20.24,
Osage,2024,151,9.27,5.96,5.33,84.46,23.84,
Ozark,2016,85,10.59,,35.29,68.67,61.18,
Ozark,2017,97,10.42,,18.75,60.64,44.33,
Ozark,2018,79,12.66,,26.58,61.04,48.72,
Ozark,2019,66,13.64,,27.69,61.9,53.03,
Ozark,2020,65,9.23,,16.92,59.38,36.92,
Ozark,2021,77,10.39,,24.68,66.67,46.75,
Ozark,2022,77,6.49,,19.48,67.12,37.66,
Ozark,2023,86,10.47,,17.44,61.45,52.33,
Ozark,2024,89,14.61,,11.24,61.63,41.57,
Pemiscot,2016,256,12.89,12.16,24.41,60.33,79.92,22.66
Pemiscot,2017,257,16.02,14.06,21.88,67.19,77.17,20.23
Pemiscot,2018,224,11.61,9.82,22.17,61.03,81.25,18.3
Pemiscot,2019,241,12.66,10.88,20.68,60.26,66.1,19.58
Pemiscot,2020,227,10.18,12.33,17.33,64.71,73.33,14.16
Pemiscot,2021,218,13.3,11.47,13.49,61.5,65.09,19.27
Pemiscot,2022,197,17.77,16.24,12.82,61.14,63.68,16.24
Pemiscot,2023,179,13.97,9.5,13.48,65.34,62.01,26.97
Pemiscot,2024,197,14.29,14.72,9.69,71.28,53.09,22.34
Perry,2016,219,10.05,7.76,23.85,78.6,34.7,12.33
Perry,2017,223,8.07,4.05,17.57,75.34,33.48,12.56
Perry,2018,230,11.3,6.52,15.35,81.14,29.13,8.7
Perry,2019,213,8.92,4.69,17.84,80.66,33.01,12.68
Perry,2020,202,12.38,6.44,15.84,75.25,30.69,8.91
Perry,2021,220,8.64,4.09,16.82,83.41,33.03,9.09
Perry,2022,190,7.89,7.37,10.0,80.21,33.16,7.89
Perry,2023,213,12.68,7.51,9.52,74.4,36.79,13.15
Perry,2024,201,11.44,8.46,5.0,78.5,40.0,13.43
Pettis,2016,535,7.3,6.54,21.9,64.11,52.62,17.48
Pettis,2017,599,8.85,7.35,18.46,69.51,49.33,14.72
Pettis,2018,599,10.7,7.37,17.32,64.4,50.67,18.43
Pettis,2019,601,9.0,8.83,18.21,65.65,49.5,14.24
Pettis,2020,556,7.43,6.83,16.12,61.95,47.11,16.3
Pettis,2021,598,11.62,8.53,14.95,65.75,51.97,18.86
Pettis,2022,551,9.44,8.53,13.03,66.6,56.39,20.84
Pettis,2023,599,7.87,5.18,7.46,66.33,57.29,15.74
Pettis,2024,531,10.38,7.53,6.42,62.07,51.89,18.36
Phelps,2016,496,10.89,9.49,21.05,74.38,35.08,10.1
Phelps,2017,490,11.22,9.0,17.11,77.35,37.7,9.39
Phelps,2018,467,9.25,7.49,19.35,74.84,42.37,11.13
Phelps,2019,418,8.61,7.93,18.36,71.88,41.39,10.55
Phelps,2020,397,10.83,8.59,19.14,69.92,46.97,10.33
Phelps,2021,424,9.67,7.55,16.27,68.12,48.22,8.96
Phelps,2022,443,10.38,7.67,9.98,69.57,50.45,13.77
Phelps,2023,393,11.7,8.91,8.74,64.52,46.31,9.41
Phelps,2024,453,11.73,8.61,7.3,61.16,47.45,8.85
Pike,2016,215,7.91,8.37,27.1,71.01,40.85,19.07
Pike,2017,223,12.11,9.42,20.09,70.05,37.84,20.63
Pike,2018,215,8.37,11.63,21.86,75.0,36.15,17.67
Pike,2019,202,8.91,6.44,17.0,68.42,31.84,18.81
Pike,2020,207,11.11,7.77,17.56,72.22,39.13,19.32
Pike,2021,202,12.87,9.9,13.71,72.31,36.22,18.32
Pike,2022,186,10.75,6.99,14.36,67.43,37.3,13.98
Pike,2023,186,15.05,9.14,7.69,72.47,40.22,20.54
Pike,2024,190,9.47,6.32,8.95,68.25,42.33,23.68
Platte,2016,1242,7.59,5.88,7.19,74.46,20.84,4.6
Platte,2017,1190,9.59,7.57,6.65,74.65,20.07,4.04
Platte,2018,1219,9.44,7.47,7.48,74.2,21.88,3.86
Platte,2019,1212,10.66,8.5,5.8,74.18,21.89,5.12
Platte,2020,1173,11.76,8.18,4.7,73.39,26.79,4.79
Platte,2021,1229,9.93,7.16,4.51,78.58,22.61,3.51
Platte,2022,1167,10.21,7.28,3.46,76.28,25.2,4.56
Platte,2023,1136,9.96,7.4,3.02,75.76,27.64,5.12
Platte,2024,1183,9.14,6.93,2.2,72.27,24.26,4.73
Polk,2016,384,7.37,6.51,17.72,73.02,45.26,19.06
Polk,2017,384,7.31,7.29,19.26,71.97,44.36,19.95
Polk,2018,423,8.06,6.15,16.71,78.02,47.22,18.25
Polk,2019,438,7.55,6.16,13.73,73.43,40.14,17.39
Polk,2020,376,10.16,8.24,15.2,76.76,51.6,17.33
Polk,2021,389,10.8,7.2,10.34,71.5,43.96,13.92
Polk,2022,373,7.51,4.83,13.32,72.75,50.27,17.25
Polk,2023,407,11.33,7.37,7.27,72.52,49.88,17.24
Polk,2024,391,7.93,7.93,7.35,69.49,48.08,15.94
Pulaski,2016,800,9.14,8.27,15.89,67.27,25.63,8.51
Pulaski,2017,692,9.55,7.51,14.99,69.81,28.2,7.69
Pulaski,2018,714,10.41,7.74,14.12,65.36,27.29,7.44
Pulaski,2019,720,10.2,8.93,13.01,70.6,28.57,7.79
Pulaski,2020,708,8.63,7.34,12.31,73.42,30.78,6.93
Pulaski,2021,741,8.27,6.61,7.14,71.16,29.5,6.49
Pulaski,2022,689,10.2,7.99,9.36,70.07,30.76,6.85
Pulaski,2023,647,8.66,7.88,9.32,69.0,31.53,6.19
Pulaski,2024,652,11.81,9.05,6.3,68.99,35.58,3.84
Putnam,2016,62,,,,91.94,35.0,20.97
Putnam,2017,57,,,,67.27,33.93,35.09
Putnam,2018,61,,,,80.0,20.34,24.59
Putnam,2019,47,,,,78.72,36.17,27.66
Putnam,2020,66,,,,81.54,31.82,30.3
Putnam,2021,48,,,,70.83,31.25,22.92
Putnam,2022,67,,,,68.66,40.3,19.4
Putnam,2023,62,,,,70.49,24.19,16.13
Putnam,2024,37,,,,72.97,45.95,18.92
Ralls,2016,101,9.9,10.89,,81.0,31.68,
Ralls,2017,115,8.7,9.57,,84.07,33.04,
Ralls,2018,93,12.9,8.6,,83.7,30.43,
Ralls,2019,91,12.09,10.99,,90.11,32.97,
Ralls,2020,100,12.0,10.0,,80.0,31.0,
Ralls,2021,99,12.12,14.14,,82.65,36.08,
Ralls,2022,99,12.12,8.08,,82.83,35.35,
Ralls,2023,75,8.0,6.67,,82.67,30.67,
Ralls,2024,96,9.38,8.33,,78.13,29.17,
Randolph,2016,297,11.11,10.44,24.83,76.84,35.35,17.17
Randolph,2017,292,13.36,9.25,19.66,77.24,37.37,17.65
Randolph,2018,311,11.58,8.36,26.14,75.32,49.84,15.58
Randolph,2019,270,8.89,8.15,22.73,69.4,49.81,17.41
Randolph,2020,253,12.25,10.28,20.08,75.4,51.38,10.44
Randolph,2021,279,14.34,10.04,16.97,70.65,45.52,15.47
Randolph,2022,288,10.42,6.6,11.23,74.73,51.57,12.85
Randolph,2023,278,8.99,6.83,10.83,76.81,46.4,13.36
Randolph,2024,242,10.74,7.85,7.47,84.45,47.93,14.11
Ray,2016,252,8.76,7.17,24.1,72.54,37.5,12.4
Ray,2017,270,11.85,7.41,23.4,66.92,44.03,10.74
Ray,2018,268,6.74,5.97,23.31,70.31,38.2,14.93
Ray,2019,248,8.06,6.85,18.55,74.38,31.58,12.5
Ray,2020,264,8.71,7.2,22.35,71.15,43.3,13.26
Ray,2021,258,12.4,6.2,17.12,79.68,37.1,10.08
Ray,2022,241,10.37,8.3,11.3,77.18,34.89,10.42
Ray,2023,250,12.4,12.45,12.5,76.92,39.52,16.4
Ray,2024,230,13.04,12.61,9.61,77.43,33.91,13.97
Reynolds,2016,49,,,38.78,62.5,75.0,24.49
Reynolds,2017,59,,,28.07,70.69,68.97,13.56
Reynolds,2018,73,,,28.77,74.29,68.06,8.22
Reynolds,2019,68,,,37.31,69.12,65.57,11.76
Reynolds,2020,76,,,36.84,61.11,73.91,11.84
Reynolds,2021,53,,,22.0,76.92,67.31,13.21
Reynolds,2022,66,,,20.0,71.21,70.77,9.09
Reynolds,2023,58,,,21.43,68.42,70.69,20.69
Reynolds,2024,52,,,10.2,79.59,66.0,13.73
Ripley,2016,175,12.64,10.29,26.44,66.08,67.43,21.71
Ripley,2017,140,15.71,10.0,27.54,67.39,70.0,27.14
Ripley,2018,159,12.58,7.55,28.93,69.87,66.04,18.99
Ripley,2019,156,10.9,8.33,26.92,74.84,72.73,23.08
Ripley,2020,153,13.73,9.15,25.66,72.0,64.05,16.67
Ripley,2021,140,13.57,7.86,21.17,74.45,76.43,15.11
Ripley,2022,127,14.17,12.6,19.84,77.6,79.53,15.08
Ripley,2023,149,11.41,10.07,14.77,75.17,77.85,21.62
Ripley,2024,154,14.94,11.69,16.2,73.03,71.24,17.53
Saline,2016,238,13.45,10.08,22.22,77.83,47.9,17.23
Saline,2017,237,11.81,9.32,24.89,78.35,43.88,18.57
Saline,2018,252,9.6,6.75,21.29,70.9,43.25,16.73
Saline,2019,271,12.55,12.18,24.63,74.13,38.38,16.61
Saline,2020,259,8.49,6.56,21.4,71.83,38.76,15.95
Saline,2021,240,10.46,8.33,19.57,77.29,47.5,18.91
Saline,2022,249,10.84,10.44,13.11,78.86,47.39,19.28
Saline,2023,260,13.51,10.77,14.12,78.29,48.08,16.99
Saline,2024,234,11.59,8.12,12.12,74.14,44.87,17.6
Schuyler,2016,71,,,,73.91,45.07,32.39
Schuyler,2017,81,,,,70.0,21.25,37.04
Schuyler,2018,65,,,,57.81,12.5,33.85
Schuyler,2019,66,,,,58.46,21.21,39.39
Schuyler,2020,71,,,,50.75,26.76,38.03
Schuyler,2021,59,,,,53.57,24.14,42.37
Schuyler,2022,63,,,,64.52,38.1,44.44
Schuyler,2023,62,,,,61.67,20.97,38.71
Schuyler,2024,66,,,,63.08,33.33,45.45
Scotland,2016,90,,,,57.3,17.05,55.06
Scotland,2017,81,,,,66.25,17.28,58.02
Scotland,2018,74,,,,59.46,20.55,62.16
Scotland,2019,78,,,,57.33,20.51,64.1
Scotland,2020,78,,,,57.14,12.82,66.67
Scotland,2021,87,,,,55.17,16.28,57.47
Scotland,2022,81,,,,55.56,14.81,74.07
Scotland,2023,83,,,,54.88,20.48,61.45
Scotland,2024,86,,,,59.52,19.77,65.12
Scott,2016,482,11.2,9.96,19.71,76.48,56.85,12.68
Scott,2017,495,9.74,11.11,21.12,70.25,56.47,12.17
Scott,2018,500,11.22,9.6,20.33,71.43,58.27,14.8
Scott,2019,491,10.86,9.98,22.38,71.28,53.2,11.22
Scott,2020,491,12.5,12.63,16.63,73.76,56.21,14.34
Scott,2021,466,12.9,13.73,16.78,76.1,48.28,10.13
Scott,2022,464,13.15,11.23,11.9,76.59,54.53,10.41
Scott,2023,450,14.25,11.78,10.07,82.29,54.67,14.03
Scott,2024,435,10.8,11.09,9.03,79.77,44.57,15.44
Shannon,2016,89,,,20.22,72.73,66.29,
Shannon,2017,96,,,22.92,74.44,61.05,
Shannon,2018,96,,,21.88,71.88,55.79,
Shannon,2019,88,,,26.14,72.41,68.18,
Shannon,2020,82,,,19.75,77.92,65.85,
Shannon,2021,77,,,18.67,70.67,63.16,
Shannon,2022,97,,,16.13,68.42,63.54,
Shannon,2023,91,,,14.29,70.11,65.93,
Shannon,2024,76,,,16.9,68.42,67.11,
Shelby,2016,80,,,20.0,74.68,26.25,8.86
Shelby,2017,72,,,14.08,77.46,34.72,8.33
