county,population,median_income,unemployment_rate,poverty_rate,bachelors_plus_rate,uninsured_rate
Monroe County,8672.0,48299.0,1.6,16.0,17.4,11.5
Montgomery County,11422.0,61042.0,2.8,14.5,16.5,10.0
Morgan County,21430.0,49663.0,3.5,17.0,14.9,24.6
New Madrid County,16041.0,49237.0,3.4,18.6,13.3,12.7
Newton County,59490.0,64583.0,4.8,13.4,23.0,13.2
Nodaway County,20959.0,55970.0,2.9,18.6,25.6,8.2
Oregon County,8704.0,44259.0,4.1,21.9,14.4,18.2
Osage County,13379.0,75355.0,1.8,10.1,24.8,4.9
Ozark County,8773.0,42329.0,5.7,21.7,12.4,16.3
Pemiscot County,15232.0,40748.0,9.7,27.4,12.8,13.0
Perry County,18947.0,63356.0,4.8,11.0,22.1,6.4
Pettis County,43205.0,60232.0,4.0,13.4,18.6,11.9
Phelps County,44948.0,55427.0,4.4,17.2,31.5,8.8
Pike County,17623.0,57572.0,4.8,16.3,16.6,9.0
Platte County,108751.0,95748.0,3.5,6.8,45.6,5.9
Polk County,32109.0,56686.0,3.5,17.9,21.0,14.5
Pulaski County,53850.0,66435.0,5.0,12.8,27.9,10.4
Putnam County,4675.0,56875.0,3.8,16.2,19.3,10.9
Ralls County,10394.0,62054.0,3.9,12.6,17.5,5.7
Randolph County,24524.0,55310.0,4.4,15.8,17.1,10.6
Ray County,23149.0,72152.0,2.1,12.0,15.0,9.7
Reynolds County,6058.0,44357.0,10.6,17.9,15.4,13.4
Ripley County,10755.0,43898.0,4.6,19.7,12.9,16.5
St. Charles County,409830.0,102912.0,2.8,4.7,42.4,4.3
St. Clair County,9451.0,46731.0,2.5,16.3,13.7,12.7
Ste. Genevieve County,18551.0,61310.0,4.6,7.9,18.4,4.7
St. Francois County,66864.0,54813.0,4.9,17.0,16.0,11.8
St. Louis County,996618.0,81340.0,4.2,9.6,46.9,5.8
Saline County,23177.0,56566.0,2.5,14.7,26.0,7.8
Schuyler County,4044.0,56023.0,4.7,9.7,10.6,14.7
Scotland County,4698.0,67568.0,0.8,7.1,14.5,33.9
Scott County,37967.0,58847.0,3.2,14.5,21.7,11.8
Shannon County,7137.0,59000.0,3.0,16.7,14.6,11.3
Shelby County,6011.0,52127.0,1.0,15.6,18.0,10.0
Stoddard County,28547.0,54067.0,3.7,17.0,16.4,11.8
Stone County,31697.0,61323.0,7.2,14.0,23.0,9.4
Sullivan County,5903.0,55500.0,2.4,14.7,14.7,8.6
Taney County,56382.0,58258.0,4.5,14.4,25.4,14.8
Texas County,24956.0,48055.0,4.6,19.3,15.8,15.7
Vernon County,19713.0,54519.0,3.9,19.0,18.0,15.6
Warren County,36467.0,77989.0,3.8,9.3,19.6,8.2
Washington County,23483.0,51886.0,3.8,18.2,12.4,11.4
Wayne County,10942.0,43393.0,7.7,25.1,11.0,13.9
Webster County,39868.0,69731.0,4.2,16.1,18.6,13.4
Worth County,1956.0,46167.0,1.2,17.6,17.6,10.6
Wright County,18722.0,47304.0,4.1,17.6,14.3,15.7
St. Louis city,293109.0,55279.0,5.0,19.8,40.2,9.3
